PortID	Port	WhetherTrans	Region	Group
1	ALGECIRAS	1	EUROPE	4
2	LIVORNO	0	EUROPE	4
3	GENOA	0	EUROPE	4
4	MARSEILLE	0	EUROPE	4
5	BARCELONA	0	EUROPE	4
6	VALENCIA	0	EUROPE	4
7	POINTE A PITRE	1	AMERICA North	2
8	FORT DE FRANCE	1	AMERICA North	2
9	CAUCEDO	1	AMERICA South	3
10	CARTAGENA(CO)	1	AMERICA South	3
11	KINGSTON	1	AMERICA North	2
12	BUENAVENTURA	1	AMERICA South	3
13	PAITA	0	AMERICA South	3
14	POSORJA	1	AMERICA South	3
15	GUAYAQUIL	0	AMERICA South	3
16	MOIN(L)	1	AMERICA South	3
17	TANGER MED	1	AFRICA	5
18	SALVADOR	0	AMERICA South	3
19	SANTOS	1	AMERICA South	3
20	PARANAGUA	1	AMERICA South	3
21	RIO GRANDE	0	AMERICA South	3
22	ITAPOA(SC)	0	AMERICA South	3
23	ITAGUAI(RJ)	0	AMERICA South	3
24	VIGO	0	EUROPE	4
25	ROTTERDAM	1	EUROPE	4
26	LONDON GATEWAY PORT(ESS)	1	EUROPE	4
27	LE HAVRE	1	EUROPE	4
28	PHILIPSBURG	0	AMERICA North	2
29	PORT OF SPAIN	0	AMERICA North	2
30	DEGRAD DES CANNES	0	AMERICA South	3
31	VILA DO CONDE	0	AMERICA South	3
32	FORTALEZA	0	AMERICA South	3
33	NATAL	0	AMERICA South	3
34	DUNKERQUE	0	EUROPE	4
35	ANTWERP	1	EUROPE	4
36	MONTOIR DE BRETAGNE	0	EUROPE	4
37	SANTA MARTA	0	AMERICA South	3
38	HAMBURG	1	EUROPE	4
39	BUENOS AIRES	0	AMERICA South	3
40	MONTEVIDEO	0	AMERICA South	3
41	MANZANILLO(PA)	1	AMERICA South	3
42	CALLAO	1	AMERICA South	3
43	SAN ANTONIO	0	AMERICA South	3
