VesselID	Capacity	OperationCost	RouteID	MaxNum
1	6900	9.785	1	1
2	6882	9.78	1	1
3	2592	8.708	1	1
4	6927	9.791	1	1
5	6927	9.791	1	1
6	6927	9.791	1	1
7	4178	9.104	1	1
8	6882	9.78	1	1
9	10034	8.568	2	1
10	9365	8.401	2	1
11	8700	8.235	2	1
12	8700	8.235	2	1
13	7410	7.912	2	1
14	9034	8.318	2	1
15	2140	7.595	3	1
16	2296	7.634	3	1
17	2140	7.595	3	1
18	2296	7.634	3	1
19	2140	7.595	3	1
20	2192	7.608	3	1
21	2296	7.634	3	1
22	4045	7.071	4	1
23	3532	6.943	4	1
24	3532	6.943	4	1
25	3532	6.943	4	1
26	3532	6.943	4	1
27	4045	7.071	4	1
28	9814	11.513	5	1
29	9814	11.513	5	1
30	9814	11.513	5	1
31	9814	11.513	5	1
32	9814	11.513	5	1
33	9814	11.513	5	1
34	9814	11.513	5	1
35	10589	11.707	5	1
36	10589	11.707	5	1
37	10034	11.568	6	1
38	10926	11.791	6	1
39	10034	11.568	6	1
40	10589	11.707	6	1
41	10589	11.707	6	1
42	10589	11.707	6	1
43	1	9.06	6	1
44	10589	11.707	6	1
45	9092	11.333	6	1
