TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
1433	ALGECIRAS	1	2	0	315	2	1	2
1434	ALGECIRAS	1	2	7	326	9	1	2
1435	POINTE A PITRE	7	24	11	730	35	1	4
1436	POINTE A PITRE	7	24	1	737	25	1	4
1437	POINTE A PITRE	7	24	8	751	32	1	4
1438	FORT DE FRANCE	8	25	9	729	34	1	4
1439	FORT DE FRANCE	8	25	1	738	26	1	4
1440	FORT DE FRANCE	8	25	8	752	33	1	4
1441	CAUCEDO	9	27	1	1218	28	1	6
1442	CAUCEDO	9	27	8	1235	35	1	6
1443	CARTAGENA, CO	10	29	1	727	30	1	4
1444	CARTAGENA, CO	10	29	8	741	37	1	4
1445	CARTAGENA, CO	10	29	1	1219	30	1	6
1446	CARTAGENA, CO	10	29	8	1236	37	1	6
1447	KINGSTON	11	31	0	739	31	1	4
1448	KINGSTON	11	31	7	753	38	1	4
1449	BUENAVENTURA	12	36	6	1238	42	1	6
1450	BUENAVENTURA	12	36	13	1255	49	1	6
1451	POSORJA	14	39	7	1209	46	1	6
1452	POSORJA	14	39	5	1239	44	1	6
1453	POSORJA	14	39	12	1256	51	1	6
1454	MOIN, L	16	46	3	768	49	1	4
1455	MOIN, L	16	46	10	782	56	1	4
1456	CARTAGENA, CO	17	48	3	769	51	1	4
1457	CARTAGENA, CO	17	48	10	783	58	1	4
1458	CARTAGENA, CO	17	48	4	1211	52	1	6
1459	CARTAGENA, CO	17	48	11	1228	59	1	6
1460	CARTAGENA, CO	17	48	3	1270	51	1	6
1461	CARTAGENA, CO	17	48	10	1287	58	1	6
1462	ALGECIRAS	18	58	0	347	58	1	2
1463	ALGECIRAS	18	58	7	358	65	1	2
1464	ALGECIRAS	19	9	0	326	9	1	2
1465	ALGECIRAS	19	9	7	337	16	1	2
1466	POINTE A PITRE	25	31	4	730	35	1	4
1467	POINTE A PITRE	25	31	11	744	42	1	4
1468	POINTE A PITRE	25	31	1	751	32	1	4
1469	POINTE A PITRE	25	31	8	765	39	1	4
1470	FORT DE FRANCE	26	32	2	729	34	1	4
1471	FORT DE FRANCE	26	32	9	743	41	1	4
1472	FORT DE FRANCE	26	32	1	752	33	1	4
1473	FORT DE FRANCE	26	32	8	766	40	1	4
1474	CAUCEDO	27	34	1	1235	35	1	6
1475	CAUCEDO	27	34	8	1252	42	1	6
1476	CARTAGENA, CO	28	36	1	741	37	1	4
1477	CARTAGENA, CO	28	36	8	755	44	1	4
1478	CARTAGENA, CO	28	36	1	1236	37	1	6
1479	CARTAGENA, CO	28	36	8	1253	44	1	6
1480	KINGSTON	29	38	0	753	38	1	4
1481	KINGSTON	29	38	7	767	45	1	4
1482	BUENAVENTURA	30	43	6	1255	49	1	6
1483	BUENAVENTURA	30	43	13	1272	56	1	6
1484	POSORJA	32	46	0	1209	46	1	6
1485	POSORJA	32	46	7	1226	53	1	6
1486	POSORJA	32	46	5	1256	51	1	6
1487	POSORJA	32	46	12	1273	58	1	6
1488	MOIN, L	34	53	3	782	56	1	4
1489	MOIN, L	34	53	10	796	63	1	4
1490	CARTAGENA, CO	35	55	3	783	58	1	4
1491	CARTAGENA, CO	35	55	10	797	65	1	4
1492	CARTAGENA, CO	35	55	4	1228	59	1	6
1493	CARTAGENA, CO	35	55	11	1245	66	1	6
1494	CARTAGENA, CO	35	55	3	1287	58	1	6
1495	CARTAGENA, CO	35	55	10	1304	65	1	6
1496	ALGECIRAS	36	65	0	358	65	1	2
1497	ALGECIRAS	36	65	7	369	72	1	2
1498	ALGECIRAS	37	16	0	337	16	1	2
1499	ALGECIRAS	37	16	7	348	23	1	2
1500	POINTE A PITRE	43	38	4	744	42	1	4
1501	POINTE A PITRE	43	38	11	758	49	1	4
1502	POINTE A PITRE	43	38	1	765	39	1	4
1503	POINTE A PITRE	43	38	8	779	46	1	4
1504	FORT DE FRANCE	44	39	2	743	41	1	4
1505	FORT DE FRANCE	44	39	9	757	48	1	4
1506	FORT DE FRANCE	44	39	1	766	40	1	4
1507	FORT DE FRANCE	44	39	8	780	47	1	4
1508	CAUCEDO	45	41	13	1212	54	1	6
1509	CAUCEDO	45	41	1	1252	42	1	6
1510	CAUCEDO	45	41	8	1269	49	1	6
1511	CARTAGENA, CO	46	43	1	755	44	1	4
