TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	ALGECIRAS	1	2	6	2	2	LIVORNO	8
2	1	2	2	LIVORNO	1	8	1	3	3	GENOA	9
3	1	3	3	GENOA	1	9	2	4	4	MARSEILLE	11
4	1	4	4	MARSEILLE	1	11	2	5	5	BARCELONA	13
5	1	5	5	BARCELONA	1	13	1	6	6	VALENCIA	14
6	1	6	6	VALENCIA	1	14	10	7	7	POINTE A PITRE	24
7	1	7	7	POINTE A PITRE	1	24	1	8	8	FORT DE FRANCE	25
8	1	8	8	FORT DE FRANCE	1	25	2	9	9	CAUCEDO	27
9	1	9	9	CAUCEDO	1	27	2	10	10	CARTAGENA, CO	29
10	1	10	10	CARTAGENA, CO	1	29	2	11	11	KINGSTON	31
11	1	11	11	KINGSTON	1	31	5	12	12	BUENAVENTURA	36
12	1	12	12	BUENAVENTURA	1	36	2	13	13	PAITA	38
13	1	13	13	PAITA	1	38	1	14	14	POSORJA	39
14	1	14	14	POSORJA	1	39	1	15	15	GUAYAQUIL	40
15	1	15	15	GUAYAQUIL	1	40	6	16	16	MOIN, L	46
16	1	16	16	MOIN, L	1	46	2	17	17	CARTAGENA, CO	48
17	1	17	17	CARTAGENA, CO	1	48	10	18	18	ALGECIRAS	58
18	1	18	18	ALGECIRAS	1	58	6	145	2	LIVORNO	64
19	1	19	1	ALGECIRAS	2	9	6	20	2	LIVORNO	15
20	1	20	2	LIVORNO	2	15	1	21	3	GENOA	16
21	1	21	3	GENOA	2	16	2	22	4	MARSEILLE	18
22	1	22	4	MARSEILLE	2	18	2	23	5	BARCELONA	20
23	1	23	5	BARCELONA	2	20	1	24	6	VALENCIA	21
24	1	24	6	VALENCIA	2	21	10	25	7	POINTE A PITRE	31
25	1	25	7	POINTE A PITRE	2	31	1	26	8	FORT DE FRANCE	32
26	1	26	8	FORT DE FRANCE	2	32	2	27	9	CAUCEDO	34
27	1	27	9	CAUCEDO	2	34	2	28	10	CARTAGENA, CO	36
28	1	28	10	CARTAGENA, CO	2	36	2	29	11	KINGSTON	38
29	1	29	11	KINGSTON	2	38	5	30	12	BUENAVENTURA	43
30	1	30	12	BUENAVENTURA	2	43	2	31	13	PAITA	45
31	1	31	13	PAITA	2	45	1	32	14	POSORJA	46
32	1	32	14	POSORJA	2	46	1	33	15	GUAYAQUIL	47
33	1	33	15	GUAYAQUIL	2	47	6	34	16	MOIN, L	53
34	1	34	16	MOIN, L	2	53	2	35	17	CARTAGENA, CO	55
35	1	35	17	CARTAGENA, CO	2	55	10	36	18	ALGECIRAS	65
36	1	36	18	ALGECIRAS	2	65	6	162	2	LIVORNO	71
37	1	37	1	ALGECIRAS	3	16	6	38	2	LIVORNO	22
38	1	38	2	LIVORNO	3	22	1	39	3	GENOA	23
39	1	39	3	GENOA	3	23	2	40	4	MARSEILLE	25
40	1	40	4	MARSEILLE	3	25	2	41	5	BARCELONA	27
41	1	41	5	BARCELONA	3	27	1	42	6	VALENCIA	28
42	1	42	6	VALENCIA	3	28	10	43	7	POINTE A PITRE	38
43	1	43	7	POINTE A PITRE	3	38	1	44	8	FORT DE FRANCE	39
44	1	44	8	FORT DE FRANCE	3	39	2	45	9	CAUCEDO	41
45	1	45	9	CAUCEDO	3	41	2	46	10	CARTAGENA, CO	43
46	1	46	10	CARTAGENA, CO	3	43	2	47	11	KINGSTON	45
47	1	47	11	KINGSTON	3	45	5	48	12	BUENAVENTURA	50
48	1	48	12	BUENAVENTURA	3	50	2	49	13	PAITA	52
49	1	49	13	PAITA	3	52	1	50	14	POSORJA	53
50	1	50	14	POSORJA	3	53	1	51	15	GUAYAQUIL	54
51	1	51	15	GUAYAQUIL	3	54	6	52	16	MOIN, L	60
52	1	52	16	MOIN, L	3	60	2	53	17	CARTAGENA, CO	62
53	1	53	17	CARTAGENA, CO	3	62	10	54	18	ALGECIRAS	72
54	1	54	18	ALGECIRAS	3	72	6	179	2	LIVORNO	78
55	1	55	1	ALGECIRAS	4	23	6	56	2	LIVORNO	29
56	1	56	2	LIVORNO	4	29	1	57	3	GENOA	30
57	1	57	3	GENOA	4	30	2	58	4	MARSEILLE	32
58	1	58	4	MARSEILLE	4	32	2	59	5	BARCELONA	34
59	1	59	5	BARCELONA	4	34	1	60	6	VALENCIA	35
60	1	60	6	VALENCIA	4	35	10	61	7	POINTE A PITRE	45
61	1	61	7	POINTE A PITRE	4	45	1	62	8	FORT DE FRANCE	46
62	1	62	8	FORT DE FRANCE	4	46	2	63	9	CAUCEDO	48
63	1	63	9	CAUCEDO	4	48	2	64	10	CARTAGENA, CO	50
64	1	64	10	CARTAGENA, CO	4	50	2	65	11	KINGSTON	52
65	1	65	11	KINGSTON	4	52	5	66	12	BUENAVENTURA	57
66	1	66	12	BUENAVENTURA	4	57	2	67	13	PAITA	59
67	1	67	13	PAITA	4	59	1	68	14	POSORJA	60
68	1	68	14	POSORJA	4	60	1	69	15	GUAYAQUIL	61
69	1	69	15	GUAYAQUIL	4	61	6	70	16	MOIN, L	67
70	1	70	16	MOIN, L	4	67	2	71	17	CARTAGENA, CO	69
71	1	71	17	CARTAGENA, CO	4	69	10	72	18	ALGECIRAS	79
72	1	72	18	ALGECIRAS	4	79	6	196	2	LIVORNO	85
73	1	73	1	ALGECIRAS	5	30	6	74	2	LIVORNO	36
74	1	74	2	LIVORNO	5	36	1	75	3	GENOA	37
75	1	75	3	GENOA	5	37	2	76	4	MARSEILLE	39
76	1	76	4	MARSEILLE	5	39	2	77	5	BARCELONA	41
77	1	77	5	BARCELONA	5	41	1	78	6	VALENCIA	42
78	1	78	6	VALENCIA	5	42	10	79	7	POINTE A PITRE	52
79	1	79	7	POINTE A PITRE	5	52	1	80	8	FORT DE FRANCE	53
80	1	80	8	FORT DE FRANCE	5	53	2	81	9	CAUCEDO	55
81	1	81	9	CAUCEDO	5	55	2	82	10	CARTAGENA, CO	57
82	1	82	10	CARTAGENA, CO	5	57	2	83	11	KINGSTON	59
83	1	83	11	KINGSTON	5	59	5	84	12	BUENAVENTURA	64
84	1	84	12	BUENAVENTURA	5	64	2	85	13	PAITA	66
85	1	85	13	PAITA	5	66	1	86	14	POSORJA	67
86	1	86	14	POSORJA	5	67	1	87	15	GUAYAQUIL	68
87	1	87	15	GUAYAQUIL	5	68	6	88	16	MOIN, L	74
88	1	88	16	MOIN, L	5	74	2	89	17	CARTAGENA, CO	76
89	1	89	17	CARTAGENA, CO	5	76	10	90	18	ALGECIRAS	86
90	1	90	18	ALGECIRAS	5	86	6	213	2	LIVORNO	92
91	1	91	1	ALGECIRAS	6	37	6	92	2	LIVORNO	43
92	1	92	2	LIVORNO	6	43	1	93	3	GENOA	44
93	1	93	3	GENOA	6	44	2	94	4	MARSEILLE	46
94	1	94	4	MARSEILLE	6	46	2	95	5	BARCELONA	48
95	1	95	5	BARCELONA	6	48	1	96	6	VALENCIA	49
96	1	96	6	VALENCIA	6	49	10	97	7	POINTE A PITRE	59
97	1	97	7	POINTE A PITRE	6	59	1	98	8	FORT DE FRANCE	60
98	1	98	8	FORT DE FRANCE	6	60	2	99	9	CAUCEDO	62
99	1	99	9	CAUCEDO	6	62	2	100	10	CARTAGENA, CO	64
100	1	100	10	CARTAGENA, CO	6	64	2	101	11	KINGSTON	66
101	1	101	11	KINGSTON	6	66	5	102	12	BUENAVENTURA	71
102	1	102	12	BUENAVENTURA	6	71	2	103	13	PAITA	73
103	1	103	13	PAITA	6	73	1	104	14	POSORJA	74
104	1	104	14	POSORJA	6	74	1	105	15	GUAYAQUIL	75
105	1	105	15	GUAYAQUIL	6	75	6	106	16	MOIN, L	81
106	1	106	16	MOIN, L	6	81	2	107	17	CARTAGENA, CO	83
107	1	107	17	CARTAGENA, CO	6	83	10	108	18	ALGECIRAS	93
108	1	108	18	ALGECIRAS	6	93	6	230	2	LIVORNO	99
109	1	109	1	ALGECIRAS	7	44	6	110	2	LIVORNO	50
110	1	110	2	LIVORNO	7	50	1	111	3	GENOA	51
111	1	111	3	GENOA	7	51	2	112	4	MARSEILLE	53
112	1	112	4	MARSEILLE	7	53	2	113	5	BARCELONA	55
113	1	113	5	BARCELONA	7	55	1	114	6	VALENCIA	56
114	1	114	6	VALENCIA	7	56	10	115	7	POINTE A PITRE	66
115	1	115	7	POINTE A PITRE	7	66	1	116	8	FORT DE FRANCE	67
116	1	116	8	FORT DE FRANCE	7	67	2	117	9	CAUCEDO	69
117	1	117	9	CAUCEDO	7	69	2	118	10	CARTAGENA, CO	71
118	1	118	10	CARTAGENA, CO	7	71	2	119	11	KINGSTON	73
119	1	119	11	KINGSTON	7	73	5	120	12	BUENAVENTURA	78
120	1	120	12	BUENAVENTURA	7	78	2	121	13	PAITA	80
121	1	121	13	PAITA	7	80	1	122	14	POSORJA	81
122	1	122	14	POSORJA	7	81	1	123	15	GUAYAQUIL	82
123	1	123	15	GUAYAQUIL	7	82	6	124	16	MOIN, L	88
124	1	124	16	MOIN, L	7	88	2	125	17	CARTAGENA, CO	90
125	1	125	17	CARTAGENA, CO	7	90	10	126	18	ALGECIRAS	100
126	1	126	18	ALGECIRAS	7	100	6	247	2	LIVORNO	106
127	1	127	1	ALGECIRAS	8	51	6	128	2	LIVORNO	57
128	1	128	2	LIVORNO	8	57	1	129	3	GENOA	58
129	1	129	3	GENOA	8	58	2	130	4	MARSEILLE	60
130	1	130	4	MARSEILLE	8	60	2	131	5	BARCELONA	62
131	1	131	5	BARCELONA	8	62	1	132	6	VALENCIA	63
132	1	132	6	VALENCIA	8	63	10	133	7	POINTE A PITRE	73
133	1	133	7	POINTE A PITRE	8	73	1	134	8	FORT DE FRANCE	74
134	1	134	8	FORT DE FRANCE	8	74	2	135	9	CAUCEDO	76
135	1	135	9	CAUCEDO	8	76	2	136	10	CARTAGENA, CO	78
136	1	136	10	CARTAGENA, CO	8	78	2	137	11	KINGSTON	80
137	1	137	11	KINGSTON	8	80	5	138	12	BUENAVENTURA	85
138	1	138	12	BUENAVENTURA	8	85	2	139	13	PAITA	87
139	1	139	13	PAITA	8	87	1	140	14	POSORJA	88
140	1	140	14	POSORJA	8	88	1	141	15	GUAYAQUIL	89
141	1	141	15	GUAYAQUIL	8	89	6	142	16	MOIN, L	95
142	1	142	16	MOIN, L	8	95	2	143	17	CARTAGENA, CO	97
143	1	143	17	CARTAGENA, CO	8	97	10	144	18	ALGECIRAS	107
144	1	144	18	ALGECIRAS	8	107	6	264	2	LIVORNO	113
145	1	145	2	LIVORNO	9	64	1	146	3	GENOA	65
146	1	146	3	GENOA	9	65	2	147	4	MARSEILLE	67
147	1	147	4	MARSEILLE	9	67	2	148	5	BARCELONA	69
148	1	148	5	BARCELONA	9	69	1	149	6	VALENCIA	70
149	1	149	6	VALENCIA	9	70	10	150	7	POINTE A PITRE	80
150	1	150	7	POINTE A PITRE	9	80	1	151	8	FORT DE FRANCE	81
151	1	151	8	FORT DE FRANCE	9	81	2	152	9	CAUCEDO	83
152	1	152	9	CAUCEDO	9	83	2	153	10	CARTAGENA, CO	85
153	1	153	10	CARTAGENA, CO	9	85	2	154	11	KINGSTON	87
154	1	154	11	KINGSTON	9	87	5	155	12	BUENAVENTURA	92
155	1	155	12	BUENAVENTURA	9	92	2	156	13	PAITA	94
156	1	156	13	PAITA	9	94	1	157	14	POSORJA	95
157	1	157	14	POSORJA	9	95	1	158	15	GUAYAQUIL	96
158	1	158	15	GUAYAQUIL	9	96	6	159	16	MOIN, L	102
159	1	159	16	MOIN, L	9	102	2	160	17	CARTAGENA, CO	104
160	1	160	17	CARTAGENA, CO	9	104	10	161	18	ALGECIRAS	114
161	1	161	18	ALGECIRAS	9	114	6	281	2	LIVORNO	120
162	1	162	2	LIVORNO	10	71	1	163	3	GENOA	72
163	1	163	3	GENOA	10	72	2	164	4	MARSEILLE	74
164	1	164	4	MARSEILLE	10	74	2	165	5	BARCELONA	76
165	1	165	5	BARCELONA	10	76	1	166	6	VALENCIA	77
166	1	166	6	VALENCIA	10	77	10	167	7	POINTE A PITRE	87
167	1	167	7	POINTE A PITRE	10	87	1	168	8	FORT DE FRANCE	88
168	1	168	8	FORT DE FRANCE	10	88	2	169	9	CAUCEDO	90
169	1	169	9	CAUCEDO	10	90	2	170	10	CARTAGENA, CO	92
170	1	170	10	CARTAGENA, CO	10	92	2	171	11	KINGSTON	94
171	1	171	11	KINGSTON	10	94	5	172	12	BUENAVENTURA	99
172	1	172	12	BUENAVENTURA	10	99	2	173	13	PAITA	101
173	1	173	13	PAITA	10	101	1	174	14	POSORJA	102
174	1	174	14	POSORJA	10	102	1	175	15	GUAYAQUIL	103
175	1	175	15	GUAYAQUIL	10	103	6	176	16	MOIN, L	109
176	1	176	16	MOIN, L	10	109	2	177	17	CARTAGENA, CO	111
177	1	177	17	CARTAGENA, CO	10	111	10	178	18	ALGECIRAS	121
178	1	178	18	ALGECIRAS	10	121	6	298	2	LIVORNO	127
179	1	179	2	LIVORNO	11	78	1	180	3	GENOA	79
180	1	180	3	GENOA	11	79	2	181	4	MARSEILLE	81
181	1	181	4	MARSEILLE	11	81	2	182	5	BARCELONA	83
182	1	182	5	BARCELONA	11	83	1	183	6	VALENCIA	84
183	1	183	6	VALENCIA	11	84	10	184	7	POINTE A PITRE	94
184	1	184	7	POINTE A PITRE	11	94	1	185	8	FORT DE FRANCE	95
185	1	185	8	FORT DE FRANCE	11	95	2	186	9	CAUCEDO	97
186	1	186	9	CAUCEDO	11	97	2	187	10	CARTAGENA, CO	99
187	1	187	10	CARTAGENA, CO	11	99	2	188	11	KINGSTON	101
188	1	188	11	KINGSTON	11	101	5	189	12	BUENAVENTURA	106
189	1	189	12	BUENAVENTURA	11	106	2	190	13	PAITA	108
190	1	190	13	PAITA	11	108	1	191	14	POSORJA	109
191	1	191	14	POSORJA	11	109	1	192	15	GUAYAQUIL	110
192	1	192	15	GUAYAQUIL	11	110	6	193	16	MOIN, L	116
193	1	193	16	MOIN, L	11	116	2	194	17	CARTAGENA, CO	118
194	1	194	17	CARTAGENA, CO	11	118	10	195	18	ALGECIRAS	128
195	1	196	2	LIVORNO	12	85	1	197	3	GENOA	86
196	1	197	3	GENOA	12	86	2	198	4	MARSEILLE	88
197	1	198	4	MARSEILLE	12	88	2	199	5	BARCELONA	90
198	1	199	5	BARCELONA	12	90	1	200	6	VALENCIA	91
199	1	200	6	VALENCIA	12	91	10	201	7	POINTE A PITRE	101
200	1	201	7	POINTE A PITRE	12	101	1	202	8	FORT DE FRANCE	102
201	1	202	8	FORT DE FRANCE	12	102	2	203	9	CAUCEDO	104
202	1	203	9	CAUCEDO	12	104	2	204	10	CARTAGENA, CO	106
203	1	204	10	CARTAGENA, CO	12	106	2	205	11	KINGSTON	108
204	1	205	11	KINGSTON	12	108	5	206	12	BUENAVENTURA	113
205	1	206	12	BUENAVENTURA	12	113	2	207	13	PAITA	115
206	1	207	13	PAITA	12	115	1	208	14	POSORJA	116
207	1	208	14	POSORJA	12	116	1	209	15	GUAYAQUIL	117
208	1	209	15	GUAYAQUIL	12	117	6	210	16	MOIN, L	123
209	1	210	16	MOIN, L	12	123	2	211	17	CARTAGENA, CO	125
210	1	211	17	CARTAGENA, CO	12	125	10	212	18	ALGECIRAS	135
211	1	213	2	LIVORNO	13	92	1	214	3	GENOA	93
212	1	214	3	GENOA	13	93	2	215	4	MARSEILLE	95
213	1	215	4	MARSEILLE	13	95	2	216	5	BARCELONA	97
214	1	216	5	BARCELONA	13	97	1	217	6	VALENCIA	98
215	1	217	6	VALENCIA	13	98	10	218	7	POINTE A PITRE	108
216	1	218	7	POINTE A PITRE	13	108	1	219	8	FORT DE FRANCE	109
217	1	219	8	FORT DE FRANCE	13	109	2	220	9	CAUCEDO	111
218	1	220	9	CAUCEDO	13	111	2	221	10	CARTAGENA, CO	113
