ID	Route	Call	Port	Round_trip	Time
1	1	1	ALGECIRAS	1	2
2	1	2	LIVORNO	1	8
3	1	3	GENOA	1	9
4	1	4	MARSEILLE	1	11
5	1	5	BARCELONA	1	13
6	1	6	VALENCIA	1	14
7	1	7	POINTE A PITRE	1	24
8	1	8	FORT DE FRANCE	1	25
9	1	9	CAUCEDO	1	27
10	1	10	CARTAGENA, CO	1	29
11	1	11	KINGSTON	1	31
12	1	12	BUENAVENTURA	1	36
13	1	13	PAITA	1	38
14	1	14	POSORJA	1	39
15	1	15	GUAYAQUIL	1	40
16	1	16	MOIN, L	1	46
17	1	17	CARTAGENA, CO	1	48
18	1	18	ALGECIRAS	1	58
19	1	1	ALGECIRAS	2	9
20	1	2	LIVORNO	2	15
21	1	3	GENOA	2	16
22	1	4	MARSEILLE	2	18
23	1	5	BARCELONA	2	20
24	1	6	VALENCIA	2	21
25	1	7	POINTE A PITRE	2	31
26	1	8	FORT DE FRANCE	2	32
27	1	9	CAUCEDO	2	34
28	1	10	CARTAGENA, CO	2	36
29	1	11	KINGSTON	2	38
30	1	12	BUENAVENTURA	2	43
31	1	13	PAITA	2	45
32	1	14	POSORJA	2	46
33	1	15	GUAYAQUIL	2	47
34	1	16	MOIN, L	2	53
35	1	17	CARTAGENA, CO	2	55
36	1	18	ALGECIRAS	2	65
37	1	1	ALGECIRAS	3	16
38	1	2	LIVORNO	3	22
39	1	3	GENOA	3	23
40	1	4	MARSEILLE	3	25
41	1	5	BARCELONA	3	27
42	1	6	VALENCIA	3	28
43	1	7	POINTE A PITRE	3	38
44	1	8	FORT DE FRANCE	3	39
45	1	9	CAUCEDO	3	41
46	1	10	CARTAGENA, CO	3	43
47	1	11	KINGSTON	3	45
48	1	12	BUENAVENTURA	3	50
49	1	13	PAITA	3	52
50	1	14	POSORJA	3	53
51	1	15	GUAYAQUIL	3	54
52	1	16	MOIN, L	3	60
53	1	17	CARTAGENA, CO	3	62
54	1	18	ALGECIRAS	3	72
55	1	1	ALGECIRAS	4	23
56	1	2	LIVORNO	4	29
57	1	3	GENOA	4	30
