PortID	Port	WhetherTrans	Region	Group
1	VERACRUZ	1	AMERICA North	2
2	ALTAMIRA	0	AMERICA North	2
3	PROGRESO	0	AMERICA North	2
4	KINGSTON	1	AMERICA North	2
5	SAN JUAN	1	AMERICA North	2
6	CAUCEDO	1	AMERICA South	3
7	CARTAGENA(CO)	1	AMERICA South	3
8	PORT OF SPAIN	1	AMERICA North	2
9	PARAMARIBO	1	AMERICA South	3
10	GEORGETOWN(GY)	1	EUROPE	4
11	FORT DE FRANCE	1	AMERICA North	2
12	ROSEAU	0	AMERICA North	2
13	POINTE A PITRE	1	AMERICA North	2
14	PHILIPSBURG	0	AMERICA North	2
15	ST JOHN'S	0	AMERICA North	2
16	SAINT GEORGE'S	0	AMERICA North	2
17	BRIDGETOWN	0	AMERICA North	2
18	CAMPDEN PARK	0	AMERICA North	2
19	CASTRIES	0	AMERICA North	2
20	ORANJESTAD(BARCADERA), ARUBA	0	EUROPE	4
21	WILLEMSTAD	0	AMERICA North	2
22	PUERTO CABELLO	0	AMERICA South	3
23	LA GUAIRA	0	AMERICA South	3
24	PUERTO CORTES	1	AMERICA North	2
25	PUERTO BARRIOS	1	AMERICA North	2
26	HOUSTON(TX)	1	AMERICA North	2
27	PUERTO QUETZAL	1	AMERICA North	2
28	LAZARO CARDENAS	0	AMERICA North	2
29	MANZANILLO(MX)	0	AMERICA South	3
30	ACAJUTLA	0	AMERICA North	2
31	PUERTO CALDERA	0	AMERICA North	2
32	CORINTO	0	AMERICA North	2
33	MANAUS	0	AMERICA South	3
34	SUAPE	1	AMERICA South	3
35	SANTOS	1	AMERICA South	3
36	ITAPOA(SC)	0	AMERICA South	3
37	RIO DE JANEIRO	1	AMERICA South	3
38	PECEM	0	AMERICA South	3
39	NEW ORLEANS,LA	0	AMERICA North	2
40	SALVADOR	0	AMERICA South	3
41	PARANAGUA	0	AMERICA South	3
42	NAVEGANTES	0	AMERICA South	3
43	DEGRAD DES CANNES	0	AMERICA South	3
