VesselID	Capacity	OperationCost	RouteID	MaxNum
1	1338	3.359	1	1
2	1200	3.325	1	1
3	1200	3.325	1	1
4	676	2.194	2	1
5	1	2.025	2	1
6	1118	3.304	3	1
7	1083	3.295	3	1
8	1	3.025	3	1
9	167	1.066	4	1
10	547	3.161	5	1
11	736	3.209	5	1
12	1740	3.46	6	1
13	1	3.025	6	1
14	1296	3.349	7	1
15	1713	3.453	7	1
16	1713	3.453	7	1
17	1691	3.447	8	1
18	1577	3.419	8	1
19	1674	3.443	8	1
20	2700	4.7	9	1
21	2506	4.651	9	1
22	2478	4.644	9	1
23	2478	4.644	9	1
24	6350	9.612	10	1
25	6627	9.681	10	1
26	6622	9.68	10	1
27	6732	9.708	10	1
28	3426	8.881	10	1
29	5605	9.426	10	1
30	1	8.025	10	1
31	7403	9.875	10	1
32	677	2.194	11	1
33	677	2.194	11	1
