TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
1665	VERACRUZ	1	4	5	1338	9	1	10
1666	VERACRUZ	1	4	12	1352	16	1	10
1667	KINGSTON	4	12	13	222	25	1	3
1668	KINGSTON	4	12	6	231	18	1	3
1669	KINGSTON	4	12	2	717	14	1	6
1670	KINGSTON	4	12	9	724	21	1	6
1671	KINGSTON	4	12	2	859	14	1	7
1672	KINGSTON	4	12	9	867	21	1	7
1673	KINGSTON	4	12	2	1339	14	1	10
1674	KINGSTON	4	12	9	1353	21	1	10
1675	SAN JUAN	5	16	6	459	22	1	5
1676	SAN JUAN	5	16	13	471	29	1	5
1677	CAUCEDO	6	17	3	232	20	1	3
1678	CAUCEDO	6	17	10	239	27	1	3
1679	CARTAGENA, CO	7	20	5	715	25	1	6
1680	CARTAGENA, CO	7	20	12	722	32	1	6
1681	CARTAGENA, CO	7	20	5	857	25	1	7
1682	CARTAGENA, CO	7	20	12	865	32	1	7
1683	CARTAGENA, CO	7	20	4	1354	24	1	10
1684	CARTAGENA, CO	7	20	11	1368	31	1	10
1685	VERACRUZ	8	25	5	1380	30	1	10
1686	VERACRUZ	8	25	12	1394	37	1	10
1687	VERACRUZ	9	11	5	1352	16	1	10
1688	VERACRUZ	9	11	12	1366	23	1	10
1689	KINGSTON	12	19	6	222	25	1	3
1690	KINGSTON	12	19	13	230	32	1	3
1691	KINGSTON	12	19	2	724	21	1	6
1692	KINGSTON	12	19	9	730	28	1	6
1693	KINGSTON	12	19	2	867	21	1	7
1694	KINGSTON	12	19	9	874	28	1	7
1695	KINGSTON	12	19	2	1353	21	1	10
1696	KINGSTON	12	19	9	1367	28	1	10
1697	SAN JUAN	13	23	6	471	29	1	5
1698	SAN JUAN	13	23	13	483	36	1	5
1699	CAUCEDO	14	24	3	239	27	1	3
1700	CAUCEDO	14	24	10	246	34	1	3
1701	CARTAGENA, CO	15	27	5	722	32	1	6
1702	CARTAGENA, CO	15	27	12	729	39	1	6
1703	CARTAGENA, CO	15	27	5	865	32	1	7
1704	CARTAGENA, CO	15	27	12	873	39	1	7
1705	CARTAGENA, CO	15	27	4	1368	31	1	10
1706	CARTAGENA, CO	15	27	11	1382	38	1	10
1707	VERACRUZ	16	32	5	1394	37	1	10
