TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	VERACRUZ	1	4	2	2	2	ALTAMIRA	6
2	1	2	2	ALTAMIRA	1	6	2	3	3	PROGRESO	8
3	1	3	3	PROGRESO	1	8	4	4	4	KINGSTON	12
4	1	4	4	KINGSTON	1	12	4	5	5	SAN JUAN	16
5	1	5	5	SAN JUAN	1	16	1	6	6	CAUCEDO	17
6	1	6	6	CAUCEDO	1	17	3	7	7	CARTAGENA, CO	20
7	1	7	7	CARTAGENA, CO	1	20	5	8	8	VERACRUZ	25
8	1	8	8	VERACRUZ	1	25	2	25	2	ALTAMIRA	27
9	1	9	1	VERACRUZ	2	11	2	10	2	ALTAMIRA	13
10	1	10	2	ALTAMIRA	2	13	2	11	3	PROGRESO	15
11	1	11	3	PROGRESO	2	15	4	12	4	KINGSTON	19
12	1	12	4	KINGSTON	2	19	4	13	5	SAN JUAN	23
13	1	13	5	SAN JUAN	2	23	1	14	6	CAUCEDO	24
14	1	14	6	CAUCEDO	2	24	3	15	7	CARTAGENA, CO	27
15	1	15	7	CARTAGENA, CO	2	27	5	16	8	VERACRUZ	32
16	1	16	8	VERACRUZ	2	32	2	32	2	ALTAMIRA	34
17	1	17	1	VERACRUZ	3	18	2	18	2	ALTAMIRA	20
18	1	18	2	ALTAMIRA	3	20	2	19	3	PROGRESO	22
19	1	19	3	PROGRESO	3	22	4	20	4	KINGSTON	26
20	1	20	4	KINGSTON	3	26	4	21	5	SAN JUAN	30
21	1	21	5	SAN JUAN	3	30	1	22	6	CAUCEDO	31
22	1	22	6	CAUCEDO	3	31	3	23	7	CARTAGENA, CO	34
23	1	23	7	CARTAGENA, CO	3	34	5	24	8	VERACRUZ	39
24	1	24	8	VERACRUZ	3	39	2	39	2	ALTAMIRA	41
25	1	25	2	ALTAMIRA	4	27	2	26	3	PROGRESO	29
26	1	26	3	PROGRESO	4	29	4	27	4	KINGSTON	33
27	1	27	4	KINGSTON	4	33	4	28	5	SAN JUAN	37
28	1	28	5	SAN JUAN	4	37	1	29	6	CAUCEDO	38
29	1	29	6	CAUCEDO	4	38	3	30	7	CARTAGENA, CO	41
30	1	30	7	CARTAGENA, CO	4	41	5	31	8	VERACRUZ	46
31	1	31	8	VERACRUZ	4	46	2	46	2	ALTAMIRA	48
32	1	32	2	ALTAMIRA	5	34	2	33	3	PROGRESO	36
33	1	33	3	PROGRESO	5	36	4	34	4	KINGSTON	40
34	1	34	4	KINGSTON	5	40	4	35	5	SAN JUAN	44
35	1	35	5	SAN JUAN	5	44	1	36	6	CAUCEDO	45
36	1	36	6	CAUCEDO	5	45	3	37	7	CARTAGENA, CO	48
37	1	37	7	CARTAGENA, CO	5	48	5	38	8	VERACRUZ	53
38	1	38	8	VERACRUZ	5	53	2	53	2	ALTAMIRA	55
39	1	39	2	ALTAMIRA	6	41	2	40	3	PROGRESO	43
40	1	40	3	PROGRESO	6	43	4	41	4	KINGSTON	47
41	1	41	4	KINGSTON	6	47	4	42	5	SAN JUAN	51
42	1	42	5	SAN JUAN	6	51	1	43	6	CAUCEDO	52
43	1	43	6	CAUCEDO	6	52	3	44	7	CARTAGENA, CO	55
44	1	44	7	CARTAGENA, CO	6	55	5	45	8	VERACRUZ	60
45	1	45	8	VERACRUZ	6	60	2	60	2	ALTAMIRA	62
46	1	46	2	ALTAMIRA	7	48	2	47	3	PROGRESO	50
47	1	47	3	PROGRESO	7	50	4	48	4	KINGSTON	54
48	1	48	4	KINGSTON	7	54	4	49	5	SAN JUAN	58
49	1	49	5	SAN JUAN	7	58	1	50	6	CAUCEDO	59
50	1	50	6	CAUCEDO	7	59	3	51	7	CARTAGENA, CO	62
51	1	51	7	CARTAGENA, CO	7	62	5	52	8	VERACRUZ	67
52	1	52	8	VERACRUZ	7	67	2	67	2	ALTAMIRA	69
53	1	53	2	ALTAMIRA	8	55	2	54	3	PROGRESO	57
54	1	54	3	PROGRESO	8	57	4	55	4	KINGSTON	61
55	1	55	4	KINGSTON	8	61	4	56	5	SAN JUAN	65
56	1	56	5	SAN JUAN	8	65	1	57	6	CAUCEDO	66
57	1	57	6	CAUCEDO	8	66	3	58	7	CARTAGENA, CO	69
58	1	58	7	CARTAGENA, CO	8	69	5	59	8	VERACRUZ	74
