ID	Route	Call	Port	Round_trip	Time
1	1	1	VERACRUZ	1	4
2	1	2	ALTAMIRA	1	6
3	1	3	PROGRESO	1	8
4	1	4	KINGSTON	1	12
5	1	5	SAN JUAN	1	16
6	1	6	CAUCEDO	1	17
7	1	7	CARTAGENA, CO	1	20
8	1	8	VERACRUZ	1	25
9	1	1	VERACRUZ	2	11
10	1	2	ALTAMIRA	2	13
11	1	3	PROGRESO	2	15
12	1	4	KINGSTON	2	19
13	1	5	SAN JUAN	2	23
14	1	6	CAUCEDO	2	24
15	1	7	CARTAGENA, CO	2	27
16	1	8	VERACRUZ	2	32
17	1	1	VERACRUZ	3	18
18	1	2	ALTAMIRA	3	20
19	1	3	PROGRESO	3	22
20	1	4	KINGSTON	3	26
21	1	5	SAN JUAN	3	30
22	1	6	CAUCEDO	3	31
23	1	7	CARTAGENA, CO	3	34
24	1	8	VERACRUZ	3	39
25	1	2	ALTAMIRA	4	27
26	1	3	PROGRESO	4	29
27	1	4	KINGSTON	4	33
28	1	5	SAN JUAN	4	37
29	1	6	CAUCEDO	4	38
30	1	7	CARTAGENA, CO	4	41
31	1	8	VERACRUZ	4	46
32	1	2	ALTAMIRA	5	34
33	1	3	PROGRESO	5	36
34	1	4	KINGSTON	5	40
35	1	5	SAN JUAN	5	44
36	1	6	CAUCEDO	5	45
37	1	7	CARTAGENA, CO	5	48
38	1	8	VERACRUZ	5	53
39	1	2	ALTAMIRA	6	41
40	1	3	PROGRESO	6	43
41	1	4	KINGSTON	6	47
42	1	5	SAN JUAN	6	51
43	1	6	CAUCEDO	6	52
44	1	7	CARTAGENA, CO	6	55
45	1	8	VERACRUZ	6	60
46	1	2	ALTAMIRA	7	48
47	1	3	PROGRESO	7	50
48	1	4	KINGSTON	7	54
49	1	5	SAN JUAN	7	58
50	1	6	CAUCEDO	7	59
51	1	7	CARTAGENA, CO	7	62
52	1	8	VERACRUZ	7	67
53	1	2	ALTAMIRA	8	55
54	1	3	PROGRESO	8	57
55	1	4	KINGSTON	8	61
56	1	5	SAN JUAN	8	65
57	1	6	CAUCEDO	8	66
58	1	7	CARTAGENA, CO	8	69
59	1	8	VERACRUZ	8	74
60	1	2	ALTAMIRA	9	62
61	1	3	PROGRESO	9	64
62	1	4	KINGSTON	9	68
63	1	5	SAN JUAN	9	72
64	1	6	CAUCEDO	9	73
65	1	7	CARTAGENA, CO	9	76
66	1	8	VERACRUZ	9	81
67	1	2	ALTAMIRA	10	69
68	1	3	PROGRESO	10	71
69	1	4	KINGSTON	10	75
70	1	5	SAN JUAN	10	79
71	1	6	CAUCEDO	10	80
72	1	7	CARTAGENA, CO	10	83
73	1	8	VERACRUZ	10	88
74	1	2	ALTAMIRA	11	76
75	1	3	PROGRESO	11	78
76	1	4	KINGSTON	11	82
77	1	5	SAN JUAN	11	86
78	1	6	CAUCEDO	11	87
79	1	7	CARTAGENA, CO	11	90
80	1	8	VERACRUZ	11	95
81	1	2	ALTAMIRA	12	83
82	1	3	PROGRESO	12	85
83	1	4	KINGSTON	12	89
84	1	5	SAN JUAN	12	93
85	1	6	CAUCEDO	12	94
86	1	7	CARTAGENA, CO	12	97
87	1	8	VERACRUZ	12	102
88	1	2	ALTAMIRA	13	90
89	1	3	PROGRESO	13	92
90	1	4	KINGSTON	13	96
91	1	5	SAN JUAN	13	100
92	1	6	CAUCEDO	13	101
93	1	7	CARTAGENA, CO	13	104
94	1	8	VERACRUZ	13	109
