ShippingRouteID	NumberofPorts	Ports	NumberofCall	PortsofCall	Time
1	7	VERACRUZ,ALTAMIRA,PROGRESO,KINGSTON,SAN JUAN,CAUCEDO,CARTAGENA, CO	8	VERACRUZ,ALTAMIRA,PROGRESO,KINGSTON,SAN JUAN,CAUCEDO,CARTAGENA, CO,VERACRUZ	4,6,8,12,16,17,20,25
2	2	PORT OF SPAIN,PARAMARIBO	3	PORT OF SPAIN,PARAMARIBO,PORT OF SPAIN	4,7,18
3	7	KINGSTON,CAUCEDO,PORT OF SPAIN,GEORGETOWN, GY,PARAMARIBO,GEORGETOWN, GY,PORT OF SPAIN	8	KINGSTON,CAUCEDO,PORT OF SPAIN,GEORGETOWN, GY,PARAMARIBO,GEORGETOWN, GY,PORT OF SPAIN,KINGSTON	4,6,9,12,14,16,18,25
4	2	PORT OF SPAIN,GEORGETOWN, GY	3	PORT OF SPAIN,GEORGETOWN, GY,PORT OF SPAIN	4,7,11
5	12	FORT DE FRANCE,ROSEAU,POINTE A PITRE,SAN JUAN,PHILIPSBURG,ST JOHN'S,FORT DE FRANCE,PORT OF SPAIN,SAINT GEORGE'S,BRIDGETOWN,CAMPDEN PARK,CASTRIES	13	FORT DE FRANCE,ROSEAU,POINTE A PITRE,SAN JUAN,PHILIPSBURG,ST JOHN'S,FORT DE FRANCE,PORT OF SPAIN,SAINT GEORGE'S,BRIDGETOWN,CAMPDEN PARK,CASTRIES,FORT DE FRANCE	4,5,6,8,10,10,12,13,14,15,16,17,25
6	6	CARTAGENA, CO,KINGSTON,ORANJESTAD, BARCADERA, ARUBA,WILLEMSTAD,PUERTO CABELLO,LA GUAIRA	7	CARTAGENA, CO,KINGSTON,ORANJESTAD, BARCADERA, ARUBA,WILLEMSTAD,PUERTO CABELLO,LA GUAIRA,CARTAGENA, CO	4,7,10,11,12,14,25
7	7	CARTAGENA, CO,KINGSTON,PUERTO CORTES,PUERTO BARRIOS,HOUSTON, TX,PUERTO CORTES,PUERTO BARRIOS	8	CARTAGENA, CO,KINGSTON,PUERTO CORTES,PUERTO BARRIOS,HOUSTON, TX,PUERTO CORTES,PUERTO BARRIOS,CARTAGENA, CO	4,7,10,11,15,20,22,25
8	7	PUERTO QUETZAL,LAZARO CARDENAS,MANZANILLO, MX,PUERTO QUETZAL,ACAJUTLA,PUERTO CALDERA,CORINTO	8	PUERTO QUETZAL,LAZARO CARDENAS,MANZANILLO, MX,PUERTO QUETZAL,ACAJUTLA,PUERTO CALDERA,CORINTO,PUERTO QUETZAL	4,8,9,14,14,18,21,25
9	7	MANAUS,SUAPE,SANTOS,ITAPOA, SC,RIO DE JANEIRO,SUAPE,PECEM	8	MANAUS,SUAPE,SANTOS,ITAPOA, SC,RIO DE JANEIRO,SUAPE,PECEM,MANAUS	4,11,15,17,19,23,25,32
10	13	NEW ORLEANS,LA,HOUSTON, TX,VERACRUZ,KINGSTON,CARTAGENA, CO,SALVADOR,SANTOS,PARANAGUA,NAVEGANTES,SANTOS,RIO DE JANEIRO,CARTAGENA, CO,KINGSTON	14	NEW ORLEANS,LA,HOUSTON, TX,VERACRUZ,KINGSTON,CARTAGENA, CO,SALVADOR,SANTOS,PARANAGUA,NAVEGANTES,SANTOS,RIO DE JANEIRO,CARTAGENA, CO,KINGSTON,NEW ORLEANS,LA	4,6,9,14,17,27,31,32,34,37,39,52,54,60
11	5	POINTE A PITRE,FORT DE FRANCE,PORT OF SPAIN,DEGRAD DES CANNES,PARAMARIBO	6	POINTE A PITRE,FORT DE FRANCE,PORT OF SPAIN,DEGRAD DES CANNES,PARAMARIBO,POINTE A PITRE	4,5,7,11,14,18
