TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	POINTE DES GALETS	1	5	2	2	2	TAMATAVE	7
2	1	2	2	TAMATAVE	1	7	3	3	3	PORT LOUIS	10
3	1	3	3	PORT LOUIS	1	10	2	4	4	POINTE DES GALETS	12
4	1	4	4	POINTE DES GALETS	1	12	2	5	2	TAMATAVE	14
5	1	5	2	TAMATAVE	2	14	3	6	3	PORT LOUIS	17
6	1	6	3	PORT LOUIS	2	17	2	7	4	POINTE DES GALETS	19
7	1	7	4	POINTE DES GALETS	2	19	2	8	2	TAMATAVE	21
8	1	8	2	TAMATAVE	3	21	3	9	3	PORT LOUIS	24
9	1	9	3	PORT LOUIS	3	24	2	10	4	POINTE DES GALETS	26
10	1	10	4	POINTE DES GALETS	3	26	2	11	2	TAMATAVE	28
11	1	11	2	TAMATAVE	4	28	3	12	3	PORT LOUIS	31
12	1	12	3	PORT LOUIS	4	31	2	13	4	POINTE DES GALETS	33
13	1	13	4	POINTE DES GALETS	4	33	2	14	2	TAMATAVE	35
14	1	14	2	TAMATAVE	5	35	3	15	3	PORT LOUIS	38
15	1	15	3	PORT LOUIS	5	38	2	16	4	POINTE DES GALETS	40
16	1	16	4	POINTE DES GALETS	5	40	2	17	2	TAMATAVE	42
17	1	17	2	TAMATAVE	6	42	3	18	3	PORT LOUIS	45
18	1	18	3	PORT LOUIS	6	45	2	19	4	POINTE DES GALETS	47
19	1	19	4	POINTE DES GALETS	6	47	2	20	2	TAMATAVE	49
20	1	20	2	TAMATAVE	7	49	3	21	3	PORT LOUIS	52
21	1	21	3	PORT LOUIS	7	52	2	22	4	POINTE DES GALETS	54
22	1	22	4	POINTE DES GALETS	7	54	2	23	2	TAMATAVE	56
23	1	23	2	TAMATAVE	8	56	3	24	3	PORT LOUIS	59
24	1	24	3	PORT LOUIS	8	59	2	25	4	POINTE DES GALETS	61
25	1	25	4	POINTE DES GALETS	8	61	2	26	2	TAMATAVE	63
26	1	26	2	TAMATAVE	9	63	3	27	3	PORT LOUIS	66
27	1	27	3	PORT LOUIS	9	66	2	28	4	POINTE DES GALETS	68
28	1	28	4	POINTE DES GALETS	9	68	2	29	2	TAMATAVE	70
29	1	29	2	TAMATAVE	10	70	3	30	3	PORT LOUIS	73
30	1	30	3	PORT LOUIS	10	73	2	31	4	POINTE DES GALETS	75
31	1	31	4	POINTE DES GALETS	10	75	2	32	2	TAMATAVE	77
32	1	32	2	TAMATAVE	11	77	3	33	3	PORT LOUIS	80
33	1	33	3	PORT LOUIS	11	80	2	34	4	POINTE DES GALETS	82
34	1	34	4	POINTE DES GALETS	11	82	2	35	2	TAMATAVE	84
35	1	35	2	TAMATAVE	12	84	3	36	3	PORT LOUIS	87
36	1	36	3	PORT LOUIS	12	87	2	37	4	POINTE DES GALETS	89
37	1	37	4	POINTE DES GALETS	12	89	2	38	2	TAMATAVE	91
38	1	38	2	TAMATAVE	13	91	3	39	3	PORT LOUIS	94
39	1	39	3	PORT LOUIS	13	94	2	40	4	POINTE DES GALETS	96
40	1	40	4	POINTE DES GALETS	13	96	2	41	2	TAMATAVE	98
41	1	41	2	TAMATAVE	14	98	3	42	3	PORT LOUIS	101
42	1	42	3	PORT LOUIS	14	101	2	43	4	POINTE DES GALETS	103
43	1	43	4	POINTE DES GALETS	14	103	2	44	2	TAMATAVE	105
44	1	44	2	TAMATAVE	15	105	3	45	3	PORT LOUIS	108
45	1	45	3	PORT LOUIS	15	108	2	46	4	POINTE DES GALETS	110
46	1	46	4	POINTE DES GALETS	15	110	2	47	2	TAMATAVE	112
47	1	47	2	TAMATAVE	16	112	3	48	3	PORT LOUIS	115
48	1	48	3	PORT LOUIS	16	115	2	49	4	POINTE DES GALETS	117
49	1	49	4	POINTE DES GALETS	16	117	2	50	2	TAMATAVE	119
50	1	50	2	TAMATAVE	17	119	3	51	3	PORT LOUIS	122
51	1	51	3	PORT LOUIS	17	122	2	52	4	POINTE DES GALETS	124
52	1	52	4	POINTE DES GALETS	17	124	2	53	2	TAMATAVE	126
53	1	53	2	TAMATAVE	18	126	3	54	3	PORT LOUIS	129
54	1	54	3	PORT LOUIS	18	129	2	55	4	POINTE DES GALETS	131
55	1	55	4	POINTE DES GALETS	18	131	2	56	2	TAMATAVE	133
56	1	56	2	TAMATAVE	19	133	3	57	3	PORT LOUIS	136
57	1	57	3	PORT LOUIS	19	136	2	58	4	POINTE DES GALETS	138
58	1	58	4	POINTE DES GALETS	19	138	2	59	2	TAMATAVE	140
59	1	59	2	TAMATAVE	20	140	3	60	3	PORT LOUIS	143
60	1	60	3	PORT LOUIS	20	143	2	61	4	POINTE DES GALETS	145
61	1	61	4	POINTE DES GALETS	20	145	2	62	2	TAMATAVE	147
62	1	62	2	TAMATAVE	21	147	3	63	3	PORT LOUIS	150
63	1	63	3	PORT LOUIS	21	150	2	64	4	POINTE DES GALETS	152
64	1	64	4	POINTE DES GALETS	21	152	2	65	2	TAMATAVE	154
65	1	65	2	TAMATAVE	22	154	3	66	3	PORT LOUIS	157
66	1	66	3	PORT LOUIS	22	157	2	67	4	POINTE DES GALETS	159
67	1	67	4	POINTE DES GALETS	22	159	2	68	2	TAMATAVE	161
68	1	68	2	TAMATAVE	23	161	3	69	3	PORT LOUIS	164
69	1	69	3	PORT LOUIS	23	164	2	70	4	POINTE DES GALETS	166
70	1	70	4	POINTE DES GALETS	23	166	2	71	2	TAMATAVE	168
71	1	71	2	TAMATAVE	24	168	3	72	3	PORT LOUIS	171
72	1	72	3	PORT LOUIS	24	171	2	73	4	POINTE DES GALETS	173
73	1	73	4	POINTE DES GALETS	24	173	2	74	2	TAMATAVE	175
74	1	74	2	TAMATAVE	25	175	3	75	3	PORT LOUIS	178
