VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	3	1,2,3	5	12
2	1	3	4,5,6	12	19
3	1	3	7,8,9	19	26
4	1	3	10,11,12	26	33
5	1	3	13,14,15	33	40
6	1	3	16,17,18	40	47
7	1	3	19,20,21	47	54
8	1	3	22,23,24	54	61
9	1	3	25,26,27	61	68
10	1	3	28,29,30	68	75
11	1	3	31,32,33	75	82
12	1	3	34,35,36	82	89
13	1	3	37,38,39	89	96
14	1	3	40,41,42	96	103
15	1	3	43,44,45	103	110
16	1	3	46,47,48	110	117
17	1	3	49,50,51	117	124
18	1	3	52,53,54	124	131
19	1	3	55,56,57	131	138
20	1	3	58,59,60	138	145
21	1	3	61,62,63	145	152
22	1	3	64,65,66	152	159
23	1	3	67,68,69	159	166
24	1	3	70,71,72	166	173
25	1	2	73,74	173	178
