ID	Route	Call	Port	Round_trip	Time
1	1	1	POINTE DES GALETS	1	5
2	1	2	TAMATAVE	1	7
3	1	3	PORT LOUIS	1	10
4	1	4	POINTE DES GALETS	1	12
5	1	2	TAMATAVE	2	14
6	1	3	PORT LOUIS	2	17
7	1	4	POINTE DES GALETS	2	19
8	1	2	TAMATAVE	3	21
9	1	3	PORT LOUIS	3	24
10	1	4	POINTE DES GALETS	3	26
11	1	2	TAMATAVE	4	28
12	1	3	PORT LOUIS	4	31
13	1	4	POINTE DES GALETS	4	33
14	1	2	TAMATAVE	5	35
15	1	3	PORT LOUIS	5	38
16	1	4	POINTE DES GALETS	5	40
17	1	2	TAMATAVE	6	42
18	1	3	PORT LOUIS	6	45
19	1	4	POINTE DES GALETS	6	47
20	1	2	TAMATAVE	7	49
21	1	3	PORT LOUIS	7	52
22	1	4	POINTE DES GALETS	7	54
23	1	2	TAMATAVE	8	56
24	1	3	PORT LOUIS	8	59
25	1	4	POINTE DES GALETS	8	61
26	1	2	TAMATAVE	9	63
27	1	3	PORT LOUIS	9	66
28	1	4	POINTE DES GALETS	9	68
29	1	2	TAMATAVE	10	70
30	1	3	PORT LOUIS	10	73
31	1	4	POINTE DES GALETS	10	75
32	1	2	TAMATAVE	11	77
33	1	3	PORT LOUIS	11	80
34	1	4	POINTE DES GALETS	11	82
35	1	2	TAMATAVE	12	84
36	1	3	PORT LOUIS	12	87
37	1	4	POINTE DES GALETS	12	89
38	1	2	TAMATAVE	13	91
39	1	3	PORT LOUIS	13	94
40	1	4	POINTE DES GALETS	13	96
41	1	2	TAMATAVE	14	98
42	1	3	PORT LOUIS	14	101
43	1	4	POINTE DES GALETS	14	103
44	1	2	TAMATAVE	15	105
45	1	3	PORT LOUIS	15	108
46	1	4	POINTE DES GALETS	15	110
47	1	2	TAMATAVE	16	112
48	1	3	PORT LOUIS	16	115
49	1	4	POINTE DES GALETS	16	117
50	1	2	TAMATAVE	17	119
51	1	3	PORT LOUIS	17	122
52	1	4	POINTE DES GALETS	17	124
53	1	2	TAMATAVE	18	126
54	1	3	PORT LOUIS	18	129
55	1	4	POINTE DES GALETS	18	131
56	1	2	TAMATAVE	19	133
57	1	3	PORT LOUIS	19	136
58	1	4	POINTE DES GALETS	19	138
59	1	2	TAMATAVE	20	140
60	1	3	PORT LOUIS	20	143
61	1	4	POINTE DES GALETS	20	145
62	1	2	TAMATAVE	21	147
63	1	3	PORT LOUIS	21	150
64	1	4	POINTE DES GALETS	21	152
65	1	2	TAMATAVE	22	154
66	1	3	PORT LOUIS	22	157
67	1	4	POINTE DES GALETS	22	159
68	1	2	TAMATAVE	23	161
69	1	3	PORT LOUIS	23	164
70	1	4	POINTE DES GALETS	23	166
71	1	2	TAMATAVE	24	168
72	1	3	PORT LOUIS	24	171
73	1	4	POINTE DES GALETS	24	173
74	1	2	TAMATAVE	25	175
75	1	3	PORT LOUIS	25	178
