Path ID	OriginPort	OriginTime	DestinationPort	DestinationTime	PathTime	TransshipPort	TransshipTime	PortPath_length	PortPath	Arcs_length	ArcsID
-1	POINTE DES GALETS	5	TAMATAVE	7	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	1
-1	POINTE DES GALETS	12	TAMATAVE	14	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	4
-1	POINTE DES GALETS	19	TAMATAVE	21	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	7
-1	POINTE DES GALETS	26	TAMATAVE	28	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	10
-1	POINTE DES GALETS	33	TAMATAVE	35	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	13
-1	POINTE DES GALETS	40	TAMATAVE	42	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	16
-1	POINTE DES GALETS	47	TAMATAVE	49	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	19
-1	POINTE DES GALETS	54	TAMATAVE	56	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	22
-1	POINTE DES GALETS	61	TAMATAVE	63	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	25
-1	POINTE DES GALETS	68	TAMATAVE	70	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	28
-1	POINTE DES GALETS	75	TAMATAVE	77	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	31
-1	POINTE DES GALETS	82	TAMATAVE	84	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	34
-1	POINTE DES GALETS	89	TAMATAVE	91	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	37
-1	POINTE DES GALETS	96	TAMATAVE	98	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	40
-1	POINTE DES GALETS	103	TAMATAVE	105	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	43
-1	POINTE DES GALETS	110	TAMATAVE	112	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	46
-1	POINTE DES GALETS	117	TAMATAVE	119	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	49
-1	POINTE DES GALETS	124	TAMATAVE	126	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	52
-1	POINTE DES GALETS	131	TAMATAVE	133	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	55
-1	POINTE DES GALETS	138	TAMATAVE	140	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	58
-1	POINTE DES GALETS	145	TAMATAVE	147	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	61
-1	POINTE DES GALETS	152	TAMATAVE	154	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	64
-1	POINTE DES GALETS	159	TAMATAVE	161	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	67
-1	POINTE DES GALETS	166	TAMATAVE	168	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	70
-1	POINTE DES GALETS	173	TAMATAVE	175	2	0	0	2	POINTE DES GALETS,TAMATAVE	1	73
-1	POINTE DES GALETS	5	PORT LOUIS	10	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	1,2
-1	POINTE DES GALETS	12	PORT LOUIS	17	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	4,5
-1	POINTE DES GALETS	19	PORT LOUIS	24	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	7,8
-1	POINTE DES GALETS	26	PORT LOUIS	31	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	10,11
-1	POINTE DES GALETS	33	PORT LOUIS	38	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	13,14
-1	POINTE DES GALETS	40	PORT LOUIS	45	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	16,17
-1	POINTE DES GALETS	47	PORT LOUIS	52	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	19,20
-1	POINTE DES GALETS	54	PORT LOUIS	59	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	22,23
-1	POINTE DES GALETS	61	PORT LOUIS	66	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	25,26
-1	POINTE DES GALETS	68	PORT LOUIS	73	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	28,29
-1	POINTE DES GALETS	75	PORT LOUIS	80	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	31,32
-1	POINTE DES GALETS	82	PORT LOUIS	87	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	34,35
-1	POINTE DES GALETS	89	PORT LOUIS	94	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	37,38
-1	POINTE DES GALETS	96	PORT LOUIS	101	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	40,41
-1	POINTE DES GALETS	103	PORT LOUIS	108	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	43,44
-1	POINTE DES GALETS	110	PORT LOUIS	115	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	46,47
-1	POINTE DES GALETS	117	PORT LOUIS	122	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	49,50
-1	POINTE DES GALETS	124	PORT LOUIS	129	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	52,53
-1	POINTE DES GALETS	131	PORT LOUIS	136	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	55,56
-1	POINTE DES GALETS	138	PORT LOUIS	143	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	58,59
-1	POINTE DES GALETS	145	PORT LOUIS	150	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	61,62
-1	POINTE DES GALETS	152	PORT LOUIS	157	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	64,65
-1	POINTE DES GALETS	159	PORT LOUIS	164	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	67,68
-1	POINTE DES GALETS	166	PORT LOUIS	171	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	70,71
-1	POINTE DES GALETS	173	PORT LOUIS	178	5	0	0	3	POINTE DES GALETS,TAMATAVE,PORT LOUIS	2	73,74
-1	TAMATAVE	7	POINTE DES GALETS	12	5	0	0	3	TAMATAVE,PORT LOUIS,POINTE DES GALETS	2	2,3
-1	TAMATAVE	14	POINTE DES GALETS	19	5	0	0	3	TAMATAVE,PORT LOUIS,POINTE DES GALETS	2	5,6
-1	TAMATAVE	21	POINTE DES GALETS	26	5	0	0	3	TAMATAVE,PORT LOUIS,POINTE DES GALETS	2	8,9
-1	TAMATAVE	28	POINTE DES GALETS	33	5	0	0	3	TAMATAVE,PORT LOUIS,POINTE DES GALETS	2	11,12
-1	TAMATAVE	35	POINTE DES GALETS	40	5	0	0	3	TAMATAVE,PORT LOUIS,POINTE DES GALETS	2	14,15
-1	TAMATAVE	42	POINTE DES GALETS	47	5	0	0	3	TAMATAVE,PORT LOUIS,POINTE DES GALETS	2	17,18
