PortID	Port	Region
1	QINGDAO	ASIA
2	SHANGHAI	ASIA
3	NINGBO	ASIA
4	SHEKOU	ASIA
5	SINGAPORE	ASIA
6	NHAVA SHEVA	ASIA
7	MUNDRA	ASIA
8	PORT QASIM	MIDDLE EAST
9	KARACHI	ASIA
10	NANSHA	ASIA
11	PORT KLANG	ASIA
12	PIPAVAV	ASIA
13	COLOMBO	ASIA
14	HONG KONG	ASIA
15	LAEM CHABANG	ASIA
16	TIANJIN XINGANG	ASIA
17	BUSAN, KOREA	ASIA
18	XIAMEN	ASIA
19	CHENNAI	ASIA
20	VISAKHAPATNAM	ASIA
21	MANILA	ASIA
22	TOKYO	ASIA
23	YOKOHAMA	ASIA
24	NAGOYA	ASIA
25	KOBE	ASIA
26	CHITTAGONG	ASIA
27	SIHANOUKVILLE	ASIA
28	DAVAO	ASIA
29	GENERAL SANTOS	ASIA
30	QUI NHON	ASIA
31	DA NANG	ASIA
32	YANGON	ASIA
