PortID	OriginPort	DestinationPort	EarlistTime	Deadline
1	BUSAN, KOREA	CHENNAI	1	180
2	BUSAN, KOREA	CHITTAGONG	1	180
3	BUSAN, KOREA	COLOMBO	1	180
4	BUSAN, KOREA	DA NANG	1	180
5	BUSAN, KOREA	DAVAO	1	180
6	BUSAN, KOREA	GENERAL SANTOS	1	180
7	BUSAN, KOREA	HONG KONG	1	180
8	BUSAN, KOREA	KARACHI	1	180
9	BUSAN, KOREA	KOBE	1	180
10	BUSAN, KOREA	LAEM CHABANG	1	180
11	BUSAN, KOREA	MANILA	1	180
12	BUSAN, KOREA	MUNDRA	1	180
13	BUSAN, KOREA	NAGOYA	1	180
14	BUSAN, KOREA	NANSHA	1	180
15	BUSAN, KOREA	NHAVA SHEVA	1	180
16	BUSAN, KOREA	NINGBO	1	180
17	BUSAN, KOREA	PIPAVAV	1	180
18	BUSAN, KOREA	PORT KLANG	1	180
19	BUSAN, KOREA	PORT QASIM	1	180
20	BUSAN, KOREA	QINGDAO	1	180
21	BUSAN, KOREA	QUI NHON	1	180
22	BUSAN, KOREA	SHANGHAI	1	180
23	BUSAN, KOREA	SHEKOU	1	180
24	BUSAN, KOREA	SIHANOUKVILLE	1	180
25	BUSAN, KOREA	SINGAPORE	1	180
26	BUSAN, KOREA	TIANJIN XINGANG	1	180
27	BUSAN, KOREA	TOKYO	1	180
28	BUSAN, KOREA	VISAKHAPATNAM	1	180
29	BUSAN, KOREA	XIAMEN	1	180
30	BUSAN, KOREA	YANGON	1	180
31	BUSAN, KOREA	YOKOHAMA	1	180
32	CHENNAI	BUSAN, KOREA	1	180
33	CHENNAI	CHITTAGONG	1	180
34	CHENNAI	COLOMBO	1	180
35	CHENNAI	DA NANG	1	180
36	CHENNAI	DAVAO	1	180
37	CHENNAI	GENERAL SANTOS	1	180
38	CHENNAI	HONG KONG	1	180
39	CHENNAI	KARACHI	1	180
40	CHENNAI	KOBE	1	180
41	CHENNAI	LAEM CHABANG	1	180
42	CHENNAI	MANILA	1	180
43	CHENNAI	MUNDRA	1	180
44	CHENNAI	NAGOYA	1	180
45	CHENNAI	NANSHA	1	180
46	CHENNAI	NHAVA SHEVA	1	180
47	CHENNAI	NINGBO	1	180
48	CHENNAI	PIPAVAV	1	180
49	CHENNAI	PORT KLANG	1	180
50	CHENNAI	PORT QASIM	1	180
51	CHENNAI	QINGDAO	1	180
52	CHENNAI	QUI NHON	1	180
53	CHENNAI	SHANGHAI	1	180
54	CHENNAI	SHEKOU	1	180
55	CHENNAI	SIHANOUKVILLE	1	180
56	CHENNAI	SINGAPORE	1	180
57	CHENNAI	TIANJIN XINGANG	1	180
58	CHENNAI	TOKYO	1	180
59	CHENNAI	VISAKHAPATNAM	1	180
60	CHENNAI	XIAMEN	1	180
61	CHENNAI	YANGON	1	180
62	CHENNAI	YOKOHAMA	1	180
63	CHITTAGONG	BUSAN, KOREA	1	180
64	CHITTAGONG	CHENNAI	1	180
65	CHITTAGONG	COLOMBO	1	180
66	CHITTAGONG	DA NANG	1	180
67	CHITTAGONG	DAVAO	1	180
68	CHITTAGONG	GENERAL SANTOS	1	180
69	CHITTAGONG	HONG KONG	1	180
70	CHITTAGONG	KARACHI	1	180
71	CHITTAGONG	KOBE	1	180
72	CHITTAGONG	LAEM CHABANG	1	180
73	CHITTAGONG	MANILA	1	180
74	CHITTAGONG	MUNDRA	1	180
75	CHITTAGONG	NAGOYA	1	180
76	CHITTAGONG	NANSHA	1	180
77	CHITTAGONG	NHAVA SHEVA	1	180
78	CHITTAGONG	NINGBO	1	180
79	CHITTAGONG	PIPAVAV	1	180
80	CHITTAGONG	PORT KLANG	1	180
81	CHITTAGONG	PORT QASIM	1	180
82	CHITTAGONG	QINGDAO	1	180
83	CHITTAGONG	QUI NHON	1	180
84	CHITTAGONG	SHANGHAI	1	180
85	CHITTAGONG	SHEKOU	1	180
86	CHITTAGONG	SIHANOUKVILLE	1	180
87	CHITTAGONG	SINGAPORE	1	180
88	CHITTAGONG	TIANJIN XINGANG	1	180
89	CHITTAGONG	TOKYO	1	180
90	CHITTAGONG	VISAKHAPATNAM	1	180
91	CHITTAGONG	XIAMEN	1	180
92	CHITTAGONG	YANGON	1	180
93	CHITTAGONG	YOKOHAMA	1	180
94	COLOMBO	BUSAN, KOREA	1	180
