TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
1842	QINGDAO	1	1	2	1086	3	1	6
1843	QINGDAO	1	1	9	1098	10	1	6
1844	SHANGHAI	2	2	1	207	3	1	2
1845	SHANGHAI	2	2	8	220	10	1	2
1846	SHANGHAI	2	2	0	605	2	1	4
1847	SHANGHAI	2	2	7	617	9	1	4
1848	SHANGHAI	2	2	4	833	6	1	5
1849	SHANGHAI	2	2	11	847	13	1	5
1850	SHANGHAI	2	2	3	1087	5	1	6
1851	SHANGHAI	2	2	10	1099	12	1	6
1852	NINGBO	3	4	0	208	4	1	2
1853	NINGBO	3	4	7	221	11	1	2
1854	NINGBO	3	4	5	618	9	1	4
1855	NINGBO	3	4	12	630	16	1	4
1856	SHEKOU	4	8	6	222	14	1	2
1857	SHEKOU	4	8	13	235	21	1	2
1858	SHEKOU	4	8	4	619	12	1	4
1859	SHEKOU	4	8	11	631	19	1	4
1860	SHEKOU	4	8	5	836	13	1	5
1861	SHEKOU	4	8	12	850	20	1	5
1862	SHEKOU	4	8	1	1088	9	1	6
1863	SHEKOU	4	8	8	1100	16	1	6
1864	SINGAPORE	5	13	6	224	19	1	2
1865	SINGAPORE	5	13	13	237	26	1	2
1866	SINGAPORE	5	13	5	470	18	1	3
1867	SINGAPORE	5	13	12	478	25	1	3
1868	SINGAPORE	5	13	5	620	18	1	4
1869	SINGAPORE	5	13	12	632	25	1	4
1870	SINGAPORE	5	13	5	837	18	1	5
1871	SINGAPORE	5	13	12	851	25	1	5
1872	SINGAPORE	5	13	2	1089	15	1	6
1873	SINGAPORE	5	13	9	1101	22	1	6
1874	SINGAPORE	5	13	2	1304	15	1	7
1875	SINGAPORE	5	13	9	1308	22	1	7
1876	SINGAPORE	5	13	4	1379	17	1	8
1877	SINGAPORE	5	13	11	1387	24	1	8
1878	SINGAPORE	5	13	3	1528	16	1	9
1879	SINGAPORE	5	13	10	1531	23	1	9
1880	SINGAPORE	5	13	5	1579	18	1	10
1881	SINGAPORE	5	13	12	1583	25	1	10
1882	SINGAPORE	5	13	3	1654	16	1	11
1883	SINGAPORE	5	13	10	1656	23	1	11
1884	SINGAPORE	5	13	8	1704	21	1	12
1885	SINGAPORE	5	13	1	1705	14	1	12
1886	SINGAPORE	5	13	2	1775	15	1	13
1887	SINGAPORE	5	13	9	1779	22	1	13
1888	SINGAPORE	5	13	5	1848	18	1	14
1889	SINGAPORE	5	13	12	1851	25	1	14
1890	NHAVA SHEVA	6	21	6	226	27	1	2
1891	NHAVA SHEVA	6	21	13	239	34	1	2
1892	NHAVA SHEVA	6	21	5	467	26	1	3
1893	NHAVA SHEVA	6	21	12	475	33	1	3
1894	NHAVA SHEVA	6	21	6	622	27	1	4
1895	NHAVA SHEVA	6	21	13	634	34	1	4
1896	NHAVA SHEVA	6	21	7	839	28	1	5
1897	MUNDRA	7	23	2	612	25	1	4
1898	MUNDRA	7	23	9	624	32	1	4
1899	PORT QASIM	8	25	4	473	29	1	3
