TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	QINGDAO	1	1	1	2	2	SHANGHAI	2
2	1	2	2	SHANGHAI	1	2	2	3	3	NINGBO	4
3	1	3	3	NINGBO	1	4	4	4	4	SHEKOU	8
4	1	4	4	SHEKOU	1	8	5	5	5	SINGAPORE	13
5	1	5	5	SINGAPORE	1	13	8	6	6	NHAVA SHEVA	21
6	1	6	6	NHAVA SHEVA	1	21	2	7	7	MUNDRA	23
7	1	7	7	MUNDRA	1	23	2	8	8	PORT QASIM	25
8	1	8	8	PORT QASIM	1	25	2	9	9	KARACHI	27
9	1	9	9	KARACHI	1	27	8	10	10	SINGAPORE	35
10	1	10	10	SINGAPORE	1	35	8	11	11	QINGDAO	43
11	1	11	11	QINGDAO	1	43	1	67	2	SHANGHAI	44
12	1	12	1	QINGDAO	2	8	1	13	2	SHANGHAI	9
13	1	13	2	SHANGHAI	2	9	2	14	3	NINGBO	11
14	1	14	3	NINGBO	2	11	4	15	4	SHEKOU	15
15	1	15	4	SHEKOU	2	15	5	16	5	SINGAPORE	20
16	1	16	5	SINGAPORE	2	20	8	17	6	NHAVA SHEVA	28
17	1	17	6	NHAVA SHEVA	2	28	2	18	7	MUNDRA	30
18	1	18	7	MUNDRA	2	30	2	19	8	PORT QASIM	32
19	1	19	8	PORT QASIM	2	32	2	20	9	KARACHI	34
20	1	20	9	KARACHI	2	34	8	21	10	SINGAPORE	42
21	1	21	10	SINGAPORE	2	42	8	22	11	QINGDAO	50
22	1	22	11	QINGDAO	2	50	1	77	2	SHANGHAI	51
23	1	23	1	QINGDAO	3	15	1	24	2	SHANGHAI	16
24	1	24	2	SHANGHAI	3	16	2	25	3	NINGBO	18
25	1	25	3	NINGBO	3	18	4	26	4	SHEKOU	22
26	1	26	4	SHEKOU	3	22	5	27	5	SINGAPORE	27
27	1	27	5	SINGAPORE	3	27	8	28	6	NHAVA SHEVA	35
28	1	28	6	NHAVA SHEVA	3	35	2	29	7	MUNDRA	37
29	1	29	7	MUNDRA	3	37	2	30	8	PORT QASIM	39
30	1	30	8	PORT QASIM	3	39	2	31	9	KARACHI	41
31	1	31	9	KARACHI	3	41	8	32	10	SINGAPORE	49
32	1	32	10	SINGAPORE	3	49	8	33	11	QINGDAO	57
33	1	33	11	QINGDAO	3	57	1	87	2	SHANGHAI	58
34	1	34	1	QINGDAO	4	22	1	35	2	SHANGHAI	23
35	1	35	2	SHANGHAI	4	23	2	36	3	NINGBO	25
36	1	36	3	NINGBO	4	25	4	37	4	SHEKOU	29
37	1	37	4	SHEKOU	4	29	5	38	5	SINGAPORE	34
38	1	38	5	SINGAPORE	4	34	8	39	6	NHAVA SHEVA	42
39	1	39	6	NHAVA SHEVA	4	42	2	40	7	MUNDRA	44
40	1	40	7	MUNDRA	4	44	2	41	8	PORT QASIM	46
41	1	41	8	PORT QASIM	4	46	2	42	9	KARACHI	48
42	1	42	9	KARACHI	4	48	8	43	10	SINGAPORE	56
43	1	43	10	SINGAPORE	4	56	8	44	11	QINGDAO	64
44	1	44	11	QINGDAO	4	64	1	97	2	SHANGHAI	65
45	1	45	1	QINGDAO	5	29	1	46	2	SHANGHAI	30
46	1	46	2	SHANGHAI	5	30	2	47	3	NINGBO	32
47	1	47	3	NINGBO	5	32	4	48	4	SHEKOU	36
48	1	48	4	SHEKOU	5	36	5	49	5	SINGAPORE	41
49	1	49	5	SINGAPORE	5	41	8	50	6	NHAVA SHEVA	49
50	1	50	6	NHAVA SHEVA	5	49	2	51	7	MUNDRA	51
51	1	51	7	MUNDRA	5	51	2	52	8	PORT QASIM	53
52	1	52	8	PORT QASIM	5	53	2	53	9	KARACHI	55
53	1	53	9	KARACHI	5	55	8	54	10	SINGAPORE	63
54	1	54	10	SINGAPORE	5	63	8	55	11	QINGDAO	71
55	1	55	11	QINGDAO	5	71	1	107	2	SHANGHAI	72
56	1	56	1	QINGDAO	6	36	1	57	2	SHANGHAI	37
57	1	57	2	SHANGHAI	6	37	2	58	3	NINGBO	39
58	1	58	3	NINGBO	6	39	4	59	4	SHEKOU	43
59	1	59	4	SHEKOU	6	43	5	60	5	SINGAPORE	48
60	1	60	5	SINGAPORE	6	48	8	61	6	NHAVA SHEVA	56
61	1	61	6	NHAVA SHEVA	6	56	2	62	7	MUNDRA	58
62	1	62	7	MUNDRA	6	58	2	63	8	PORT QASIM	60
63	1	63	8	PORT QASIM	6	60	2	64	9	KARACHI	62
64	1	64	9	KARACHI	6	62	8	65	10	SINGAPORE	70
65	1	65	10	SINGAPORE	6	70	8	66	11	QINGDAO	78
66	1	66	11	QINGDAO	6	78	1	117	2	SHANGHAI	79
67	1	67	2	SHANGHAI	7	44	2	68	3	NINGBO	46
68	1	68	3	NINGBO	7	46	4	69	4	SHEKOU	50
69	1	69	4	SHEKOU	7	50	5	70	5	SINGAPORE	55
70	1	70	5	SINGAPORE	7	55	8	71	6	NHAVA SHEVA	63
71	1	71	6	NHAVA SHEVA	7	63	2	72	7	MUNDRA	65
72	1	72	7	MUNDRA	7	65	2	73	8	PORT QASIM	67
73	1	73	8	PORT QASIM	7	67	2	74	9	KARACHI	69
74	1	74	9	KARACHI	7	69	8	75	10	SINGAPORE	77
75	1	75	10	SINGAPORE	7	77	8	76	11	QINGDAO	85
76	1	76	11	QINGDAO	7	85	1	127	2	SHANGHAI	86
77	1	77	2	SHANGHAI	8	51	2	78	3	NINGBO	53
78	1	78	3	NINGBO	8	53	4	79	4	SHEKOU	57
79	1	79	4	SHEKOU	8	57	5	80	5	SINGAPORE	62
80	1	80	5	SINGAPORE	8	62	8	81	6	NHAVA SHEVA	70
81	1	81	6	NHAVA SHEVA	8	70	2	82	7	MUNDRA	72
82	1	82	7	MUNDRA	8	72	2	83	8	PORT QASIM	74
83	1	83	8	PORT QASIM	8	74	2	84	9	KARACHI	76
84	1	84	9	KARACHI	8	76	8	85	10	SINGAPORE	84
85	1	85	10	SINGAPORE	8	84	8	86	11	QINGDAO	92
86	1	86	11	QINGDAO	8	92	1	137	2	SHANGHAI	93
87	1	87	2	SHANGHAI	9	58	2	88	3	NINGBO	60
88	1	88	3	NINGBO	9	60	4	89	4	SHEKOU	64
89	1	89	4	SHEKOU	9	64	5	90	5	SINGAPORE	69
90	1	90	5	SINGAPORE	9	69	8	91	6	NHAVA SHEVA	77
91	1	91	6	NHAVA SHEVA	9	77	2	92	7	MUNDRA	79
92	1	92	7	MUNDRA	9	79	2	93	8	PORT QASIM	81
93	1	93	8	PORT QASIM	9	81	2	94	9	KARACHI	83
94	1	94	9	KARACHI	9	83	8	95	10	SINGAPORE	91
95	1	95	10	SINGAPORE	9	91	8	96	11	QINGDAO	99
96	1	96	11	QINGDAO	9	99	1	147	2	SHANGHAI	100
97	1	97	2	SHANGHAI	10	65	2	98	3	NINGBO	67
98	1	98	3	NINGBO	10	67	4	99	4	SHEKOU	71
99	1	99	4	SHEKOU	10	71	5	100	5	SINGAPORE	76
100	1	100	5	SINGAPORE	10	76	8	101	6	NHAVA SHEVA	84
101	1	101	6	NHAVA SHEVA	10	84	2	102	7	MUNDRA	86
102	1	102	7	MUNDRA	10	86	2	103	8	PORT QASIM	88
103	1	103	8	PORT QASIM	10	88	2	104	9	KARACHI	90
104	1	104	9	KARACHI	10	90	8	105	10	SINGAPORE	98
105	1	105	10	SINGAPORE	10	98	8	106	11	QINGDAO	106
106	1	106	11	QINGDAO	10	106	1	157	2	SHANGHAI	107
107	1	107	2	SHANGHAI	11	72	2	108	3	NINGBO	74
108	1	108	3	NINGBO	11	74	4	109	4	SHEKOU	78
109	1	109	4	SHEKOU	11	78	5	110	5	SINGAPORE	83
110	1	110	5	SINGAPORE	11	83	8	111	6	NHAVA SHEVA	91
111	1	111	6	NHAVA SHEVA	11	91	2	112	7	MUNDRA	93
112	1	112	7	MUNDRA	11	93	2	113	8	PORT QASIM	95
113	1	113	8	PORT QASIM	11	95	2	114	9	KARACHI	97
114	1	114	9	KARACHI	11	97	8	115	10	SINGAPORE	105
115	1	115	10	SINGAPORE	11	105	8	116	11	QINGDAO	113
116	1	116	11	QINGDAO	11	113	1	167	2	SHANGHAI	114
117	1	117	2	SHANGHAI	12	79	2	118	3	NINGBO	81
118	1	118	3	NINGBO	12	81	4	119	4	SHEKOU	85
119	1	119	4	SHEKOU	12	85	5	120	5	SINGAPORE	90
120	1	120	5	SINGAPORE	12	90	8	121	6	NHAVA SHEVA	98
121	1	121	6	NHAVA SHEVA	12	98	2	122	7	MUNDRA	100
122	1	122	7	MUNDRA	12	100	2	123	8	PORT QASIM	102
123	1	123	8	PORT QASIM	12	102	2	124	9	KARACHI	104
124	1	124	9	KARACHI	12	104	8	125	10	SINGAPORE	112
125	1	125	10	SINGAPORE	12	112	8	126	11	QINGDAO	120
126	1	126	11	QINGDAO	12	120	1	177	2	SHANGHAI	121
127	1	127	2	SHANGHAI	13	86	2	128	3	NINGBO	88
128	1	128	3	NINGBO	13	88	4	129	4	SHEKOU	92
129	1	129	4	SHEKOU	13	92	5	130	5	SINGAPORE	97
130	1	130	5	SINGAPORE	13	97	8	131	6	NHAVA SHEVA	105
131	1	131	6	NHAVA SHEVA	13	105	2	132	7	MUNDRA	107
132	1	132	7	MUNDRA	13	107	2	133	8	PORT QASIM	109
133	1	133	8	PORT QASIM	13	109	2	134	9	KARACHI	111
134	1	134	9	KARACHI	13	111	8	135	10	SINGAPORE	119
135	1	135	10	SINGAPORE	13	119	8	136	11	QINGDAO	127
136	1	136	11	QINGDAO	13	127	1	187	2	SHANGHAI	128
137	1	137	2	SHANGHAI	14	93	2	138	3	NINGBO	95
138	1	138	3	NINGBO	14	95	4	139	4	SHEKOU	99
139	1	139	4	SHEKOU	14	99	5	140	5	SINGAPORE	104
140	1	140	5	SINGAPORE	14	104	8	141	6	NHAVA SHEVA	112
141	1	141	6	NHAVA SHEVA	14	112	2	142	7	MUNDRA	114
142	1	142	7	MUNDRA	14	114	2	143	8	PORT QASIM	116
143	1	143	8	PORT QASIM	14	116	2	144	9	KARACHI	118
144	1	144	9	KARACHI	14	118	8	145	10	SINGAPORE	126
145	1	145	10	SINGAPORE	14	126	8	146	11	QINGDAO	134
146	1	146	11	QINGDAO	14	134	1	197	2	SHANGHAI	135
147	1	147	2	SHANGHAI	15	100	2	148	3	NINGBO	102
148	1	148	3	NINGBO	15	102	4	149	4	SHEKOU	106
149	1	149	4	SHEKOU	15	106	5	150	5	SINGAPORE	111
150	1	150	5	SINGAPORE	15	111	8	151	6	NHAVA SHEVA	119
151	1	151	6	NHAVA SHEVA	15	119	2	152	7	MUNDRA	121
152	1	152	7	MUNDRA	15	121	2	153	8	PORT QASIM	123
153	1	153	8	PORT QASIM	15	123	2	154	9	KARACHI	125
154	1	154	9	KARACHI	15	125	8	155	10	SINGAPORE	133
155	1	155	10	SINGAPORE	15	133	8	156	11	QINGDAO	141
156	1	157	2	SHANGHAI	16	107	2	158	3	NINGBO	109
157	1	158	3	NINGBO	16	109	4	159	4	SHEKOU	113
158	1	159	4	SHEKOU	16	113	5	160	5	SINGAPORE	118
159	1	160	5	SINGAPORE	16	118	8	161	6	NHAVA SHEVA	126
160	1	161	6	NHAVA SHEVA	16	126	2	162	7	MUNDRA	128
161	1	162	7	MUNDRA	16	128	2	163	8	PORT QASIM	130
162	1	163	8	PORT QASIM	16	130	2	164	9	KARACHI	132
163	1	164	9	KARACHI	16	132	8	165	10	SINGAPORE	140
164	1	165	10	SINGAPORE	16	140	8	166	11	QINGDAO	148
165	1	167	2	SHANGHAI	17	114	2	168	3	NINGBO	116
166	1	168	3	NINGBO	17	116	4	169	4	SHEKOU	120
167	1	169	4	SHEKOU	17	120	5	170	5	SINGAPORE	125
168	1	170	5	SINGAPORE	17	125	8	171	6	NHAVA SHEVA	133
169	1	171	6	NHAVA SHEVA	17	133	2	172	7	MUNDRA	135
170	1	172	7	MUNDRA	17	135	2	173	8	PORT QASIM	137
171	1	173	8	PORT QASIM	17	137	2	174	9	KARACHI	139
172	1	174	9	KARACHI	17	139	8	175	10	SINGAPORE	147
173	1	175	10	SINGAPORE	17	147	8	176	11	QINGDAO	155
174	1	177	2	SHANGHAI	18	121	2	178	3	NINGBO	123
175	1	178	3	NINGBO	18	123	4	179	4	SHEKOU	127
176	1	179	4	SHEKOU	18	127	5	180	5	SINGAPORE	132
177	1	180	5	SINGAPORE	18	132	8	181	6	NHAVA SHEVA	140
178	1	181	6	NHAVA SHEVA	18	140	2	182	7	MUNDRA	142
179	1	182	7	MUNDRA	18	142	2	183	8	PORT QASIM	144
180	1	183	8	PORT QASIM	18	144	2	184	9	KARACHI	146
181	1	184	9	KARACHI	18	146	8	185	10	SINGAPORE	154
182	1	185	10	SINGAPORE	18	154	8	186	11	QINGDAO	162
183	1	187	2	SHANGHAI	19	128	2	188	3	NINGBO	130
184	1	188	3	NINGBO	19	130	4	189	4	SHEKOU	134
185	1	189	4	SHEKOU	19	134	5	190	5	SINGAPORE	139
186	1	190	5	SINGAPORE	19	139	8	191	6	NHAVA SHEVA	147
187	1	191	6	NHAVA SHEVA	19	147	2	192	7	MUNDRA	149
188	1	192	7	MUNDRA	19	149	2	193	8	PORT QASIM	151
189	1	193	8	PORT QASIM	19	151	2	194	9	KARACHI	153
190	1	194	9	KARACHI	19	153	8	195	10	SINGAPORE	161
191	1	195	10	SINGAPORE	19	161	8	196	11	QINGDAO	169
192	1	197	2	SHANGHAI	20	135	2	198	3	NINGBO	137
