ID	Route	Call	Port	Round_trip	Time
1	1	1	QINGDAO	1	1
2	1	2	SHANGHAI	1	2
3	1	3	NINGBO	1	4
4	1	4	SHEKOU	1	8
5	1	5	SINGAPORE	1	13
6	1	6	NHAVA SHEVA	1	21
7	1	7	MUNDRA	1	23
8	1	8	PORT QASIM	1	25
9	1	9	KARACHI	1	27
10	1	10	SINGAPORE	1	35
11	1	11	QINGDAO	1	43
12	1	1	QINGDAO	2	8
13	1	2	SHANGHAI	2	9
14	1	3	NINGBO	2	11
15	1	4	SHEKOU	2	15
16	1	5	SINGAPORE	2	20
17	1	6	NHAVA SHEVA	2	28
18	1	7	MUNDRA	2	30
19	1	8	PORT QASIM	2	32
20	1	9	KARACHI	2	34
21	1	10	SINGAPORE	2	42
22	1	11	QINGDAO	2	50
23	1	1	QINGDAO	3	15
24	1	2	SHANGHAI	3	16
25	1	3	NINGBO	3	18
26	1	4	SHEKOU	3	22
27	1	5	SINGAPORE	3	27
28	1	6	NHAVA SHEVA	3	35
29	1	7	MUNDRA	3	37
30	1	8	PORT QASIM	3	39
31	1	9	KARACHI	3	41
32	1	10	SINGAPORE	3	49
33	1	11	QINGDAO	3	57
34	1	1	QINGDAO	4	22
35	1	2	SHANGHAI	4	23
36	1	3	NINGBO	4	25
37	1	4	SHEKOU	4	29
38	1	5	SINGAPORE	4	34
39	1	6	NHAVA SHEVA	4	42
40	1	7	MUNDRA	4	44
41	1	8	PORT QASIM	4	46
42	1	9	KARACHI	4	48
43	1	10	SINGAPORE	4	56
44	1	11	QINGDAO	4	64
45	1	1	QINGDAO	5	29
46	1	2	SHANGHAI	5	30
47	1	3	NINGBO	5	32
48	1	4	SHEKOU	5	36
49	1	5	SINGAPORE	5	41
50	1	6	NHAVA SHEVA	5	49
51	1	7	MUNDRA	5	51
52	1	8	PORT QASIM	5	53
53	1	9	KARACHI	5	55
54	1	10	SINGAPORE	5	63
55	1	11	QINGDAO	5	71
56	1	1	QINGDAO	6	36
57	1	2	SHANGHAI	6	37
58	1	3	NINGBO	6	39
59	1	4	SHEKOU	6	43
60	1	5	SINGAPORE	6	48
61	1	6	NHAVA SHEVA	6	56
62	1	7	MUNDRA	6	58
63	1	8	PORT QASIM	6	60
64	1	9	KARACHI	6	62
65	1	10	SINGAPORE	6	70
66	1	11	QINGDAO	6	78
67	1	2	SHANGHAI	7	44
68	1	3	NINGBO	7	46
69	1	4	SHEKOU	7	50
70	1	5	SINGAPORE	7	55
71	1	6	NHAVA SHEVA	7	63
72	1	7	MUNDRA	7	65
73	1	8	PORT QASIM	7	67
74	1	9	KARACHI	7	69
75	1	10	SINGAPORE	7	77
76	1	11	QINGDAO	7	85
77	1	2	SHANGHAI	8	51
78	1	3	NINGBO	8	53
79	1	4	SHEKOU	8	57
80	1	5	SINGAPORE	8	62
81	1	6	NHAVA SHEVA	8	70
82	1	7	MUNDRA	8	72
83	1	8	PORT QASIM	8	74
84	1	9	KARACHI	8	76
85	1	10	SINGAPORE	8	84
86	1	11	QINGDAO	8	92
87	1	2	SHANGHAI	9	58
88	1	3	NINGBO	9	60
89	1	4	SHEKOU	9	64
90	1	5	SINGAPORE	9	69
91	1	6	NHAVA SHEVA	9	77
92	1	7	MUNDRA	9	79
93	1	8	PORT QASIM	9	81
94	1	9	KARACHI	9	83
95	1	10	SINGAPORE	9	91
96	1	11	QINGDAO	9	99
97	1	2	SHANGHAI	10	65
98	1	3	NINGBO	10	67
99	1	4	SHEKOU	10	71
100	1	5	SINGAPORE	10	76
101	1	6	NHAVA SHEVA	10	84
102	1	7	MUNDRA	10	86
103	1	8	PORT QASIM	10	88
104	1	9	KARACHI	10	90
105	1	10	SINGAPORE	10	98
106	1	11	QINGDAO	10	106
107	1	2	SHANGHAI	11	72
108	1	3	NINGBO	11	74
109	1	4	SHEKOU	11	78
110	1	5	SINGAPORE	11	83
111	1	6	NHAVA SHEVA	11	91
112	1	7	MUNDRA	11	93
113	1	8	PORT QASIM	11	95
114	1	9	KARACHI	11	97
115	1	10	SINGAPORE	11	105
116	1	11	QINGDAO	11	113
117	1	2	SHANGHAI	12	79
118	1	3	NINGBO	12	81
119	1	4	SHEKOU	12	85
120	1	5	SINGAPORE	12	90
121	1	6	NHAVA SHEVA	12	98
122	1	7	MUNDRA	12	100
123	1	8	PORT QASIM	12	102
124	1	9	KARACHI	12	104
125	1	10	SINGAPORE	12	112
126	1	11	QINGDAO	12	120
127	1	2	SHANGHAI	13	86
128	1	3	NINGBO	13	88
129	1	4	SHEKOU	13	92
130	1	5	SINGAPORE	13	97
131	1	6	NHAVA SHEVA	13	105
132	1	7	MUNDRA	13	107
133	1	8	PORT QASIM	13	109
134	1	9	KARACHI	13	111
135	1	10	SINGAPORE	13	119
136	1	11	QINGDAO	13	127
137	1	2	SHANGHAI	14	93
138	1	3	NINGBO	14	95
139	1	4	SHEKOU	14	99
140	1	5	SINGAPORE	14	104
141	1	6	NHAVA SHEVA	14	112
142	1	7	MUNDRA	14	114
143	1	8	PORT QASIM	14	116
144	1	9	KARACHI	14	118
145	1	10	SINGAPORE	14	126
146	1	11	QINGDAO	14	134
147	1	2	SHANGHAI	15	100
148	1	3	NINGBO	15	102
149	1	4	SHEKOU	15	106
150	1	5	SINGAPORE	15	111
151	1	6	NHAVA SHEVA	15	119
152	1	7	MUNDRA	15	121
153	1	8	PORT QASIM	15	123
154	1	9	KARACHI	15	125
155	1	10	SINGAPORE	15	133
156	1	11	QINGDAO	15	141
157	1	2	SHANGHAI	16	107
158	1	3	NINGBO	16	109
159	1	4	SHEKOU	16	113
160	1	5	SINGAPORE	16	118
161	1	6	NHAVA SHEVA	16	126
162	1	7	MUNDRA	16	128
163	1	8	PORT QASIM	16	130
164	1	9	KARACHI	16	132
165	1	10	SINGAPORE	16	140
166	1	11	QINGDAO	16	148
167	1	2	SHANGHAI	17	114
168	1	3	NINGBO	17	116
169	1	4	SHEKOU	17	120
170	1	5	SINGAPORE	17	125
171	1	6	NHAVA SHEVA	17	133
172	1	7	MUNDRA	17	135
173	1	8	PORT QASIM	17	137
174	1	9	KARACHI	17	139
175	1	10	SINGAPORE	17	147
176	1	11	QINGDAO	17	155
177	1	2	SHANGHAI	18	121
178	1	3	NINGBO	18	123
179	1	4	SHEKOU	18	127
180	1	5	SINGAPORE	18	132
181	1	6	NHAVA SHEVA	18	140
182	1	7	MUNDRA	18	142
183	1	8	PORT QASIM	18	144
184	1	9	KARACHI	18	146
185	1	10	SINGAPORE	18	154
186	1	11	QINGDAO	18	162
187	1	2	SHANGHAI	19	128
188	1	3	NINGBO	19	130
189	1	4	SHEKOU	19	134
190	1	5	SINGAPORE	19	139
191	1	6	NHAVA SHEVA	19	147
192	1	7	MUNDRA	19	149
193	1	8	PORT QASIM	19	151
194	1	9	KARACHI	19	153
195	1	10	SINGAPORE	19	161
196	1	11	QINGDAO	19	169
197	1	2	SHANGHAI	20	135
198	1	3	NINGBO	20	137
199	1	4	SHEKOU	20	141
200	1	5	SINGAPORE	20	146
201	1	6	NHAVA SHEVA	20	154
202	1	7	MUNDRA	20	156
203	1	8	PORT QASIM	20	158
204	1	9	KARACHI	20	160
205	1	10	SINGAPORE	20	168
206	1	11	QINGDAO	20	176
207	2	1	SHANGHAI	1	3
208	2	2	NINGBO	1	4
209	2	3	SHEKOU	1	7
210	2	4	NANSHA	1	8
211	2	5	SINGAPORE	1	12
212	2	6	PORT KLANG	1	14
213	2	7	NHAVA SHEVA	1	20
214	2	8	PIPAVAV	1	22
215	2	9	KARACHI	1	24
216	2	10	COLOMBO	1	29
217	2	11	SINGAPORE	1	34
218	2	12	HONG KONG	1	40
219	2	13	SHANGHAI	1	45
220	2	1	SHANGHAI	2	10
221	2	2	NINGBO	2	11
222	2	3	SHEKOU	2	14
223	2	4	NANSHA	2	15
224	2	5	SINGAPORE	2	19
225	2	6	PORT KLANG	2	21
226	2	7	NHAVA SHEVA	2	27
227	2	8	PIPAVAV	2	29
228	2	9	KARACHI	2	31
229	2	10	COLOMBO	2	36
230	2	11	SINGAPORE	2	41
231	2	12	HONG KONG	2	47
232	2	13	SHANGHAI	2	52
233	2	1	SHANGHAI	3	17
234	2	2	NINGBO	3	18
235	2	3	SHEKOU	3	21
236	2	4	NANSHA	3	22
237	2	5	SINGAPORE	3	26
238	2	6	PORT KLANG	3	28
239	2	7	NHAVA SHEVA	3	34
240	2	8	PIPAVAV	3	36
241	2	9	KARACHI	3	38
242	2	10	COLOMBO	3	43
243	2	11	SINGAPORE	3	48
244	2	12	HONG KONG	3	54
245	2	13	SHANGHAI	3	59
246	2	1	SHANGHAI	4	24
247	2	2	NINGBO	4	25
248	2	3	SHEKOU	4	28
249	2	4	NANSHA	4	29
250	2	5	SINGAPORE	4	33
251	2	6	PORT KLANG	4	35
252	2	7	NHAVA SHEVA	4	41
253	2	8	PIPAVAV	4	43
254	2	9	KARACHI	4	45
255	2	10	COLOMBO	4	50
256	2	11	SINGAPORE	4	55
257	2	12	HONG KONG	4	61
258	2	13	SHANGHAI	4	66
259	2	1	SHANGHAI	5	31
260	2	2	NINGBO	5	32
261	2	3	SHEKOU	5	35
262	2	4	NANSHA	5	36
263	2	5	SINGAPORE	5	40
264	2	6	PORT KLANG	5	42
265	2	7	NHAVA SHEVA	5	48
266	2	8	PIPAVAV	5	50
267	2	9	KARACHI	5	52
268	2	10	COLOMBO	5	57
269	2	11	SINGAPORE	5	62
270	2	12	HONG KONG	5	68
271	2	13	SHANGHAI	5	73
272	2	1	SHANGHAI	6	38
273	2	2	NINGBO	6	39
274	2	3	SHEKOU	6	42
275	2	4	NANSHA	6	43
276	2	5	SINGAPORE	6	47
277	2	6	PORT KLANG	6	49
278	2	7	NHAVA SHEVA	6	55
279	2	8	PIPAVAV	6	57
280	2	9	KARACHI	6	59
281	2	10	COLOMBO	6	64
282	2	11	SINGAPORE	6	69
283	2	12	HONG KONG	6	75
284	2	13	SHANGHAI	6	80
285	2	2	NINGBO	7	46
286	2	3	SHEKOU	7	49
287	2	4	NANSHA	7	50
288	2	5	SINGAPORE	7	54
289	2	6	PORT KLANG	7	56
290	2	7	NHAVA SHEVA	7	62
291	2	8	PIPAVAV	7	64
292	2	9	KARACHI	7	66
293	2	10	COLOMBO	7	71
294	2	11	SINGAPORE	7	76
295	2	12	HONG KONG	7	82
296	2	13	SHANGHAI	7	87
297	2	2	NINGBO	8	53
298	2	3	SHEKOU	8	56
299	2	4	NANSHA	8	57
300	2	5	SINGAPORE	8	61
301	2	6	PORT KLANG	8	63
302	2	7	NHAVA SHEVA	8	69
303	2	8	PIPAVAV	8	71
304	2	9	KARACHI	8	73
305	2	10	COLOMBO	8	78
306	2	11	SINGAPORE	8	83
307	2	12	HONG KONG	8	89
308	2	13	SHANGHAI	8	94
309	2	2	NINGBO	9	60
310	2	3	SHEKOU	9	63
311	2	4	NANSHA	9	64
312	2	5	SINGAPORE	9	68
313	2	6	PORT KLANG	9	70
314	2	7	NHAVA SHEVA	9	76
315	2	8	PIPAVAV	9	78
316	2	9	KARACHI	9	80
317	2	10	COLOMBO	9	85
318	2	11	SINGAPORE	9	90
319	2	12	HONG KONG	9	96
320	2	13	SHANGHAI	9	101
321	2	2	NINGBO	10	67
322	2	3	SHEKOU	10	70
323	2	4	NANSHA	10	71
324	2	5	SINGAPORE	10	75
325	2	6	PORT KLANG	10	77
326	2	7	NHAVA SHEVA	10	83
327	2	8	PIPAVAV	10	85
328	2	9	KARACHI	10	87
329	2	10	COLOMBO	10	92
330	2	11	SINGAPORE	10	97
331	2	12	HONG KONG	10	103
332	2	13	SHANGHAI	10	108
333	2	2	NINGBO	11	74
334	2	3	SHEKOU	11	77
335	2	4	NANSHA	11	78
336	2	5	SINGAPORE	11	82
337	2	6	PORT KLANG	11	84
338	2	7	NHAVA SHEVA	11	90
339	2	8	PIPAVAV	11	92
340	2	9	KARACHI	11	94
341	2	10	COLOMBO	11	99
342	2	11	SINGAPORE	11	104
343	2	12	HONG KONG	11	110
344	2	13	SHANGHAI	11	115
345	2	2	NINGBO	12	81
346	2	3	SHEKOU	12	84
347	2	4	NANSHA	12	85
348	2	5	SINGAPORE	12	89
349	2	6	PORT KLANG	12	91
350	2	7	NHAVA SHEVA	12	97
351	2	8	PIPAVAV	12	99
352	2	9	KARACHI	12	101
353	2	10	COLOMBO	12	106
354	2	11	SINGAPORE	12	111
355	2	12	HONG KONG	12	117
356	2	13	SHANGHAI	12	122
357	2	2	NINGBO	13	88
358	2	3	SHEKOU	13	91
359	2	4	NANSHA	13	92
360	2	5	SINGAPORE	13	96
361	2	6	PORT KLANG	13	98
362	2	7	NHAVA SHEVA	13	104
363	2	8	PIPAVAV	13	106
364	2	9	KARACHI	13	108
365	2	10	COLOMBO	13	113
366	2	11	SINGAPORE	13	118
367	2	12	HONG KONG	13	124
368	2	13	SHANGHAI	13	129
369	2	2	NINGBO	14	95
370	2	3	SHEKOU	14	98
371	2	4	NANSHA	14	99
372	2	5	SINGAPORE	14	103
