ShippingRouteID	NumberofPorts	Ports	NumberofCall	PortsofCall	Time
1	10	QINGDAO,SHANGHAI,NINGBO,SHEKOU,SINGAPORE,NHAVA SHEVA,MUNDRA,PORT QASIM,KARACHI,SINGAPORE	11	QINGDAO,SHANGHAI,NINGBO,SHEKOU,SINGAPORE,NHAVA SHEVA,MUNDRA,PORT QASIM,KARACHI,SINGAPORE,QINGDAO	1,2,4,8,13,21,23,25,27,35,43
2	12	SHANGHAI,NINGBO,SHEKOU,NANSHA,SINGAPORE,PORT KLANG,NHAVA SHEVA,PIPAVAV,KARACHI,COLOMBO,SINGAPORE,HONG KONG	13	SHANGHAI,NINGBO,SHEKOU,NANSHA,SINGAPORE,PORT KLANG,NHAVA SHEVA,PIPAVAV,KARACHI,COLOMBO,SINGAPORE,HONG KONG,SHANGHAI	3,4,7,8,12,14,20,22,24,29,34,40,45
3	7	LAEM CHABANG,SINGAPORE,PORT KLANG,PIPAVAV,PORT QASIM,KARACHI,NHAVA SHEVA	8	LAEM CHABANG,SINGAPORE,PORT KLANG,PIPAVAV,PORT QASIM,KARACHI,NHAVA SHEVA,LAEM CHABANG	1,4,5,13,15,16,19,36
4	11	SHANGHAI,NINGBO,SHEKOU,SINGAPORE,PORT KLANG,NHAVA SHEVA,KARACHI,MUNDRA,COLOMBO,PORT KLANG,HONG KONG	12	SHANGHAI,NINGBO,SHEKOU,SINGAPORE,PORT KLANG,NHAVA SHEVA,KARACHI,MUNDRA,COLOMBO,PORT KLANG,HONG KONG,SHANGHAI	2,2,5,11,12,20,23,25,29,34,40,44
5	13	TIANJIN XINGANG,BUSAN, KOREA,SHANGHAI,XIAMEN,HONG KONG,SHEKOU,SINGAPORE,COLOMBO,NHAVA SHEVA,PIPAVAV,PORT KLANG,SINGAPORE,HONG KONG	14	TIANJIN XINGANG,BUSAN, KOREA,SHANGHAI,XIAMEN,HONG KONG,SHEKOU,SINGAPORE,COLOMBO,NHAVA SHEVA,PIPAVAV,PORT KLANG,SINGAPORE,HONG KONG,TIANJIN XINGANG	2,4,6,10,11,13,18,24,28,31,38,40,45,51
6	11	BUSAN, KOREA,QINGDAO,SHANGHAI,SHEKOU,SINGAPORE,PORT KLANG,CHENNAI,VISAKHAPATNAM,PORT KLANG,SINGAPORE,MANILA	12	BUSAN, KOREA,QINGDAO,SHANGHAI,SHEKOU,SINGAPORE,PORT KLANG,CHENNAI,VISAKHAPATNAM,PORT KLANG,SINGAPORE,MANILA,BUSAN, KOREA	2,3,5,9,15,16,22,26,31,33,38,51
7	3	SINGAPORE,CHENNAI,COLOMBO	4	SINGAPORE,CHENNAI,COLOMBO,SINGAPORE	1,5,8,15
8	7	TOKYO,YOKOHAMA,NAGOYA,KOBE,SINGAPORE,PORT KLANG,MANILA	8	TOKYO,YOKOHAMA,NAGOYA,KOBE,SINGAPORE,PORT KLANG,MANILA,TOKYO	6,6,8,10,17,19,24,34
9	2	SINGAPORE,CHITTAGONG	3	SINGAPORE,CHITTAGONG,SINGAPORE	2,6,16
10	3	SINGAPORE,PORT KLANG,CHITTAGONG	4	SINGAPORE,PORT KLANG,CHITTAGONG,SINGAPORE	4,5,10,18
11	2	SINGAPORE,SIHANOUKVILLE	3	SINGAPORE,SIHANOUKVILLE,SINGAPORE	2,3,9
12	3	SINGAPORE,DAVAO,GENERAL SANTOS	4	SINGAPORE,DAVAO,GENERAL SANTOS,SINGAPORE	7,11,13,21
13	3	SINGAPORE,QUI NHON,DA NANG	4	SINGAPORE,QUI NHON,DA NANG,SINGAPORE	1,4,5,15
14	2	SINGAPORE,YANGON	3	SINGAPORE,YANGON,SINGAPORE	4,8,18
