PortID	Port	WhetherTrans	Region	Group
1	ZEEBRUGGE	1	EUROPE	4
2	ANTWERP	1	EUROPE	4
3	KEMI	0	EUROPE	4
4	OULU	0	EUROPE	4
5	SKELLEFTEHAMN	0	EUROPE	4
6	MONTOIR DE BRETAGNE	1	EUROPE	4
7	BREST	0	EUROPE	4
8	HELSINKI	1	EUROPE	4
9	TALLINN	1	EUROPE	4
10	HAMBURG	1	EUROPE	4
11	ROTTERDAM	1	EUROPE	4
12	TEESPORT	1	EUROPE	4
13	RIGA	1	EUROPE	4
14	KLAIPEDA	1	EUROPE	4
15	GDYNIA	1	EUROPE	4
16	TILBURY	1	EUROPE	4
17	OSLO	1	EUROPE	4
18	AARHUS	1	EUROPE	4
19	DUNKERQUE	1	EUROPE	4
20	DUBLIN	1	EUROPE	4
21	CORK	1	EUROPE	4
22	LIVERPOOL	1	EUROPE	4
23	BELFAST	1	EUROPE	4
24	GREENOCK	1	EUROPE	4
25	WILHELMSHAVEN	1	EUROPE	4
26	COPENHAGEN	1	EUROPE	4
27	GOTHENBURG	1	EUROPE	4
28	HELSINGBORG	1	EUROPE	4
29	FREDERICIA	1	EUROPE	4
30	SOEDERTAELJE	0	EUROPE	4
31	AHUS	0	EUROPE	4
32	SOUTHAMPTON	1	EUROPE	4
33	FERROL	1	EUROPE	4
34	LAS PALMAS	0	AFRICA	5
35	SANTA CRUZ DE TENERIFE	0	AFRICA	5
36	CASABLANCA	1	AFRICA	5
37	CADIZ	0	EUROPE	4
38	HUELVA	0	EUROPE	4
39	AALBORG	0	EUROPE	4
40	BREMERHAVEN	1	EUROPE	4
41	DRAMMEN	0	EUROPE	4
42	LARVIK	1	EUROPE	4
43	KRISTIANSAND	1	EUROPE	4
44	BRISTOL	1	EUROPE	4
45	GRANGEMOUTH	1	EUROPE	4
46	FELIXSTOWE	1	EUROPE	4
47	SOUTH SHIELDS	1	EUROPE	4
48	LONDON GATEWAY PORT(ESS)	1	EUROPE	4
49	HULL	0	EUROPE	4
50	IMMINGHAM	1	EUROPE	4
51	ALGECIRAS	1	EUROPE	4
52	ALICANTE	0	EUROPE	4
53	CARTAGENA(ES)	1	AMERICA South	3
54	ALMERIA	0	EUROPE	4
55	STAVANGER	1	EUROPE	4
56	HAUGESUND	1	EUROPE	4
57	BERGEN	1	EUROPE	4
58	FLORO	1	EUROPE	4
59	MALOY	1	EUROPE	4
60	ALESUND	1	EUROPE	4
61	IKORNNES	0	EUROPE	4
62	SVELGEN	1	EUROPE	4
63	MO I RANA	0	EUROPE	4
64	KOTKA	1	EUROPE	4
65	STOCKHOLM	0	EUROPE	4
66	NORRKOPING	1	EUROPE	4
67	RAUMA	1	EUROPE	4
68	HALMSTAD	1	EUROPE	4
69	GDANSK	1	EUROPE	4
70	VLISSINGEN	1	EUROPE	4
71	GAEVLE	1	EUROPE	4
72	ROUEN	0	EUROPE	4
73	LE HAVRE	1	EUROPE	4
74	MOSS	1	EUROPE	4
75	BREVIK	1	EUROPE	4
76	SETUBAL	1	EUROPE	4
77	LEIXOES	1	EUROPE	4
78	LISBOA	1	EUROPE	4
79	VIGO	1	EUROPE	4
80	FREDRIKSTAD	1	EUROPE	4
81	SZCZECIN	1	EUROPE	4
82	VALENCIA	1	EUROPE	4
83	PORTSMOUTH	0	EUROPE	4
84	UMEA	1	EUROPE	4
85	SUNDSVALL	1	EUROPE	4
86	BILBAO	1	EUROPE	4
87	GIJON	0	EUROPE	4
88	TANGER MED	1	AFRICA	5
89	BARCELONA	0	EUROPE	4
