Route	Call	Port	Time
1	1	ZEEBRUGGE	3
1	2	ANTWERP	4
1	3	KEMI	10
1	4	OULU	11
1	5	SKELLEFTEHAMN	12
1	6	ZEEBRUGGE	24
2	1	MONTOIR DE BRETAGNE	3
2	2	BREST	5
2	3	LE HAVRE	10
3	1	HELSINKI	3
3	2	TALLINN	4
3	3	HAMBURG	7
3	4	ROTTERDAM	10
3	5	TEESPORT	12
3	6	ROTTERDAM	13
3	7	HELSINKI	17
4	1	HELSINKI	3
4	2	RIGA	5
4	3	KLAIPEDA	6
4	4	TEESPORT	9
4	5	ZEEBRUGGE	11
4	6	ROTTERDAM	12
4	7	HELSINKI	17
5	1	KLAIPEDA	3
5	2	GDYNIA	4
5	3	TEESPORT	9
5	4	TILBURY	10
5	5	ROTTERDAM	13
5	6	KLAIPEDA	17
6	1	GDYNIA	3
6	2	TEESPORT	7
6	3	GDYNIA	10
7	1	KLAIPEDA	3
7	2	GDYNIA	5
7	3	OSLO	6
7	4	AARHUS	8
7	5	KLAIPEDA	17
8	1	DUNKERQUE	3
8	2	ROTTERDAM	4
8	3	DUBLIN	7
8	4	CORK	8
8	5	DUNKERQUE	10
9	1	ROTTERDAM	3
9	2	LIVERPOOL	7
9	3	BELFAST	10
9	4	GREENOCK	11
9	5	DUBLIN	12
9	6	LIVERPOOL	14
9	7	ROTTERDAM	17
10	1	CORK	3
10	2	DUBLIN	4
10	3	BELFAST	5
10	4	ROTTERDAM	8
10	5	CORK	17
11	1	HAMBURG	3
11	2	WILHELMSHAVEN	5
11	3	COPENHAGEN	7
11	4	GOTHENBURG	8
11	5	HELSINGBORG	9
11	6	HAMBURG	17
12	1	HAMBURG	3
12	2	FREDERICIA	6
12	3	SOEDERTAELJE	8
12	4	AHUS	9
12	5	HAMBURG	17
13	1	ROTTERDAM	3
13	2	DUNKERQUE	5
13	3	MONTOIR DE BRETAGNE	8
13	4	SOUTHAMPTON	9
13	5	ROTTERDAM	17
14	1	TILBURY	3
14	2	HAMBURG	5
14	3	ROTTERDAM	7
14	4	FERROL	10
14	5	LAS PALMAS	14
14	6	SANTA CRUZ DE TENERIFE	15
14	7	CASABLANCA	17
14	8	CADIZ	19
14	9	HUELVA	20
14	10	TILBURY	24
15	1	HAMBURG	3
15	2	AARHUS	8
15	3	GOTHENBURG	8
15	4	AALBORG	9
15	5	HAMBURG	10
16	1	BREMERHAVEN	3
16	2	WILHELMSHAVEN	5
16	3	HAMBURG	6
16	4	FREDERICIA	9
16	5	AARHUS	10
16	6	BREMERHAVEN	17
17	1	BREMERHAVEN	3
17	2	HAMBURG	5
17	3	OSLO	7
17	4	DRAMMEN	7
17	5	LARVIK	8
17	6	KRISTIANSAND	9
17	7	BREMERHAVEN	17
18	1	BREMERHAVEN	3
18	2	HAMBURG	4
18	3	AARHUS	7
18	4	FREDERICIA	7
18	5	COPENHAGEN	8
18	6	BREMERHAVEN	10
19	1	BREMERHAVEN	3
19	2	HAMBURG	4
19	3	AARHUS	7
19	4	FREDERICIA	8
19	5	COPENHAGEN	8
19	6	BREMERHAVEN	10
20	1	ANTWERP	3
20	2	ROTTERDAM	4
20	3	DUBLIN	7
20	4	ANTWERP	17
21	1	ROTTERDAM	3
21	2	DUBLIN	7
21	3	ROTTERDAM	10
22	1	ROTTERDAM	3
22	2	DUBLIN	6
22	3	ROTTERDAM	10
23	1	ROTTERDAM	3
23	2	DUBLIN	6
23	3	ROTTERDAM	10
24	1	DUNKERQUE	3
24	2	LIVERPOOL	6
24	3	BRISTOL	8
24	4	DUNKERQUE	10
25	1	ROTTERDAM	3
25	2	DUBLIN	7
