VesselID	Capacity	OperationCost	RouteID	MaxNum
1	1	3.071	1	1
2	1	3.071	1	1
3	868	1.288	2	1
4	911	2.299	3	1
5	850	2.284	3	1
6	1380	2.416	4	1
7	1380	2.416	4	1
8	1380	2.416	5	1
9	1380	2.416	5	1
10	1	1.071	6	1
11	812	2.274	7	1
12	907	1.298	8	1
13	1036	2.33	9	1
14	1	2.071	9	1
15	1	2.071	10	1
16	1	2.071	10	1
17	658	2.236	11	1
18	509	2.198	12	1
19	868	2.288	13	1
20	1036	3.33	14	1
21	889	3.293	14	1
22	868	3.288	14	1
23	1084	1.342	15	1
24	1	2.071	16	1
25	868	2.288	17	1
26	868	1.288	18	1
27	1	1.071	19	1
28	962	2.312	20	1
29	974	1.315	21	1
30	812	1.274	22	1
31	803	1.272	23	1
32	1	1.071	24	1
33	1004	1.322	25	1
34	803	2.272	26	1
35	801	2.271	27	1
36	962	2.312	28	1
37	868	1.288	29	1
38	1	1.071	30	1
39	907	2.298	31	1
40	1	1.071	32	1
41	700	2.246	33	1
42	657	2.235	34	1
43	862	2.287	35	1
44	862	2.287	35	1
45	646	2.233	36	1
46	1036	3.33	37	1
47	1	3.071	37	1
48	1	3.071	37	1
49	1	3.071	38	1
50	1	3.071	38	1
51	1	3.071	38	1
52	1	1.071	39	1
53	1036	4.33	40	1
54	1036	4.33	40	1
55	1036	4.33	40	1
56	1025	2.327	41	1
57	1025	2.327	41	1
58	812	1.274	42	1
59	868	2.288	43	1
60	877	2.29	43	1
61	1578	3.466	44	1
62	1440	3.431	44	1
63	3596	6.97	45	1
64	1	6.071	45	1
65	3600	6.971	45	1
66	3600	6.971	45	1
67	3600	6.971	45	1
68	1084	3.342	46	1
69	889	3.293	46	1
70	326	2.153	47	1
71	658	2.236	48	1
72	1008	2.323	49	1
73	1036	2.33	50	1
74	1	2.071	50	1
75	962	3.312	51	1
76	809	3.273	51	1
77	1436	2.43	52	1
78	1425	2.427	52	1
79	834	3.28	53	1
80	834	3.28	53	1
81	834	3.28	53	1
82	834	3.28	53	1
83	1036	2.33	54	1
84	1	2.071	54	1
85	700	2.246	55	1
86	660	2.236	56	1
87	1118	2.351	57	1
88	750	2.259	58	1
89	658	2.236	59	1
90	1008	2.323	60	1
91	1036	2.33	61	1
92	1	2.071	61	1
93	962	3.312	62	1
94	809	3.273	62	1
95	1436	2.43	63	1
96	1425	2.427	63	1
97	917	2.3	64	1
98	809	2.273	65	1
99	750	3.259	66	1
100	868	3.288	66	1
101	877	3.29	67	1
102	877	3.29	67	1
103	120	1.101	68	1
104	822	1.277	69	1
105	657	2.235	70	1
106	1008	1.323	71	1
107	1	4.071	72	1
108	1	4.071	72	1
109	1	4.071	72	1
110	750	3.259	73	1
111	750	3.259	73	1
112	962	3.312	73	1
113	750	1.259	74	1
114	750	1.259	75	1
115	1025	2.327	76	1
116	1036	2.33	76	1
117	887	3.293	77	1
118	868	3.288	77	1
119	862	3.287	77	1
120	1	3.071	78	1
121	1	3.071	78	1
122	907	3.298	79	1
123	907	3.298	79	1
124	1	1.071	80	1
125	962	1.312	81	1
126	868	2.288	82	1
127	868	2.288	83	1
128	868	2.288	84	1
129	1338	2.406	85	1
130	698	2.246	86	1
131	803	1.272	87	1
132	868	2.288	88	1
133	868	2.288	88	1
