ID	Route	Call	Port	Round_trip	Time
1	1	1	ZEEBRUGGE	1	3
2	1	2	ANTWERP	1	4
3	1	3	KEMI	1	10
4	1	4	OULU	1	11
5	1	5	SKELLEFTEHAMN	1	12
6	1	6	ZEEBRUGGE	1	24
7	1	1	ZEEBRUGGE	2	10
8	1	2	ANTWERP	2	11
9	1	3	KEMI	2	17
10	1	4	OULU	2	18
11	1	5	SKELLEFTEHAMN	2	19
12	1	6	ZEEBRUGGE	2	31
13	1	1	ZEEBRUGGE	3	17
14	1	2	ANTWERP	3	18
15	1	3	KEMI	3	24
16	1	4	OULU	3	25
17	1	5	SKELLEFTEHAMN	3	26
18	1	6	ZEEBRUGGE	3	38
19	1	2	ANTWERP	4	25
20	1	3	KEMI	4	31
21	1	4	OULU	4	32
22	1	5	SKELLEFTEHAMN	4	33
23	1	6	ZEEBRUGGE	4	45
24	1	2	ANTWERP	5	32
25	1	3	KEMI	5	38
26	1	4	OULU	5	39
27	1	5	SKELLEFTEHAMN	5	40
28	1	6	ZEEBRUGGE	5	52
29	1	2	ANTWERP	6	39
30	1	3	KEMI	6	45
31	1	4	OULU	6	46
32	1	5	SKELLEFTEHAMN	6	47
33	1	6	ZEEBRUGGE	6	59
34	1	2	ANTWERP	7	46
35	1	3	KEMI	7	52
36	1	4	OULU	7	53
37	1	5	SKELLEFTEHAMN	7	54
38	1	6	ZEEBRUGGE	7	66
39	1	2	ANTWERP	8	53
40	1	3	KEMI	8	59
41	1	4	OULU	8	60
42	1	5	SKELLEFTEHAMN	8	61
43	1	6	ZEEBRUGGE	8	73
44	1	2	ANTWERP	9	60
45	1	3	KEMI	9	66
46	1	4	OULU	9	67
47	1	5	SKELLEFTEHAMN	9	68
48	1	6	ZEEBRUGGE	9	80
49	1	2	ANTWERP	10	67
50	1	3	KEMI	10	73
51	1	4	OULU	10	74
52	1	5	SKELLEFTEHAMN	10	75
53	1	6	ZEEBRUGGE	10	87
54	1	2	ANTWERP	11	74
55	1	3	KEMI	11	80
56	1	4	OULU	11	81
57	1	5	SKELLEFTEHAMN	11	82
58	1	6	ZEEBRUGGE	11	94
59	1	2	ANTWERP	12	81
60	1	3	KEMI	12	87
61	1	4	OULU	12	88
62	1	5	SKELLEFTEHAMN	12	89
63	1	6	ZEEBRUGGE	12	101
64	1	2	ANTWERP	13	88
65	1	3	KEMI	13	94
66	1	4	OULU	13	95
67	1	5	SKELLEFTEHAMN	13	96
68	1	6	ZEEBRUGGE	13	108
69	1	2	ANTWERP	14	95
70	1	3	KEMI	14	101
71	1	4	OULU	14	102
72	1	5	SKELLEFTEHAMN	14	103
73	1	6	ZEEBRUGGE	14	115
74	1	2	ANTWERP	15	102
75	1	3	KEMI	15	108
76	1	4	OULU	15	109
77	1	5	SKELLEFTEHAMN	15	110
78	1	6	ZEEBRUGGE	15	122
79	1	2	ANTWERP	16	109
80	1	3	KEMI	16	115
81	1	4	OULU	16	116
82	1	5	SKELLEFTEHAMN	16	117
83	1	6	ZEEBRUGGE	16	129
84	1	2	ANTWERP	17	116
85	1	3	KEMI	17	122
86	1	4	OULU	17	123
87	1	5	SKELLEFTEHAMN	17	124
88	1	6	ZEEBRUGGE	17	136
89	1	2	ANTWERP	18	123
90	1	3	KEMI	18	129
91	1	4	OULU	18	130
92	1	5	SKELLEFTEHAMN	18	131
93	1	6	ZEEBRUGGE	18	143
94	1	2	ANTWERP	19	130
95	1	3	KEMI	19	136
96	1	4	OULU	19	137
97	1	5	SKELLEFTEHAMN	19	138
98	1	6	ZEEBRUGGE	19	150
99	1	2	ANTWERP	20	137
100	1	3	KEMI	20	143
101	1	4	OULU	20	144
102	1	5	SKELLEFTEHAMN	20	145
103	1	6	ZEEBRUGGE	20	157
104	1	2	ANTWERP	21	144
105	1	3	KEMI	21	150
106	1	4	OULU	21	151
107	1	5	SKELLEFTEHAMN	21	152
108	1	6	ZEEBRUGGE	21	164
109	1	2	ANTWERP	22	151
110	1	3	KEMI	22	157
111	1	4	OULU	22	158
112	1	5	SKELLEFTEHAMN	22	159
113	1	6	ZEEBRUGGE	22	171
114	1	2	ANTWERP	23	158
115	1	3	KEMI	23	164
116	1	4	OULU	23	165
117	1	5	SKELLEFTEHAMN	23	166
118	1	6	ZEEBRUGGE	23	178
119	2	1	MONTOIR DE BRETAGNE	1	3
120	2	2	BREST	1	5
121	2	3	LE HAVRE	1	10
122	2	2	BREST	2	12
123	2	3	LE HAVRE	2	17
124	2	2	BREST	3	19
125	2	3	LE HAVRE	3	24
126	2	2	BREST	4	26
127	2	3	LE HAVRE	4	31
128	2	2	BREST	5	33
129	2	3	LE HAVRE	5	38
130	2	2	BREST	6	40
131	2	3	LE HAVRE	6	45
132	2	2	BREST	7	47
133	2	3	LE HAVRE	7	52
134	2	2	BREST	8	54
135	2	3	LE HAVRE	8	59
136	2	2	BREST	9	61
137	2	3	LE HAVRE	9	66
138	2	2	BREST	10	68
139	2	3	LE HAVRE	10	73
140	2	2	BREST	11	75
141	2	3	LE HAVRE	11	80
142	2	2	BREST	12	82
143	2	3	LE HAVRE	12	87
144	2	2	BREST	13	89
145	2	3	LE HAVRE	13	94
146	2	2	BREST	14	96
147	2	3	LE HAVRE	14	101
148	2	2	BREST	15	103
149	2	3	LE HAVRE	15	108
150	2	2	BREST	16	110
151	2	3	LE HAVRE	16	115
152	2	2	BREST	17	117
153	2	3	LE HAVRE	17	122
154	2	2	BREST	18	124
155	2	3	LE HAVRE	18	129
156	2	2	BREST	19	131
157	2	3	LE HAVRE	19	136
158	2	2	BREST	20	138
159	2	3	LE HAVRE	20	143
160	2	2	BREST	21	145
161	2	3	LE HAVRE	21	150
162	2	2	BREST	22	152
163	2	3	LE HAVRE	22	157
164	2	2	BREST	23	159
165	2	3	LE HAVRE	23	164
166	2	2	BREST	24	166
167	2	3	LE HAVRE	24	171
168	2	2	BREST	25	173
169	2	3	LE HAVRE	25	178
170	3	1	HELSINKI	1	3
171	3	2	TALLINN	1	4
172	3	3	HAMBURG	1	7
173	3	4	ROTTERDAM	1	10
174	3	5	TEESPORT	1	12
175	3	6	ROTTERDAM	1	13
176	3	7	HELSINKI	1	17
177	3	1	HELSINKI	2	10
178	3	2	TALLINN	2	11
179	3	3	HAMBURG	2	14
180	3	4	ROTTERDAM	2	17
181	3	5	TEESPORT	2	19
182	3	6	ROTTERDAM	2	20
183	3	7	HELSINKI	2	24
184	3	2	TALLINN	3	18
185	3	3	HAMBURG	3	21
186	3	4	ROTTERDAM	3	24
187	3	5	TEESPORT	3	26
188	3	6	ROTTERDAM	3	27
