ShippingRouteID	NumberofPorts	Ports	NumberofCall	PortsofCall	Time
1	5	ZEEBRUGGE,ANTWERP,KEMI,OULU,SKELLEFTEHAMN	6	ZEEBRUGGE,ANTWERP,KEMI,OULU,SKELLEFTEHAMN,ZEEBRUGGE	3,4,10,11,12,24
2	2	MONTOIR DE BRETAGNE,BREST	3	MONTOIR DE BRETAGNE,BREST,LE HAVRE	3,5,10
3	6	HELSINKI,TALLINN,HAMBURG,ROTTERDAM,TEESPORT,ROTTERDAM	7	HELSINKI,TALLINN,HAMBURG,ROTTERDAM,TEESPORT,ROTTERDAM,HELSINKI	3,4,7,10,12,13,17
4	6	HELSINKI,RIGA,KLAIPEDA,TEESPORT,ZEEBRUGGE,ROTTERDAM	7	HELSINKI,RIGA,KLAIPEDA,TEESPORT,ZEEBRUGGE,ROTTERDAM,HELSINKI	3,5,6,9,11,12,17
5	5	KLAIPEDA,GDYNIA,TEESPORT,TILBURY,ROTTERDAM	6	KLAIPEDA,GDYNIA,TEESPORT,TILBURY,ROTTERDAM,KLAIPEDA	3,4,9,10,13,17
6	2	GDYNIA,TEESPORT	3	GDYNIA,TEESPORT,GDYNIA	3,7,10
7	4	KLAIPEDA,GDYNIA,OSLO,AARHUS	5	KLAIPEDA,GDYNIA,OSLO,AARHUS,KLAIPEDA	3,5,6,8,17
8	4	DUNKERQUE,ROTTERDAM,DUBLIN,CORK	5	DUNKERQUE,ROTTERDAM,DUBLIN,CORK,DUNKERQUE	3,4,7,8,10
9	6	ROTTERDAM,LIVERPOOL,BELFAST,GREENOCK,DUBLIN,LIVERPOOL	7	ROTTERDAM,LIVERPOOL,BELFAST,GREENOCK,DUBLIN,LIVERPOOL,ROTTERDAM	3,7,10,11,12,14,17
10	4	CORK,DUBLIN,BELFAST,ROTTERDAM	5	CORK,DUBLIN,BELFAST,ROTTERDAM,CORK	3,4,5,8,17
11	5	HAMBURG,WILHELMSHAVEN,COPENHAGEN,GOTHENBURG,HELSINGBORG	6	HAMBURG,WILHELMSHAVEN,COPENHAGEN,GOTHENBURG,HELSINGBORG,HAMBURG	3,5,7,8,9,17
12	4	HAMBURG,FREDERICIA,SOEDERTAELJE,AHUS	5	HAMBURG,FREDERICIA,SOEDERTAELJE,AHUS,HAMBURG	3,6,8,9,17
13	4	ROTTERDAM,DUNKERQUE,MONTOIR DE BRETAGNE,SOUTHAMPTON	5	ROTTERDAM,DUNKERQUE,MONTOIR DE BRETAGNE,SOUTHAMPTON,ROTTERDAM	3,5,8,9,17
14	9	TILBURY,HAMBURG,ROTTERDAM,FERROL,LAS PALMAS,SANTA CRUZ DE TENERIFE,CASABLANCA,CADIZ,HUELVA	10	TILBURY,HAMBURG,ROTTERDAM,FERROL,LAS PALMAS,SANTA CRUZ DE TENERIFE,CASABLANCA,CADIZ,HUELVA,TILBURY	3,5,7,10,14,15,17,19,20,24
15	4	HAMBURG,AARHUS,GOTHENBURG,AALBORG	5	HAMBURG,AARHUS,GOTHENBURG,AALBORG,HAMBURG	3,8,8,9,10
16	5	BREMERHAVEN,WILHELMSHAVEN,HAMBURG,FREDERICIA,AARHUS	6	BREMERHAVEN,WILHELMSHAVEN,HAMBURG,FREDERICIA,AARHUS,BREMERHAVEN	3,5,6,9,10,17
17	6	BREMERHAVEN,HAMBURG,OSLO,DRAMMEN,LARVIK,KRISTIANSAND	7	BREMERHAVEN,HAMBURG,OSLO,DRAMMEN,LARVIK,KRISTIANSAND,BREMERHAVEN	3,5,7,7,8,9,17
18	5	BREMERHAVEN,HAMBURG,AARHUS,FREDERICIA,COPENHAGEN	6	BREMERHAVEN,HAMBURG,AARHUS,FREDERICIA,COPENHAGEN,BREMERHAVEN	3,4,7,7,8,10
19	5	BREMERHAVEN,HAMBURG,AARHUS,FREDERICIA,COPENHAGEN	6	BREMERHAVEN,HAMBURG,AARHUS,FREDERICIA,COPENHAGEN,BREMERHAVEN	3,4,7,8,8,10
20	3	ANTWERP,ROTTERDAM,DUBLIN	4	ANTWERP,ROTTERDAM,DUBLIN,ANTWERP	3,4,7,17
