PortID	Port	Region
1	PIRAEUS	EUROPE
2	THESSALONIKI	EUROPE
3	ISTANBUL, AMBARLI PORT E. SIDE	ASIA
4	CONSTANTA	EUROPE
5	VARNA	EUROPE
6	GEBZE	ASIA
7	DURRES	EUROPE
8	BARI	EUROPE
9	PLOCE	EUROPE
10	BAR	EUROPE
11	RIJEKA	EUROPE
12	ANCONA	EUROPE
13	RAVENNA	EUROPE
14	TRIESTE	EUROPE
15	VENEZIA	EUROPE
16	KOPER	EUROPE
17	ALEXANDRIA EL DEKHEILA	AFRICA
18	LIMASSOL	EUROPE
19	BEIRUT	MIDDLE EAST
20	TARANTO	EUROPE
21	BEJAIA	AFRICA
22	LA SPEZIA	EUROPE
23	GENOA	EUROPE
24	MARSEILLE	EUROPE
25	GHAZAOUET	AFRICA
26	AGADIR	AFRICA
27	ORAN	AFRICA
28	MOSTAGANEM	AFRICA
29	DJEN DJEN	AFRICA
30	ALGER	AFRICA
31	SKIKDA	AFRICA
32	ANNABA	AFRICA
33	HAYDARPASA ISTANBUL ASIAN SIDE	ASIA
34	POTI	EUROPE
35	VALENCIA	EUROPE
36	ALGECIRAS	EUROPE
37	CASABLANCA	AFRICA
38	TANGER MED	AFRICA
39	BARCELONA	EUROPE
40	ALEXANDRIA	AFRICA
41	LATTAKIA	ASIA
42	ISKENDERUN	ASIA
43	MERSIN	ASIA
44	PORT SAID	AFRICA
45	DAMIETTA	AFRICA
46	PORT SAID EAST	AFRICA
47	FOS SUR MER	EUROPE
48	CASTELLON DELA PLANA	EUROPE
49	IZMIT	ASIA
50	GEMLIK	EUROPE
51	PORT VENDRES	EUROPE
52	CADIZ	EUROPE
53	SANTA CRUZ DE TENERIFE	AFRICA
54	LAS PALMAS	AFRICA
55	ALICANTE	EUROPE
56	SALERNO	EUROPE
57	MISURATA	AFRICA
58	BINGAZI	AFRICA
59	IZMIR	ASIA
60	BURGAS	EUROPE
61	LIVORNO	EUROPE
62	NAPOLI	EUROPE
63	TRAPANI	EUROPE
64	CATANIA	EUROPE
65	TRIPOLI, LB	AFRICA
