PortID	Port	WhetherTrans	Region	Group
1	LAEM CHABANG	0	ASIA	1
2	SINGAPORE	1	ASIA	1
3	PORT QASIM	1	MIDDLE EAST	7
4	KARACHI	1	ASIA	1
5	COLOMBO	0	ASIA	1
6	PORT KLANG	0	ASIA	1
7	JEBEL ALI	1	MIDDLE EAST	7
8	AJMAN	1	ASIA	1
9	BAHRAIN KHALIFA BIN SALMAN PORT	1	ASIA	1
10	JUBAIL	0	MIDDLE EAST	7
11	KHALIFA PORT(ABU) DHABI	1	MIDDLE EAST	7
12	SHUAIBA	1	ASIA	1
13	SHUWAIKH	0	ASIA	1
14	JEDDAH	1	MIDDLE EAST	7
15	AIN SUKHNA	0	AFRICA	5
16	DJIBOUTI	1	AFRICA	5
17	AQABA	0	MIDDLE EAST	7
18	SALALAH	0	ASIA	1
19	BERBERA	1	AFRICA	5
20	UMM QASR	1	MIDDLE EAST	7
21	MUNDRA	1	ASIA	1
22	MASSAWA	0	AFRICA	5
23	SOHAR	0	ASIA	1
24	NHAVA SHEVA	1	ASIA	1
25	HAZIRA(GJ)	1	EUROPE	4
26	HAMAD	1	ASIA	1
27	DAMMAM	0	MIDDLE EAST	7
28	SHARJAH	0	ASIA	1
