PortID	OriginPort	DestinationPort	EarlistTime	Deadline
1	AIN SUKHNA	AJMAN	1	180
2	AIN SUKHNA	AQABA	1	180
3	AIN SUKHNA	BAHRAIN KHALIFA BIN SALMAN PORT	1	180
4	AIN SUKHNA	BERBERA	1	180
5	AIN SUKHNA	COLOMBO	1	180
6	AIN SUKHNA	DAMMAM	1	180
7	AIN SUKHNA	DJIBOUTI	1	180
8	AIN SUKHNA	HAMAD	1	180
9	AIN SUKHNA	HAZIRA(GJ)	1	180
10	AIN SUKHNA	JEBEL ALI	1	180
11	AIN SUKHNA	JEDDAH	1	180
12	AIN SUKHNA	JUBAIL	1	180
13	AIN SUKHNA	KARACHI	1	180
14	AIN SUKHNA	KHALIFA PORT(ABU) DHABI	1	180
15	AIN SUKHNA	LAEM CHABANG	1	180
16	AIN SUKHNA	MASSAWA	1	180
17	AIN SUKHNA	MUNDRA	1	180
18	AIN SUKHNA	NHAVA SHEVA	1	180
19	AIN SUKHNA	PORT KLANG	1	180
20	AIN SUKHNA	PORT QASIM	1	180
21	AIN SUKHNA	SALALAH	1	180
22	AIN SUKHNA	SHARJAH	1	180
23	AIN SUKHNA	SHUAIBA	1	180
24	AIN SUKHNA	SHUWAIKH	1	180
25	AIN SUKHNA	SINGAPORE	1	180
26	AIN SUKHNA	SOHAR	1	180
27	AIN SUKHNA	UMM QASR	1	180
28	AJMAN	AIN SUKHNA	1	180
29	AJMAN	AQABA	1	180
30	AJMAN	BAHRAIN KHALIFA BIN SALMAN PORT	1	180
31	AJMAN	BERBERA	1	180
32	AJMAN	COLOMBO	1	180
33	AJMAN	DAMMAM	1	180
34	AJMAN	DJIBOUTI	1	180
35	AJMAN	HAMAD	1	180
36	AJMAN	HAZIRA(GJ)	1	180
37	AJMAN	JEBEL ALI	1	180
38	AJMAN	JEDDAH	1	180
39	AJMAN	JUBAIL	1	180
40	AJMAN	KARACHI	1	180
41	AJMAN	KHALIFA PORT(ABU) DHABI	1	180
42	AJMAN	LAEM CHABANG	1	180
43	AJMAN	MASSAWA	1	180
44	AJMAN	MUNDRA	1	180
45	AJMAN	NHAVA SHEVA	1	180
46	AJMAN	PORT KLANG	1	180
47	AJMAN	PORT QASIM	1	180
48	AJMAN	SALALAH	1	180
49	AJMAN	SHARJAH	1	180
50	AJMAN	SHUAIBA	1	180
51	AJMAN	SHUWAIKH	1	180
52	AJMAN	SINGAPORE	1	180
53	AJMAN	SOHAR	1	180
54	AJMAN	UMM QASR	1	180
55	AQABA	AIN SUKHNA	1	180
56	AQABA	AJMAN	1	180
57	AQABA	BAHRAIN KHALIFA BIN SALMAN PORT	1	180
58	AQABA	BERBERA	1	180
59	AQABA	COLOMBO	1	180
60	AQABA	DAMMAM	1	180
61	AQABA	DJIBOUTI	1	180
62	AQABA	HAMAD	1	180
63	AQABA	HAZIRA(GJ)	1	180
64	AQABA	JEBEL ALI	1	180
65	AQABA	JEDDAH	1	180
66	AQABA	JUBAIL	1	180
67	AQABA	KARACHI	1	180
68	AQABA	KHALIFA PORT(ABU) DHABI	1	180
69	AQABA	LAEM CHABANG	1	180
70	AQABA	MASSAWA	1	180
71	AQABA	MUNDRA	1	180
72	AQABA	NHAVA SHEVA	1	180
73	AQABA	PORT KLANG	1	180
74	AQABA	PORT QASIM	1	180
75	AQABA	SALALAH	1	180
76	AQABA	SHARJAH	1	180
77	AQABA	SHUAIBA	1	180
78	AQABA	SHUWAIKH	1	180
79	AQABA	SINGAPORE	1	180
80	AQABA	SOHAR	1	180
81	AQABA	UMM QASR	1	180
82	BAHRAIN KHALIFA BIN SALMAN PORT	AIN SUKHNA	1	180
83	BAHRAIN KHALIFA BIN SALMAN PORT	AJMAN	1	180
84	BAHRAIN KHALIFA BIN SALMAN PORT	AQABA	1	180
85	BAHRAIN KHALIFA BIN SALMAN PORT	BERBERA	1	180
86	BAHRAIN KHALIFA BIN SALMAN PORT	COLOMBO	1	180
87	BAHRAIN KHALIFA BIN SALMAN PORT	DAMMAM	1	180
88	BAHRAIN KHALIFA BIN SALMAN PORT	DJIBOUTI	1	180
89	BAHRAIN KHALIFA BIN SALMAN PORT	HAMAD	1	180
90	BAHRAIN KHALIFA BIN SALMAN PORT	HAZIRA(GJ)	1	180
91	BAHRAIN KHALIFA BIN SALMAN PORT	JEBEL ALI	1	180
92	BAHRAIN KHALIFA BIN SALMAN PORT	JEDDAH	1	180
93	BAHRAIN KHALIFA BIN SALMAN PORT	JUBAIL	1	180
94	BAHRAIN KHALIFA BIN SALMAN PORT	KARACHI	1	180
95	BAHRAIN KHALIFA BIN SALMAN PORT	KHALIFA PORT(ABU) DHABI	1	180
96	BAHRAIN KHALIFA BIN SALMAN PORT	LAEM CHABANG	1	180
97	BAHRAIN KHALIFA BIN SALMAN PORT	MASSAWA	1	180
98	BAHRAIN KHALIFA BIN SALMAN PORT	MUNDRA	1	180
99	BAHRAIN KHALIFA BIN SALMAN PORT	NHAVA SHEVA	1	180
100	BAHRAIN KHALIFA BIN SALMAN PORT	PORT KLANG	1	180
101	BAHRAIN KHALIFA BIN SALMAN PORT	PORT QASIM	1	180
102	BAHRAIN KHALIFA BIN SALMAN PORT	SALALAH	1	180
103	BAHRAIN KHALIFA BIN SALMAN PORT	SHARJAH	1	180
104	BAHRAIN KHALIFA BIN SALMAN PORT	SHUAIBA	1	180
105	BAHRAIN KHALIFA BIN SALMAN PORT	SHUWAIKH	1	180
106	BAHRAIN KHALIFA BIN SALMAN PORT	SINGAPORE	1	180
107	BAHRAIN KHALIFA BIN SALMAN PORT	SOHAR	1	180
108	BAHRAIN KHALIFA BIN SALMAN PORT	UMM QASR	1	180
109	BERBERA	AIN SUKHNA	1	180
110	BERBERA	AJMAN	1	180
111	BERBERA	AQABA	1	180
112	BERBERA	BAHRAIN KHALIFA BIN SALMAN PORT	1	180
113	BERBERA	COLOMBO	1	180
114	BERBERA	DAMMAM	1	180
115	BERBERA	DJIBOUTI	1	180
116	BERBERA	HAMAD	1	180
117	BERBERA	HAZIRA(GJ)	1	180
118	BERBERA	JEBEL ALI	1	180
119	BERBERA	JEDDAH	1	180
120	BERBERA	JUBAIL	1	180
121	BERBERA	KARACHI	1	180
122	BERBERA	KHALIFA PORT(ABU) DHABI	1	180
123	BERBERA	LAEM CHABANG	1	180
124	BERBERA	MASSAWA	1	180
125	BERBERA	MUNDRA	1	180
126	BERBERA	NHAVA SHEVA	1	180
127	BERBERA	PORT KLANG	1	180
128	BERBERA	PORT QASIM	1	180
129	BERBERA	SALALAH	1	180
130	BERBERA	SHARJAH	1	180
131	BERBERA	SHUAIBA	1	180
132	BERBERA	SHUWAIKH	1	180
133	BERBERA	SINGAPORE	1	180
134	BERBERA	SOHAR	1	180
135	BERBERA	UMM QASR	1	180
136	COLOMBO	AIN SUKHNA	1	180
137	COLOMBO	AJMAN	1	180
138	COLOMBO	AQABA	1	180
139	COLOMBO	BAHRAIN KHALIFA BIN SALMAN PORT	1	180
140	COLOMBO	BERBERA	1	180
141	COLOMBO	DAMMAM	1	180
142	COLOMBO	DJIBOUTI	1	180
143	COLOMBO	HAMAD	1	180
144	COLOMBO	HAZIRA(GJ)	1	180
145	COLOMBO	JEBEL ALI	1	180
146	COLOMBO	JEDDAH	1	180
147	COLOMBO	JUBAIL	1	180
148	COLOMBO	KARACHI	1	180
149	COLOMBO	KHALIFA PORT(ABU) DHABI	1	180
150	COLOMBO	LAEM CHABANG	1	180
151	COLOMBO	MASSAWA	1	180
152	COLOMBO	MUNDRA	1	180
153	COLOMBO	NHAVA SHEVA	1	180
154	COLOMBO	PORT KLANG	1	180
155	COLOMBO	PORT QASIM	1	180
156	COLOMBO	SALALAH	1	180
157	COLOMBO	SHARJAH	1	180
158	COLOMBO	SHUAIBA	1	180
159	COLOMBO	SHUWAIKH	1	180
160	COLOMBO	SINGAPORE	1	180
161	COLOMBO	SOHAR	1	180
162	COLOMBO	UMM QASR	1	180
163	DAMMAM	AIN SUKHNA	1	180
164	DAMMAM	AJMAN	1	180
165	DAMMAM	AQABA	1	180
166	DAMMAM	BAHRAIN KHALIFA BIN SALMAN PORT	1	180
167	DAMMAM	BERBERA	1	180
168	DAMMAM	COLOMBO	1	180
169	DAMMAM	DJIBOUTI	1	180
170	DAMMAM	HAMAD	1	180
171	DAMMAM	HAZIRA(GJ)	1	180
172	DAMMAM	JEBEL ALI	1	180
173	DAMMAM	JEDDAH	1	180
174	DAMMAM	JUBAIL	1	180
175	DAMMAM	KARACHI	1	180
176	DAMMAM	KHALIFA PORT(ABU) DHABI	1	180
177	DAMMAM	LAEM CHABANG	1	180
178	DAMMAM	MASSAWA	1	180
179	DAMMAM	MUNDRA	1	180
180	DAMMAM	NHAVA SHEVA	1	180
181	DAMMAM	PORT KLANG	1	180
182	DAMMAM	PORT QASIM	1	180
183	DAMMAM	SALALAH	1	180
184	DAMMAM	SHARJAH	1	180
185	DAMMAM	SHUAIBA	1	180
186	DAMMAM	SHUWAIKH	1	180
187	DAMMAM	SINGAPORE	1	180
188	DAMMAM	SOHAR	1	180
189	DAMMAM	UMM QASR	1	180
190	DJIBOUTI	AIN SUKHNA	1	180
191	DJIBOUTI	AJMAN	1	180
192	DJIBOUTI	AQABA	1	180
193	DJIBOUTI	BAHRAIN KHALIFA BIN SALMAN PORT	1	180
194	DJIBOUTI	BERBERA	1	180
195	DJIBOUTI	COLOMBO	1	180
196	DJIBOUTI	DAMMAM	1	180
197	DJIBOUTI	HAMAD	1	180
198	DJIBOUTI	HAZIRA(GJ)	1	180
199	DJIBOUTI	JEBEL ALI	1	180
200	DJIBOUTI	JEDDAH	1	180
201	DJIBOUTI	JUBAIL	1	180
202	DJIBOUTI	KARACHI	1	180
203	DJIBOUTI	KHALIFA PORT(ABU) DHABI	1	180
204	DJIBOUTI	LAEM CHABANG	1	180
205	DJIBOUTI	MASSAWA	1	180
206	DJIBOUTI	MUNDRA	1	180
207	DJIBOUTI	NHAVA SHEVA	1	180
208	DJIBOUTI	PORT KLANG	1	180
209	DJIBOUTI	PORT QASIM	1	180
210	DJIBOUTI	SALALAH	1	180
211	DJIBOUTI	SHARJAH	1	180
212	DJIBOUTI	SHUAIBA	1	180
213	DJIBOUTI	SHUWAIKH	1	180
214	DJIBOUTI	SINGAPORE	1	180
215	DJIBOUTI	SOHAR	1	180
216	DJIBOUTI	UMM QASR	1	180
217	HAMAD	AIN SUKHNA	1	180
218	HAMAD	AJMAN	1	180
219	HAMAD	AQABA	1	180
220	HAMAD	BAHRAIN KHALIFA BIN SALMAN PORT	1	180
221	HAMAD	BERBERA	1	180
222	HAMAD	COLOMBO	1	180
223	HAMAD	DAMMAM	1	180
224	HAMAD	DJIBOUTI	1	180
225	HAMAD	HAZIRA(GJ)	1	180
226	HAMAD	JEBEL ALI	1	180
227	HAMAD	JEDDAH	1	180
228	HAMAD	JUBAIL	1	180
229	HAMAD	KARACHI	1	180
230	HAMAD	KHALIFA PORT(ABU) DHABI	1	180
231	HAMAD	LAEM CHABANG	1	180
232	HAMAD	MASSAWA	1	180
233	HAMAD	MUNDRA	1	180
234	HAMAD	NHAVA SHEVA	1	180
235	HAMAD	PORT KLANG	1	180
236	HAMAD	PORT QASIM	1	180
237	HAMAD	SALALAH	1	180
238	HAMAD	SHARJAH	1	180
239	HAMAD	SHUAIBA	1	180
240	HAMAD	SHUWAIKH	1	180
241	HAMAD	SINGAPORE	1	180
242	HAMAD	SOHAR	1	180
243	HAMAD	UMM QASR	1	180
244	HAZIRA(GJ)	AIN SUKHNA	1	180
245	HAZIRA(GJ)	AJMAN	1	180
246	HAZIRA(GJ)	AQABA	1	180
247	HAZIRA(GJ)	BAHRAIN KHALIFA BIN SALMAN PORT	1	180
248	HAZIRA(GJ)	BERBERA	1	180
249	HAZIRA(GJ)	COLOMBO	1	180
250	HAZIRA(GJ)	DAMMAM	1	180
251	HAZIRA(GJ)	DJIBOUTI	1	180
252	HAZIRA(GJ)	HAMAD	1	180
253	HAZIRA(GJ)	JEBEL ALI	1	180
254	HAZIRA(GJ)	JEDDAH	1	180
255	HAZIRA(GJ)	JUBAIL	1	180
256	HAZIRA(GJ)	KARACHI	1	180
257	HAZIRA(GJ)	KHALIFA PORT(ABU) DHABI	1	180
258	HAZIRA(GJ)	LAEM CHABANG	1	180
259	HAZIRA(GJ)	MASSAWA	1	180
260	HAZIRA(GJ)	MUNDRA	1	180
261	HAZIRA(GJ)	NHAVA SHEVA	1	180
262	HAZIRA(GJ)	PORT KLANG	1	180
263	HAZIRA(GJ)	PORT QASIM	1	180
264	HAZIRA(GJ)	SALALAH	1	180
265	HAZIRA(GJ)	SHARJAH	1	180
266	HAZIRA(GJ)	SHUAIBA	1	180
267	HAZIRA(GJ)	SHUWAIKH	1	180
268	HAZIRA(GJ)	SINGAPORE	1	180
269	HAZIRA(GJ)	SOHAR	1	180
270	HAZIRA(GJ)	UMM QASR	1	180
271	JEBEL ALI	AIN SUKHNA	1	180
272	JEBEL ALI	AJMAN	1	180
273	JEBEL ALI	AQABA	1	180
274	JEBEL ALI	BAHRAIN KHALIFA BIN SALMAN PORT	1	180
275	JEBEL ALI	BERBERA	1	180
276	JEBEL ALI	COLOMBO	1	180
277	JEBEL ALI	DAMMAM	1	180
278	JEBEL ALI	DJIBOUTI	1	180
279	JEBEL ALI	HAMAD	1	180
280	JEBEL ALI	HAZIRA(GJ)	1	180
281	JEBEL ALI	JEDDAH	1	180
282	JEBEL ALI	JUBAIL	1	180
283	JEBEL ALI	KARACHI	1	180
