VesselID	Capacity	OperationCost	RouteID	MaxNum
1	9130	7.367	1	1
2	5466	6.451	1	1
3	5624	6.491	1	1
4	5466	6.451	1	1
5	4957	6.324	1	1
6	210	2.137	2	1
7	1752	1.523	3	1
8	2015	3.588	4	1
9	1794	3.533	4	1
10	3534	3.968	5	1
11	3250	3.897	5	1
12	2681	3.755	5	1
13	2452	1.698	6	1
14	2452	2.698	7	1
15	1613	2.488	7	1
16	2011	1.587	8	1
17	2542	4.72	9	1
18	2546	4.721	9	1
19	2169	4.627	9	1
20	1114	2.363	10	1
21	1550	2.472	10	1
22	4586	3.231	11	1
23	3158	2.874	11	1
24	1	2.085	12	1
25	1	2.085	12	1
26	3768	4.027	13	1
27	2824	3.791	13	1
28	3534	3.968	13	1
29	2546	2.721	14	1
30	2764	2.776	14	1
31	1809	2.537	15	1
32	1717	2.514	15	1
33	3534	3.968	16	1
34	3534	3.968	16	1
35	3820	4.04	16	1
