TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
1683	PORT QASIM	3	18	4	1471	22	1	15
1684	PORT QASIM	3	18	11	1477	29	1	15
1685	KARACHI	4	19	1	1367	20	1	14
1686	KARACHI	4	19	8	1371	27	1	14
1687	KARACHI	4	19	4	1472	23	1	15
1688	KARACHI	4	19	11	1478	30	1	15
1689	KARACHI	4	19	5	1613	24	1	16
1690	KARACHI	4	19	12	1619	31	1	16
1691	PORT QASIM	11	25	4	1477	29	1	15
1692	PORT QASIM	11	25	11	1483	36	1	15
1693	KARACHI	12	26	1	1371	27	1	14
1694	KARACHI	12	26	8	1375	34	1	14
1695	KARACHI	12	26	4	1478	30	1	15
1696	KARACHI	12	26	11	1484	37	1	15
1697	KARACHI	12	26	5	1619	31	1	16
1698	KARACHI	12	26	12	1624	38	1	16
1699	PORT QASIM	19	32	4	1483	36	1	15
1700	PORT QASIM	19	32	11	1489	43	1	15
1701	KARACHI	20	33	1	1375	34	1	14
1702	KARACHI	20	33	8	1379	41	1	14
1703	KARACHI	20	33	4	1484	37	1	15
1704	KARACHI	20	33	11	1490	44	1	15
1705	KARACHI	20	33	5	1624	38	1	16
1706	KARACHI	20	33	12	1629	45	1	16
1707	PORT QASIM	27	39	4	1489	43	1	15
1708	PORT QASIM	27	39	11	1495	50	1	15
1709	KARACHI	28	40	1	1379	41	1	14
1710	KARACHI	28	40	8	1383	48	1	14
1711	KARACHI	28	40	4	1490	44	1	15
1712	KARACHI	28	40	11	1496	51	1	15
1713	KARACHI	28	40	5	1629	45	1	16
1714	KARACHI	28	40	12	1634	52	1	16
1715	PORT QASIM	35	46	4	1495	50	1	15
1716	PORT QASIM	35	46	11	1501	57	1	15
1717	KARACHI	36	47	1	1383	48	1	14
1718	KARACHI	36	47	8	1387	55	1	14
1719	KARACHI	36	47	4	1496	51	1	15
1720	KARACHI	36	47	11	1502	58	1	15
1721	KARACHI	36	47	5	1634	52	1	16
1722	KARACHI	36	47	12	1639	59	1	16
1723	PORT QASIM	42	53	4	1501	57	1	15
1724	PORT QASIM	42	53	11	1507	64	1	15
1725	KARACHI	43	54	1	1387	55	1	14
1726	KARACHI	43	54	8	1391	62	1	14
1727	KARACHI	43	54	4	1502	58	1	15
1728	KARACHI	43	54	11	1508	65	1	15
1729	KARACHI	43	54	5	1639	59	1	16
1730	KARACHI	43	54	12	1644	66	1	16
1731	PORT QASIM	49	60	4	1507	64	1	15
1732	PORT QASIM	49	60	11	1513	71	1	15
1733	KARACHI	50	61	1	1391	62	1	14
1734	KARACHI	50	61	8	1395	69	1	14
1735	KARACHI	50	61	4	1508	65	1	15
1736	KARACHI	50	61	11	1514	72	1	15
1737	KARACHI	50	61	5	1644	66	1	16
1738	KARACHI	50	61	12	1649	73	1	16
1739	PORT QASIM	56	67	4	1513	71	1	15
1740	PORT QASIM	56	67	11	1519	78	1	15
1741	KARACHI	57	68	1	1395	69	1	14
1742	KARACHI	57	68	8	1399	76	1	14
1743	KARACHI	57	68	4	1514	72	1	15
1744	KARACHI	57	68	11	1520	79	1	15
1745	KARACHI	57	68	5	1649	73	1	16
1746	KARACHI	57	68	12	1654	80	1	16
1747	PORT QASIM	63	74	4	1519	78	1	15
1748	PORT QASIM	63	74	11	1525	85	1	15
1749	KARACHI	64	75	1	1399	76	1	14
1750	KARACHI	64	75	8	1403	83	1	14
1751	KARACHI	64	75	4	1520	79	1	15
1752	KARACHI	64	75	11	1526	86	1	15
1753	KARACHI	64	75	5	1654	80	1	16
1754	KARACHI	64	75	12	1659	87	1	16
1755	PORT QASIM	70	81	4	1525	85	1	15
1756	PORT QASIM	70	81	11	1531	92	1	15
1757	KARACHI	71	82	1	1403	83	1	14
1758	KARACHI	71	82	8	1407	90	1	14
1759	KARACHI	71	82	4	1526	86	1	15
1760	KARACHI	71	82	11	1532	93	1	15
1761	KARACHI	71	82	5	1659	87	1	16
1762	KARACHI	71	82	12	1664	94	1	16
1763	PORT QASIM	77	88	4	1531	92	1	15
1764	PORT QASIM	77	88	11	1537	99	1	15
1765	KARACHI	78	89	1	1407	90	1	14
1766	KARACHI	78	89	8	1411	97	1	14
1767	KARACHI	78	89	4	1532	93	1	15
1768	KARACHI	78	89	11	1538	100	1	15
1769	KARACHI	78	89	5	1664	94	1	16
1770	KARACHI	78	89	12	1669	101	1	16
1771	PORT QASIM	84	95	4	1537	99	1	15
1772	PORT QASIM	84	95	11	1543	106	1	15
1773	KARACHI	85	96	1	1411	97	1	14
1774	KARACHI	85	96	8	1415	104	1	14
1775	KARACHI	85	96	4	1538	100	1	15
