TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	LAEM CHABANG	1	3	4	2	2	SINGAPORE	7
2	1	2	2	SINGAPORE	1	7	11	3	3	PORT QASIM	18
3	1	3	3	PORT QASIM	1	18	1	4	4	KARACHI	19
4	1	4	4	KARACHI	1	19	8	5	5	COLOMBO	27
5	1	5	5	COLOMBO	1	27	5	6	6	PORT KLANG	32
6	1	6	6	PORT KLANG	1	32	2	7	7	SINGAPORE	34
7	1	7	7	SINGAPORE	1	34	4	8	8	LAEM CHABANG	38
8	1	8	8	LAEM CHABANG	1	38	4	41	2	SINGAPORE	42
9	1	9	1	LAEM CHABANG	2	10	4	10	2	SINGAPORE	14
10	1	10	2	SINGAPORE	2	14	11	11	3	PORT QASIM	25
11	1	11	3	PORT QASIM	2	25	1	12	4	KARACHI	26
12	1	12	4	KARACHI	2	26	8	13	5	COLOMBO	34
13	1	13	5	COLOMBO	2	34	5	14	6	PORT KLANG	39
14	1	14	6	PORT KLANG	2	39	2	15	7	SINGAPORE	41
15	1	15	7	SINGAPORE	2	41	4	16	8	LAEM CHABANG	45
16	1	16	8	LAEM CHABANG	2	45	4	48	2	SINGAPORE	49
17	1	17	1	LAEM CHABANG	3	17	4	18	2	SINGAPORE	21
18	1	18	2	SINGAPORE	3	21	11	19	3	PORT QASIM	32
19	1	19	3	PORT QASIM	3	32	1	20	4	KARACHI	33
20	1	20	4	KARACHI	3	33	8	21	5	COLOMBO	41
21	1	21	5	COLOMBO	3	41	5	22	6	PORT KLANG	46
22	1	22	6	PORT KLANG	3	46	2	23	7	SINGAPORE	48
23	1	23	7	SINGAPORE	3	48	4	24	8	LAEM CHABANG	52
24	1	24	8	LAEM CHABANG	3	52	4	55	2	SINGAPORE	56
25	1	25	1	LAEM CHABANG	4	24	4	26	2	SINGAPORE	28
26	1	26	2	SINGAPORE	4	28	11	27	3	PORT QASIM	39
27	1	27	3	PORT QASIM	4	39	1	28	4	KARACHI	40
28	1	28	4	KARACHI	4	40	8	29	5	COLOMBO	48
29	1	29	5	COLOMBO	4	48	5	30	6	PORT KLANG	53
30	1	30	6	PORT KLANG	4	53	2	31	7	SINGAPORE	55
31	1	31	7	SINGAPORE	4	55	4	32	8	LAEM CHABANG	59
32	1	32	8	LAEM CHABANG	4	59	4	62	2	SINGAPORE	63
33	1	33	1	LAEM CHABANG	5	31	4	34	2	SINGAPORE	35
34	1	34	2	SINGAPORE	5	35	11	35	3	PORT QASIM	46
35	1	35	3	PORT QASIM	5	46	1	36	4	KARACHI	47
36	1	36	4	KARACHI	5	47	8	37	5	COLOMBO	55
37	1	37	5	COLOMBO	5	55	5	38	6	PORT KLANG	60
38	1	38	6	PORT KLANG	5	60	2	39	7	SINGAPORE	62
39	1	39	7	SINGAPORE	5	62	4	40	8	LAEM CHABANG	66
40	1	40	8	LAEM CHABANG	5	66	4	69	2	SINGAPORE	70
41	1	41	2	SINGAPORE	6	42	11	42	3	PORT QASIM	53
42	1	42	3	PORT QASIM	6	53	1	43	4	KARACHI	54
43	1	43	4	KARACHI	6	54	8	44	5	COLOMBO	62
