VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	7	1,2,3,4,5,6,7	3	38
2	1	7	9,10,11,12,13,14,15	10	45
3	1	7	17,18,19,20,21,22,23	17	52
4	1	7	25,26,27,28,29,30,31	24	59
5	1	7	33,34,35,36,37,38,39	31	66
6	1	7	8,41,42,43,44,45,46	38	73
7	1	7	16,48,49,50,51,52,53	45	80
8	1	7	24,55,56,57,58,59,60	52	87
9	1	7	32,62,63,64,65,66,67	59	94
10	1	7	40,69,70,71,72,73,74	66	101
11	1	7	47,76,77,78,79,80,81	73	108
12	1	7	54,83,84,85,86,87,88	80	115
13	1	7	61,90,91,92,93,94,95	87	122
14	1	7	68,97,98,99,100,101,102	94	129
15	1	7	75,104,105,106,107,108,109	101	136
16	1	7	82,111,112,113,114,115,116	108	143
17	1	7	89,118,119,120,121,122,123	115	150
18	1	7	96,124,125,126,127,128,129	122	157
19	1	7	103,130,131,132,133,134,135	129	164
20	1	7	110,136,137,138,139,140,141	136	171
21	1	7	117,142,143,144,145,146,147	143	178
22	2	4	148,149,150,151	3	17
23	2	4	153,154,155,156	10	24
24	2	4	152,158,159,160	17	31
25	2	4	157,162,163,164	24	38
26	2	4	161,166,167,168	31	45
27	2	4	165,170,171,172	38	52
28	2	4	169,174,175,176	45	59
29	2	4	173,178,179,180	52	66
30	2	4	177,182,183,184	59	73
31	2	4	181,186,187,188	66	80
32	2	4	185,190,191,192	73	87
33	2	4	189,194,195,196	80	94
34	2	4	193,198,199,200	87	101
35	2	4	197,202,203,204	94	108
36	2	4	201,206,207,208	101	115
37	2	4	205,210,211,212	108	122
38	2	4	209,214,215,216	115	129
39	2	4	213,218,219,220	122	136
40	2	4	217,222,223,224	129	143
41	2	4	221,226,227,228	136	150
42	2	4	225,230,231,232	143	157
43	2	4	229,234,235,236	150	164
44	2	4	233,238,239,240	157	171
45	2	4	237,241,242,243	164	178
46	3	3	244,245,246	3	10
47	3	3	247,248,249	10	17
48	3	3	250,251,252	17	24
49	3	3	253,254,255	24	31
50	3	3	256,257,258	31	38
51	3	3	259,260,261	38	45
52	3	3	262,263,264	45	52
53	3	3	265,266,267	52	59
54	3	3	268,269,270	59	66
55	3	3	271,272,273	66	73
56	3	3	274,275,276	73	80
57	3	3	277,278,279	80	87
58	3	3	280,281,282	87	94
59	3	3	283,284,285	94	101
60	3	3	286,287,288	101	108
61	3	3	289,290,291	108	115
62	3	3	292,293,294	115	122
63	3	3	295,296,297	122	129
64	3	3	298,299,300	129	136
65	3	3	301,302,303	136	143
66	3	3	304,305,306	143	150
67	3	3	307,308,309	150	157
68	3	3	310,311,312	157	164
69	3	3	313,314,315	164	171
70	3	3	316,317,318	171	178
71	4	4	319,320,321,322	3	24
72	4	4	324,325,326,327	10	31
73	4	4	329,330,331,332	17	38
74	4	4	323,334,335,336	24	45
