ID	Route	Call	Port	Round_trip	Time
1	1	1	LAEM CHABANG	1	3
2	1	2	SINGAPORE	1	7
3	1	3	PORT QASIM	1	18
4	1	4	KARACHI	1	19
5	1	5	COLOMBO	1	27
6	1	6	PORT KLANG	1	32
7	1	7	SINGAPORE	1	34
8	1	8	LAEM CHABANG	1	38
9	1	1	LAEM CHABANG	2	10
10	1	2	SINGAPORE	2	14
11	1	3	PORT QASIM	2	25
12	1	4	KARACHI	2	26
13	1	5	COLOMBO	2	34
14	1	6	PORT KLANG	2	39
15	1	7	SINGAPORE	2	41
16	1	8	LAEM CHABANG	2	45
17	1	1	LAEM CHABANG	3	17
18	1	2	SINGAPORE	3	21
19	1	3	PORT QASIM	3	32
20	1	4	KARACHI	3	33
21	1	5	COLOMBO	3	41
22	1	6	PORT KLANG	3	46
23	1	7	SINGAPORE	3	48
24	1	8	LAEM CHABANG	3	52
25	1	1	LAEM CHABANG	4	24
26	1	2	SINGAPORE	4	28
27	1	3	PORT QASIM	4	39
28	1	4	KARACHI	4	40
29	1	5	COLOMBO	4	48
30	1	6	PORT KLANG	4	53
31	1	7	SINGAPORE	4	55
32	1	8	LAEM CHABANG	4	59
33	1	1	LAEM CHABANG	5	31
34	1	2	SINGAPORE	5	35
35	1	3	PORT QASIM	5	46
36	1	4	KARACHI	5	47
37	1	5	COLOMBO	5	55
38	1	6	PORT KLANG	5	60
39	1	7	SINGAPORE	5	62
40	1	8	LAEM CHABANG	5	66
41	1	2	SINGAPORE	6	42
42	1	3	PORT QASIM	6	53
43	1	4	KARACHI	6	54
44	1	5	COLOMBO	6	62
45	1	6	PORT KLANG	6	67
46	1	7	SINGAPORE	6	69
47	1	8	LAEM CHABANG	6	73
48	1	2	SINGAPORE	7	49
49	1	3	PORT QASIM	7	60
50	1	4	KARACHI	7	61
51	1	5	COLOMBO	7	69
52	1	6	PORT KLANG	7	74
53	1	7	SINGAPORE	7	76
54	1	8	LAEM CHABANG	7	80
55	1	2	SINGAPORE	8	56
56	1	3	PORT QASIM	8	67
57	1	4	KARACHI	8	68
58	1	5	COLOMBO	8	76
59	1	6	PORT KLANG	8	81
60	1	7	SINGAPORE	8	83
61	1	8	LAEM CHABANG	8	87
62	1	2	SINGAPORE	9	63
63	1	3	PORT QASIM	9	74
64	1	4	KARACHI	9	75
65	1	5	COLOMBO	9	83
66	1	6	PORT KLANG	9	88
67	1	7	SINGAPORE	9	90
68	1	8	LAEM CHABANG	9	94
69	1	2	SINGAPORE	10	70
70	1	3	PORT QASIM	10	81
71	1	4	KARACHI	10	82
72	1	5	COLOMBO	10	90
73	1	6	PORT KLANG	10	95
74	1	7	SINGAPORE	10	97
75	1	8	LAEM CHABANG	10	101
76	1	2	SINGAPORE	11	77
77	1	3	PORT QASIM	11	88
78	1	4	KARACHI	11	89
79	1	5	COLOMBO	11	97
80	1	6	PORT KLANG	11	102
81	1	7	SINGAPORE	11	104
82	1	8	LAEM CHABANG	11	108
83	1	2	SINGAPORE	12	84
84	1	3	PORT QASIM	12	95
85	1	4	KARACHI	12	96
86	1	5	COLOMBO	12	104
87	1	6	PORT KLANG	12	109
88	1	7	SINGAPORE	12	111
89	1	8	LAEM CHABANG	12	115
90	1	2	SINGAPORE	13	91
91	1	3	PORT QASIM	13	102
92	1	4	KARACHI	13	103
93	1	5	COLOMBO	13	111
94	1	6	PORT KLANG	13	116
95	1	7	SINGAPORE	13	118
96	1	8	LAEM CHABANG	13	122
97	1	2	SINGAPORE	14	98
98	1	3	PORT QASIM	14	109
99	1	4	KARACHI	14	110
100	1	5	COLOMBO	14	118
101	1	6	PORT KLANG	14	123
102	1	7	SINGAPORE	14	125
103	1	8	LAEM CHABANG	14	129
104	1	2	SINGAPORE	15	105
105	1	3	PORT QASIM	15	116
106	1	4	KARACHI	15	117
107	1	5	COLOMBO	15	125
108	1	6	PORT KLANG	15	130
109	1	7	SINGAPORE	15	132
110	1	8	LAEM CHABANG	15	136
111	1	2	SINGAPORE	16	112
112	1	3	PORT QASIM	16	123
113	1	4	KARACHI	16	124
114	1	5	COLOMBO	16	132
115	1	6	PORT KLANG	16	137
116	1	7	SINGAPORE	16	139
117	1	8	LAEM CHABANG	16	143
118	1	2	SINGAPORE	17	119
119	1	3	PORT QASIM	17	130
120	1	4	KARACHI	17	131
121	1	5	COLOMBO	17	139
122	1	6	PORT KLANG	17	144
123	1	7	SINGAPORE	17	146
124	1	8	LAEM CHABANG	17	150
125	1	2	SINGAPORE	18	126
126	1	3	PORT QASIM	18	137
127	1	4	KARACHI	18	138
128	1	5	COLOMBO	18	146
129	1	6	PORT KLANG	18	151
130	1	7	SINGAPORE	18	153
131	1	8	LAEM CHABANG	18	157
132	1	2	SINGAPORE	19	133
133	1	3	PORT QASIM	19	144
134	1	4	KARACHI	19	145
135	1	5	COLOMBO	19	153
136	1	6	PORT KLANG	19	158
137	1	7	SINGAPORE	19	160
138	1	8	LAEM CHABANG	19	164
139	1	2	SINGAPORE	20	140
140	1	3	PORT QASIM	20	151
141	1	4	KARACHI	20	152
142	1	5	COLOMBO	20	160
143	1	6	PORT KLANG	20	165
144	1	7	SINGAPORE	20	167
145	1	8	LAEM CHABANG	20	171
146	1	2	SINGAPORE	21	147
147	1	3	PORT QASIM	21	158
148	1	4	KARACHI	21	159
149	1	5	COLOMBO	21	167
150	1	6	PORT KLANG	21	172
151	1	7	SINGAPORE	21	174
152	1	8	LAEM CHABANG	21	178
153	2	1	JEBEL ALI	1	3
154	2	2	AJMAN	1	5
155	2	3	JEBEL ALI	1	7
156	2	4	AJMAN	1	8
157	2	5	JEBEL ALI	1	17
158	2	1	JEBEL ALI	2	10
159	2	2	AJMAN	2	12
160	2	3	JEBEL ALI	2	14
161	2	4	AJMAN	2	15
162	2	5	JEBEL ALI	2	24
163	2	2	AJMAN	3	19
164	2	3	JEBEL ALI	3	21
165	2	4	AJMAN	3	22
166	2	5	JEBEL ALI	3	31
167	2	2	AJMAN	4	26
168	2	3	JEBEL ALI	4	28
169	2	4	AJMAN	4	29
170	2	5	JEBEL ALI	4	38
171	2	2	AJMAN	5	33
172	2	3	JEBEL ALI	5	35
173	2	4	AJMAN	5	36
174	2	5	JEBEL ALI	5	45
175	2	2	AJMAN	6	40
176	2	3	JEBEL ALI	6	42
177	2	4	AJMAN	6	43
178	2	5	JEBEL ALI	6	52
179	2	2	AJMAN	7	47
180	2	3	JEBEL ALI	7	49
181	2	4	AJMAN	7	50
182	2	5	JEBEL ALI	7	59
183	2	2	AJMAN	8	54
184	2	3	JEBEL ALI	8	56
185	2	4	AJMAN	8	57
186	2	5	JEBEL ALI	8	66
187	2	2	AJMAN	9	61
188	2	3	JEBEL ALI	9	63
189	2	4	AJMAN	9	64
190	2	5	JEBEL ALI	9	73
191	2	2	AJMAN	10	68
192	2	3	JEBEL ALI	10	70
193	2	4	AJMAN	10	71
194	2	5	JEBEL ALI	10	80
195	2	2	AJMAN	11	75
196	2	3	JEBEL ALI	11	77
197	2	4	AJMAN	11	78
198	2	5	JEBEL ALI	11	87
199	2	2	AJMAN	12	82
200	2	3	JEBEL ALI	12	84
201	2	4	AJMAN	12	85
202	2	5	JEBEL ALI	12	94
203	2	2	AJMAN	13	89
204	2	3	JEBEL ALI	13	91
205	2	4	AJMAN	13	92
206	2	5	JEBEL ALI	13	101
207	2	2	AJMAN	14	96
208	2	3	JEBEL ALI	14	98
209	2	4	AJMAN	14	99
210	2	5	JEBEL ALI	14	108
211	2	2	AJMAN	15	103
212	2	3	JEBEL ALI	15	105
213	2	4	AJMAN	15	106
214	2	5	JEBEL ALI	15	115
215	2	2	AJMAN	16	110
216	2	3	JEBEL ALI	16	112
217	2	4	AJMAN	16	113
218	2	5	JEBEL ALI	16	122
219	2	2	AJMAN	17	117
220	2	3	JEBEL ALI	17	119
221	2	4	AJMAN	17	120
222	2	5	JEBEL ALI	17	129
223	2	2	AJMAN	18	124
224	2	3	JEBEL ALI	18	126
225	2	4	AJMAN	18	127
226	2	5	JEBEL ALI	18	136
227	2	2	AJMAN	19	131
228	2	3	JEBEL ALI	19	133
229	2	4	AJMAN	19	134
230	2	5	JEBEL ALI	19	143
231	2	2	AJMAN	20	138
232	2	3	JEBEL ALI	20	140
233	2	4	AJMAN	20	141
234	2	5	JEBEL ALI	20	150
235	2	2	AJMAN	21	145
236	2	3	JEBEL ALI	21	147
237	2	4	AJMAN	21	148
238	2	5	JEBEL ALI	21	157
239	2	2	AJMAN	22	152
240	2	3	JEBEL ALI	22	154
241	2	4	AJMAN	22	155
