ShippingRouteID	NumberofPorts	Ports	NumberofCall	PortsofCall	Time
1	7	LAEM CHABANG,SINGAPORE,PORT QASIM,KARACHI,COLOMBO,PORT KLANG,SINGAPORE	8	LAEM CHABANG,SINGAPORE,PORT QASIM,KARACHI,COLOMBO,PORT KLANG,SINGAPORE,LAEM CHABANG	3,7,18,19,27,32,34,38
2	4	JEBEL ALI,AJMAN,JEBEL ALI,AJMAN	5	JEBEL ALI,AJMAN,JEBEL ALI,AJMAN,JEBEL ALI	3,5,7,8,17
3	3	JEBEL ALI,BAHRAIN KHALIFA BIN SALMAN PORT,JUBAIL	4	JEBEL ALI,BAHRAIN KHALIFA BIN SALMAN PORT,JUBAIL,JEBEL ALI	3,7,8,10
4	4	KHALIFA PORT, ABU DHABI,JEBEL ALI,SHUAIBA,SHUWAIKH	5	KHALIFA PORT, ABU DHABI,JEBEL ALI,SHUAIBA,SHUWAIKH,KHALIFA PORT, ABU DHABI	3,4,8,10,24
5	5	JEBEL ALI,JEDDAH,AIN SUKHNA,JEDDAH,DJIBOUTI	6	JEBEL ALI,JEDDAH,AIN SUKHNA,JEDDAH,DJIBOUTI,JEBEL ALI	3,8,12,15,18,24
6	2	JEDDAH,AQABA	3	JEDDAH,AQABA,JEDDAH	3,7,10
7	4	JEBEL ALI,SALALAH,BERBERA,DJIBOUTI	5	JEBEL ALI,SALALAH,BERBERA,DJIBOUTI,JEBEL ALI	3,8,10,12,17
8	2	JEBEL ALI,UMM QASR	3	JEBEL ALI,UMM QASR,JEBEL ALI	3,6,10
9	5	BAHRAIN KHALIFA BIN SALMAN PORT,UMM QASR,KHALIFA PORT, ABU DHABI,MUNDRA,KHALIFA PORT, ABU DHABI	6	BAHRAIN KHALIFA BIN SALMAN PORT,UMM QASR,KHALIFA PORT, ABU DHABI,MUNDRA,KHALIFA PORT, ABU DHABI,BAHRAIN KHALIFA BIN SALMAN PORT	3,7,9,14,23,31
10	4	JEDDAH,DJIBOUTI,BERBERA,MASSAWA	5	JEDDAH,DJIBOUTI,BERBERA,MASSAWA,JEDDAH	3,7,10,13,17
11	4	JEBEL ALI,SOHAR,MUNDRA,NHAVA SHEVA	5	JEBEL ALI,SOHAR,MUNDRA,NHAVA SHEVA,JEBEL ALI	3,6,10,12,17
12	5	JEBEL ALI,KHALIFA PORT, ABU DHABI,MUNDRA,HAZIRA, GJ,NHAVA SHEVA	6	JEBEL ALI,KHALIFA PORT, ABU DHABI,MUNDRA,HAZIRA, GJ,NHAVA SHEVA,JEBEL ALI	3,5,8,11,12,17
13	8	JEBEL ALI,KHALIFA PORT, ABU DHABI,NHAVA SHEVA,HAZIRA, GJ,MUNDRA,JEBEL ALI,HAMAD,DAMMAM	9	JEBEL ALI,KHALIFA PORT, ABU DHABI,NHAVA SHEVA,HAZIRA, GJ,MUNDRA,JEBEL ALI,HAMAD,DAMMAM,JEBEL ALI	3,5,10,12,14,17,20,23,24
14	4	JEBEL ALI,HAMAD,JEBEL ALI,KARACHI	5	JEBEL ALI,HAMAD,JEBEL ALI,KARACHI,JEBEL ALI	3,5,9,13,17
15	6	JEBEL ALI,PORT QASIM,KARACHI,JEBEL ALI,SHARJAH,KHALIFA PORT, ABU DHABI	7	JEBEL ALI,PORT QASIM,KARACHI,JEBEL ALI,SHARJAH,KHALIFA PORT, ABU DHABI,JEBEL ALI	3,8,9,13,15,16,17
16	5	JEBEL ALI,SHUAIBA,UMM QASR,JEBEL ALI,KARACHI	6	JEBEL ALI,SHUAIBA,UMM QASR,JEBEL ALI,KARACHI,JEBEL ALI	3,7,9,13,17,24
