PortID	Port	WhetherTrans	Region	Group
1	KINGSTON	0	AMERICA North	2
2	BELIZE CITY	0	AMERICA North	2
3	CARTAGENA(CO)	1	AMERICA South	3
4	MANZANILLO(PA)	1	AMERICA South	3
5	MANAUS	0	AMERICA South	3
6	VILA DO CONDE	0	AMERICA South	3
7	BUENOS AIRES	0	AMERICA South	3
8	MONTEVIDEO	0	AMERICA South	3
9	RIO GRANDE	0	AMERICA South	3
10	NAVEGANTES	1	AMERICA South	3
11	SANTOS	1	AMERICA South	3
12	SUAPE	0	AMERICA South	3
13	PECEM	0	AMERICA South	3
14	SALVADOR	0	AMERICA South	3
15	BARRANQUILLA	0	AMERICA South	3
16	TURBO	0	AMERICA South	3
