TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
439	CARTAGENA, CO	50	7	0	352	7	2	4
440	CARTAGENA, CO	50	7	7	356	14	2	4
441	MANZANILLO, PA	51	9	1	354	10	2	4
442	MANZANILLO, PA	51	9	8	358	17	2	4
443	CARTAGENA, CO	54	35	0	368	35	2	4
444	CARTAGENA, CO	54	35	7	372	42	2	4
445	CARTAGENA, CO	55	14	0	356	14	2	4
446	CARTAGENA, CO	55	14	7	360	21	2	4
447	MANZANILLO, PA	56	16	1	358	17	2	4
448	MANZANILLO, PA	56	16	8	362	24	2	4
449	CARTAGENA, CO	59	42	0	372	42	2	4
450	CARTAGENA, CO	59	42	7	376	49	2	4
451	CARTAGENA, CO	60	21	0	360	21	2	4
452	CARTAGENA, CO	60	21	7	364	28	2	4
453	MANZANILLO, PA	61	23	1	362	24	2	4
454	MANZANILLO, PA	61	23	8	366	31	2	4
455	CARTAGENA, CO	64	49	0	376	49	2	4
456	CARTAGENA, CO	64	49	7	380	56	2	4
457	CARTAGENA, CO	65	28	0	364	28	2	4
458	CARTAGENA, CO	65	28	7	368	35	2	4
459	MANZANILLO, PA	66	30	1	366	31	2	4
460	MANZANILLO, PA	66	30	8	370	38	2	4
461	CARTAGENA, CO	69	56	0	380	56	2	4
462	CARTAGENA, CO	69	56	7	384	63	2	4
463	MANZANILLO, PA	70	37	1	370	38	2	4
464	MANZANILLO, PA	70	37	8	374	45	2	4
465	CARTAGENA, CO	73	63	0	384	63	2	4
466	CARTAGENA, CO	73	63	7	388	70	2	4
467	MANZANILLO, PA	74	44	1	374	45	2	4
468	MANZANILLO, PA	74	44	8	378	52	2	4
469	CARTAGENA, CO	77	70	0	388	70	2	4
470	CARTAGENA, CO	77	70	7	392	77	2	4
471	MANZANILLO, PA	78	51	1	378	52	2	4
472	MANZANILLO, PA	78	51	8	382	59	2	4
473	CARTAGENA, CO	81	77	0	392	77	2	4
474	CARTAGENA, CO	81	77	7	396	84	2	4
475	MANZANILLO, PA	82	58	1	382	59	2	4
476	MANZANILLO, PA	82	58	8	386	66	2	4
477	CARTAGENA, CO	85	84	0	396	84	2	4
478	CARTAGENA, CO	85	84	7	400	91	2	4
479	MANZANILLO, PA	86	65	1	386	66	2	4
480	MANZANILLO, PA	86	65	8	390	73	2	4
481	CARTAGENA, CO	89	91	0	400	91	2	4
482	CARTAGENA, CO	89	91	7	404	98	2	4
483	MANZANILLO, PA	90	72	1	390	73	2	4
484	MANZANILLO, PA	90	72	8	394	80	2	4
485	CARTAGENA, CO	93	98	0	404	98	2	4
486	CARTAGENA, CO	93	98	7	408	105	2	4
487	MANZANILLO, PA	94	79	1	394	80	2	4
488	MANZANILLO, PA	94	79	8	398	87	2	4
489	CARTAGENA, CO	97	105	0	408	105	2	4
490	CARTAGENA, CO	97	105	7	412	112	2	4
491	MANZANILLO, PA	98	86	1	398	87	2	4
492	MANZANILLO, PA	98	86	8	402	94	2	4
493	CARTAGENA, CO	101	112	0	412	112	2	4
494	CARTAGENA, CO	101	112	7	416	119	2	4
495	MANZANILLO, PA	102	93	1	402	94	2	4
496	MANZANILLO, PA	102	93	8	406	101	2	4
497	CARTAGENA, CO	105	119	0	416	119	2	4
498	CARTAGENA, CO	105	119	7	420	126	2	4
499	MANZANILLO, PA	106	100	1	406	101	2	4
500	MANZANILLO, PA	106	100	8	410	108	2	4
501	CARTAGENA, CO	109	126	0	420	126	2	4
502	CARTAGENA, CO	109	126	7	424	133	2	4
503	MANZANILLO, PA	110	107	1	410	108	2	4
504	MANZANILLO, PA	110	107	8	414	115	2	4
505	CARTAGENA, CO	113	133	0	424	133	2	4
506	CARTAGENA, CO	113	133	7	428	140	2	4
507	MANZANILLO, PA	114	114	1	414	115	2	4
508	MANZANILLO, PA	114	114	8	418	122	2	4
509	CARTAGENA, CO	117	140	0	428	140	2	4
510	CARTAGENA, CO	117	140	7	432	147	2	4
511	MANZANILLO, PA	118	121	1	418	122	2	4
512	MANZANILLO, PA	118	121	8	422	129	2	4
513	CARTAGENA, CO	121	147	0	432	147	2	4
514	CARTAGENA, CO	121	147	7	436	154	2	4
515	MANZANILLO, PA	122	128	1	422	129	2	4
516	MANZANILLO, PA	122	128	8	426	136	2	4
517	CARTAGENA, CO	125	154	0	436	154	2	4
518	CARTAGENA, CO	125	154	7	440	161	2	4
519	MANZANILLO, PA	126	135	1	426	136	2	4
520	MANZANILLO, PA	126	135	8	430	143	2	4
521	CARTAGENA, CO	129	161	0	440	161	2	4
522	CARTAGENA, CO	129	161	7	444	168	2	4
523	MANZANILLO, PA	130	142	1	430	143	2	4
524	MANZANILLO, PA	130	142	8	434	150	2	4
525	CARTAGENA, CO	133	168	0	444	168	2	4
526	CARTAGENA, CO	133	168	7	448	175	2	4
527	MANZANILLO, PA	134	149	1	434	150	2	4
528	MANZANILLO, PA	134	149	8	438	157	2	4
529	CARTAGENA, CO	137	175	0	448	175	2	4
530	CARTAGENA, CO	352	7	0	50	7	4	2
531	CARTAGENA, CO	352	7	7	55	14	4	2
532	MANZANILLO, PA	354	10	6	56	16	4	2
533	MANZANILLO, PA	354	10	13	61	23	4	2
