TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	KINGSTON	1	7	3	2	2	BELIZE CITY	10
2	1	2	2	BELIZE CITY	1	10	4	3	3	KINGSTON	14
3	1	3	3	KINGSTON	1	14	3	4	2	BELIZE CITY	17
4	1	4	2	BELIZE CITY	2	17	4	5	3	KINGSTON	21
5	1	5	3	KINGSTON	2	21	3	6	2	BELIZE CITY	24
6	1	6	2	BELIZE CITY	3	24	4	7	3	KINGSTON	28
7	1	7	3	KINGSTON	3	28	3	8	2	BELIZE CITY	31
8	1	8	2	BELIZE CITY	4	31	4	9	3	KINGSTON	35
9	1	9	3	KINGSTON	4	35	3	10	2	BELIZE CITY	38
10	1	10	2	BELIZE CITY	5	38	4	11	3	KINGSTON	42
11	1	11	3	KINGSTON	5	42	3	12	2	BELIZE CITY	45
12	1	12	2	BELIZE CITY	6	45	4	13	3	KINGSTON	49
13	1	13	3	KINGSTON	6	49	3	14	2	BELIZE CITY	52
14	1	14	2	BELIZE CITY	7	52	4	15	3	KINGSTON	56
15	1	15	3	KINGSTON	7	56	3	16	2	BELIZE CITY	59
16	1	16	2	BELIZE CITY	8	59	4	17	3	KINGSTON	63
17	1	17	3	KINGSTON	8	63	3	18	2	BELIZE CITY	66
18	1	18	2	BELIZE CITY	9	66	4	19	3	KINGSTON	70
19	1	19	3	KINGSTON	9	70	3	20	2	BELIZE CITY	73
20	1	20	2	BELIZE CITY	10	73	4	21	3	KINGSTON	77
21	1	21	3	KINGSTON	10	77	3	22	2	BELIZE CITY	80
22	1	22	2	BELIZE CITY	11	80	4	23	3	KINGSTON	84
23	1	23	3	KINGSTON	11	84	3	24	2	BELIZE CITY	87
24	1	24	2	BELIZE CITY	12	87	4	25	3	KINGSTON	91
25	1	25	3	KINGSTON	12	91	3	26	2	BELIZE CITY	94
26	1	26	2	BELIZE CITY	13	94	4	27	3	KINGSTON	98
27	1	27	3	KINGSTON	13	98	3	28	2	BELIZE CITY	101
28	1	28	2	BELIZE CITY	14	101	4	29	3	KINGSTON	105
29	1	29	3	KINGSTON	14	105	3	30	2	BELIZE CITY	108
30	1	30	2	BELIZE CITY	15	108	4	31	3	KINGSTON	112
31	1	31	3	KINGSTON	15	112	3	32	2	BELIZE CITY	115
32	1	32	2	BELIZE CITY	16	115	4	33	3	KINGSTON	119
33	1	33	3	KINGSTON	16	119	3	34	2	BELIZE CITY	122
34	1	34	2	BELIZE CITY	17	122	4	35	3	KINGSTON	126
35	1	35	3	KINGSTON	17	126	3	36	2	BELIZE CITY	129
36	1	36	2	BELIZE CITY	18	129	4	37	3	KINGSTON	133
37	1	37	3	KINGSTON	18	133	3	38	2	BELIZE CITY	136
38	1	38	2	BELIZE CITY	19	136	4	39	3	KINGSTON	140
39	1	39	3	KINGSTON	19	140	3	40	2	BELIZE CITY	143
40	1	40	2	BELIZE CITY	20	143	4	41	3	KINGSTON	147
41	1	41	3	KINGSTON	20	147	3	42	2	BELIZE CITY	150
42	1	42	2	BELIZE CITY	21	150	4	43	3	KINGSTON	154
43	1	43	3	KINGSTON	21	154	3	44	2	BELIZE CITY	157
44	1	44	2	BELIZE CITY	22	157	4	45	3	KINGSTON	161
45	1	45	3	KINGSTON	22	161	3	46	2	BELIZE CITY	164
46	1	46	2	BELIZE CITY	23	164	4	47	3	KINGSTON	168
47	1	47	3	KINGSTON	23	168	3	48	2	BELIZE CITY	171
48	1	48	2	BELIZE CITY	24	171	4	49	3	KINGSTON	175
49	2	50	1	CARTAGENA(CO)	1	7	2	51	2	MANZANILLO(PA)	9
50	2	51	2	MANZANILLO(PA)	1	9	10	52	3	MANAUS	19
51	2	52	3	MANAUS	1	19	6	53	4	VILA DO CONDE	25
52	2	53	4	VILA DO CONDE	1	25	10	54	5	CARTAGENA(CO)	35
53	2	54	5	CARTAGENA(CO)	1	35	2	70	2	MANZANILLO(PA)	37
54	2	55	1	CARTAGENA(CO)	2	14	2	56	2	MANZANILLO(PA)	16
55	2	56	2	MANZANILLO(PA)	2	16	10	57	3	MANAUS	26
56	2	57	3	MANAUS	2	26	6	58	4	VILA DO CONDE	32
57	2	58	4	VILA DO CONDE	2	32	10	59	5	CARTAGENA(CO)	42
58	2	59	5	CARTAGENA(CO)	2	42	2	74	2	MANZANILLO(PA)	44
59	2	60	1	CARTAGENA(CO)	3	21	2	61	2	MANZANILLO(PA)	23
60	2	61	2	MANZANILLO(PA)	3	23	10	62	3	MANAUS	33
61	2	62	3	MANAUS	3	33	6	63	4	VILA DO CONDE	39
62	2	63	4	VILA DO CONDE	3	39	10	64	5	CARTAGENA(CO)	49
63	2	64	5	CARTAGENA(CO)	3	49	2	78	2	MANZANILLO(PA)	51
64	2	65	1	CARTAGENA(CO)	4	28	2	66	2	MANZANILLO(PA)	30
65	2	66	2	MANZANILLO(PA)	4	30	10	67	3	MANAUS	40
66	2	67	3	MANAUS	4	40	6	68	4	VILA DO CONDE	46
67	2	68	4	VILA DO CONDE	4	46	10	69	5	CARTAGENA(CO)	56
68	2	69	5	CARTAGENA(CO)	4	56	2	82	2	MANZANILLO(PA)	58
69	2	70	2	MANZANILLO(PA)	5	37	10	71	3	MANAUS	47
70	2	71	3	MANAUS	5	47	6	72	4	VILA DO CONDE	53
71	2	72	4	VILA DO CONDE	5	53	10	73	5	CARTAGENA(CO)	63
72	2	73	5	CARTAGENA(CO)	5	63	2	86	2	MANZANILLO(PA)	65
73	2	74	2	MANZANILLO(PA)	6	44	10	75	3	MANAUS	54
74	2	75	3	MANAUS	6	54	6	76	4	VILA DO CONDE	60
75	2	76	4	VILA DO CONDE	6	60	10	77	5	CARTAGENA(CO)	70
76	2	77	5	CARTAGENA(CO)	6	70	2	90	2	MANZANILLO(PA)	72
77	2	78	2	MANZANILLO(PA)	7	51	10	79	3	MANAUS	61
78	2	79	3	MANAUS	7	61	6	80	4	VILA DO CONDE	67
79	2	80	4	VILA DO CONDE	7	67	10	81	5	CARTAGENA(CO)	77
