VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	2	1,2	7	14
2	1	2	3,4	14	21
3	1	2	5,6	21	28
4	1	2	7,8	28	35
5	1	2	9,10	35	42
6	1	2	11,12	42	49
7	1	2	13,14	49	56
8	1	2	15,16	56	63
9	1	2	17,18	63	70
10	1	2	19,20	70	77
11	1	2	21,22	77	84
12	1	2	23,24	84	91
13	1	2	25,26	91	98
14	1	2	27,28	98	105
15	1	2	29,30	105	112
16	1	2	31,32	112	119
17	1	2	33,34	119	126
18	1	2	35,36	126	133
19	1	2	37,38	133	140
20	1	2	39,40	140	147
21	1	2	41,42	147	154
22	1	2	43,44	154	161
23	1	2	45,46	161	168
24	1	2	47,48	168	175
25	2	4	49,50,51,52	7	35
26	2	4	54,55,56,57	14	42
27	2	4	59,60,61,62	21	49
28	2	4	64,65,66,67	28	56
29	2	4	53,69,70,71	35	63
30	2	4	58,73,74,75	42	70
31	2	4	63,77,78,79	49	77
32	2	4	68,81,82,83	56	84
33	2	4	72,85,86,87	63	91
34	2	4	76,89,90,91	70	98
35	2	4	80,93,94,95	77	105
36	2	4	84,97,98,99	84	112
37	2	4	88,101,102,103	91	119
38	2	4	92,105,106,107	98	126
39	2	4	96,109,110,111	105	133
40	2	4	100,113,114,115	112	140
41	2	4	104,117,118,119	119	147
42	2	4	108,121,122,123	126	154
43	2	4	112,124,125,126	133	161
44	2	4	116,127,128,129	140	168
45	2	4	120,130,131,132	147	175
46	3	10	133,134,135,136,137,138,139,140,141,142	7	35
47	3	10	144,145,146,147,148,149,150,151,152,153	14	42
48	3	10	155,156,157,158,159,160,161,162,163,164	21	49
49	3	10	166,167,168,169,170,171,172,173,174,175	28	56
50	3	10	143,177,178,179,180,181,182,183,184,185	35	63
51	3	10	154,187,188,189,190,191,192,193,194,195	42	70
52	3	10	165,197,198,199,200,201,202,203,204,205	49	77
53	3	10	176,207,208,209,210,211,212,213,214,215	56	84
54	3	10	186,217,218,219,220,221,222,223,224,225	63	91
55	3	10	196,227,228,229,230,231,232,233,234,235	70	98
56	3	10	206,237,238,239,240,241,242,243,244,245	77	105
57	3	10	216,247,248,249,250,251,252,253,254,255	84	112
58	3	10	226,257,258,259,260,261,262,263,264,265	91	119
59	3	10	236,267,268,269,270,271,272,273,274,275	98	126
60	3	10	246,277,278,279,280,281,282,283,284,285	105	133
61	3	10	256,287,288,289,290,291,292,293,294,295	112	140
62	3	10	266,297,298,299,300,301,302,303,304,305	119	147
63	3	10	276,307,308,309,310,311,312,313,314,315	126	154
64	3	10	286,316,317,318,319,320,321,322,323,324	133	161
65	3	10	296,325,326,327,328,329,330,331,332,333	140	168
66	3	10	306,334,335,336,337,338,339,340,341,342	147	175
67	4	4	343,344,345,346	7	14
68	4	4	347,348,349,350	14	21
69	4	4	351,352,353,354	21	28
70	4	4	355,356,357,358	28	35
71	4	4	359,360,361,362	35	42
72	4	4	363,364,365,366	42	49
73	4	4	367,368,369,370	49	56
74	4	4	371,372,373,374	56	63
75	4	4	375,376,377,378	63	70
76	4	4	379,380,381,382	70	77
77	4	4	383,384,385,386	77	84
78	4	4	387,388,389,390	84	91
79	4	4	391,392,393,394	91	98
80	4	4	395,396,397,398	98	105
81	4	4	399,400,401,402	105	112
82	4	4	403,404,405,406	112	119
83	4	4	407,408,409,410	119	126
84	4	4	411,412,413,414	126	133
85	4	4	415,416,417,418	133	140
86	4	4	419,420,421,422	140	147
87	4	4	423,424,425,426	147	154
88	4	4	427,428,429,430	154	161
89	4	4	431,432,433,434	161	168
90	4	4	435,436,437,438	168	175
