ID	Route	Call	Port	Round_trip	Time
1	1	1	KINGSTON	1	7
2	1	2	BELIZE CITY	1	10
3	1	3	KINGSTON	1	14
4	1	2	BELIZE CITY	2	17
5	1	3	KINGSTON	2	21
6	1	2	BELIZE CITY	3	24
7	1	3	KINGSTON	3	28
8	1	2	BELIZE CITY	4	31
9	1	3	KINGSTON	4	35
10	1	2	BELIZE CITY	5	38
11	1	3	KINGSTON	5	42
12	1	2	BELIZE CITY	6	45
13	1	3	KINGSTON	6	49
14	1	2	BELIZE CITY	7	52
15	1	3	KINGSTON	7	56
16	1	2	BELIZE CITY	8	59
17	1	3	KINGSTON	8	63
18	1	2	BELIZE CITY	9	66
19	1	3	KINGSTON	9	70
20	1	2	BELIZE CITY	10	73
21	1	3	KINGSTON	10	77
22	1	2	BELIZE CITY	11	80
23	1	3	KINGSTON	11	84
24	1	2	BELIZE CITY	12	87
25	1	3	KINGSTON	12	91
26	1	2	BELIZE CITY	13	94
27	1	3	KINGSTON	13	98
28	1	2	BELIZE CITY	14	101
29	1	3	KINGSTON	14	105
30	1	2	BELIZE CITY	15	108
31	1	3	KINGSTON	15	112
32	1	2	BELIZE CITY	16	115
33	1	3	KINGSTON	16	119
34	1	2	BELIZE CITY	17	122
35	1	3	KINGSTON	17	126
36	1	2	BELIZE CITY	18	129
37	1	3	KINGSTON	18	133
38	1	2	BELIZE CITY	19	136
39	1	3	KINGSTON	19	140
40	1	2	BELIZE CITY	20	143
41	1	3	KINGSTON	20	147
42	1	2	BELIZE CITY	21	150
43	1	3	KINGSTON	21	154
44	1	2	BELIZE CITY	22	157
45	1	3	KINGSTON	22	161
46	1	2	BELIZE CITY	23	164
47	1	3	KINGSTON	23	168
48	1	2	BELIZE CITY	24	171
49	1	3	KINGSTON	24	175
50	2	1	CARTAGENA(CO)	1	7
51	2	2	MANZANILLO(PA)	1	9
52	2	3	MANAUS	1	19
53	2	4	VILA DO CONDE	1	25
54	2	5	CARTAGENA(CO)	1	35
55	2	1	CARTAGENA(CO)	2	14
56	2	2	MANZANILLO(PA)	2	16
57	2	3	MANAUS	2	26
58	2	4	VILA DO CONDE	2	32
59	2	5	CARTAGENA(CO)	2	42
60	2	1	CARTAGENA(CO)	3	21
61	2	2	MANZANILLO(PA)	3	23
62	2	3	MANAUS	3	33
63	2	4	VILA DO CONDE	3	39
64	2	5	CARTAGENA(CO)	3	49
65	2	1	CARTAGENA(CO)	4	28
66	2	2	MANZANILLO(PA)	4	30
67	2	3	MANAUS	4	40
68	2	4	VILA DO CONDE	4	46
69	2	5	CARTAGENA(CO)	4	56
70	2	2	MANZANILLO(PA)	5	37
71	2	3	MANAUS	5	47
72	2	4	VILA DO CONDE	5	53
73	2	5	CARTAGENA(CO)	5	63
74	2	2	MANZANILLO(PA)	6	44
75	2	3	MANAUS	6	54
76	2	4	VILA DO CONDE	6	60
77	2	5	CARTAGENA(CO)	6	70
78	2	2	MANZANILLO(PA)	7	51
79	2	3	MANAUS	7	61
80	2	4	VILA DO CONDE	7	67
81	2	5	CARTAGENA(CO)	7	77
82	2	2	MANZANILLO(PA)	8	58
83	2	3	MANAUS	8	68
84	2	4	VILA DO CONDE	8	74
85	2	5	CARTAGENA(CO)	8	84
86	2	2	MANZANILLO(PA)	9	65
87	2	3	MANAUS	9	75
88	2	4	VILA DO CONDE	9	81
89	2	5	CARTAGENA(CO)	9	91
90	2	2	MANZANILLO(PA)	10	72
91	2	3	MANAUS	10	82
92	2	4	VILA DO CONDE	10	88
93	2	5	CARTAGENA(CO)	10	98
94	2	2	MANZANILLO(PA)	11	79
95	2	3	MANAUS	11	89
96	2	4	VILA DO CONDE	11	95
97	2	5	CARTAGENA(CO)	11	105
98	2	2	MANZANILLO(PA)	12	86
99	2	3	MANAUS	12	96
100	2	4	VILA DO CONDE	12	102
101	2	5	CARTAGENA(CO)	12	112
102	2	2	MANZANILLO(PA)	13	93
103	2	3	MANAUS	13	103
104	2	4	VILA DO CONDE	13	109
105	2	5	CARTAGENA(CO)	13	119
106	2	2	MANZANILLO(PA)	14	100
107	2	3	MANAUS	14	110
108	2	4	VILA DO CONDE	14	116
109	2	5	CARTAGENA(CO)	14	126
110	2	2	MANZANILLO(PA)	15	107
111	2	3	MANAUS	15	117
112	2	4	VILA DO CONDE	15	123
113	2	5	CARTAGENA(CO)	15	133
114	2	2	MANZANILLO(PA)	16	114
115	2	3	MANAUS	16	124
116	2	4	VILA DO CONDE	16	130
117	2	5	CARTAGENA(CO)	16	140
118	2	2	MANZANILLO(PA)	17	121
