TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	ALGECIRAS	1	4	5	2	2	SANTA CRUZ DE TENERIFE	9
2	1	2	2	SANTA CRUZ DE TENERIFE	1	9	1	3	3	LAS PALMAS	10
3	1	3	3	LAS PALMAS	1	10	1	4	4	AGADIR	11
4	1	4	4	AGADIR	1	11	4	5	5	ALGECIRAS	15
5	1	5	5	ALGECIRAS	1	15	4	6	6	GIJON	19
6	1	6	6	GIJON	1	19	1	7	7	BILBAO	20
7	1	7	7	BILBAO	1	20	12	8	8	ALGECIRAS	32
8	1	8	8	ALGECIRAS	1	32	5	33	2	SANTA CRUZ DE TENERIFE	37
9	1	9	1	ALGECIRAS	2	11	5	10	2	SANTA CRUZ DE TENERIFE	16
10	1	10	2	SANTA CRUZ DE TENERIFE	2	16	1	11	3	LAS PALMAS	17
11	1	11	3	LAS PALMAS	2	17	1	12	4	AGADIR	18
12	1	12	4	AGADIR	2	18	4	13	5	ALGECIRAS	22
13	1	13	5	ALGECIRAS	2	22	4	14	6	GIJON	26
14	1	14	6	GIJON	2	26	1	15	7	BILBAO	27
15	1	15	7	BILBAO	2	27	12	16	8	ALGECIRAS	39
16	1	16	8	ALGECIRAS	2	39	5	40	2	SANTA CRUZ DE TENERIFE	44
17	1	17	1	ALGECIRAS	3	18	5	18	2	SANTA CRUZ DE TENERIFE	23
18	1	18	2	SANTA CRUZ DE TENERIFE	3	23	1	19	3	LAS PALMAS	24
19	1	19	3	LAS PALMAS	3	24	1	20	4	AGADIR	25
20	1	20	4	AGADIR	3	25	4	21	5	ALGECIRAS	29
21	1	21	5	ALGECIRAS	3	29	4	22	6	GIJON	33
22	1	22	6	GIJON	3	33	1	23	7	BILBAO	34
23	1	23	7	BILBAO	3	34	12	24	8	ALGECIRAS	46
24	1	24	8	ALGECIRAS	3	46	5	47	2	SANTA CRUZ DE TENERIFE	51
25	1	25	1	ALGECIRAS	4	25	5	26	2	SANTA CRUZ DE TENERIFE	30
26	1	26	2	SANTA CRUZ DE TENERIFE	4	30	1	27	3	LAS PALMAS	31
27	1	27	3	LAS PALMAS	4	31	1	28	4	AGADIR	32
28	1	28	4	AGADIR	4	32	4	29	5	ALGECIRAS	36
29	1	29	5	ALGECIRAS	4	36	4	30	6	GIJON	40
30	1	30	6	GIJON	4	40	1	31	7	BILBAO	41
31	1	31	7	BILBAO	4	41	12	32	8	ALGECIRAS	53
