VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	7	1,2,3,4,5,6,7	4	32
2	1	7	9,10,11,12,13,14,15	11	39
3	1	7	17,18,19,20,21,22,23	18	46
4	1	7	25,26,27,28,29,30,31	25	53
5	1	7	8,33,34,35,36,37,38	32	60
6	1	7	16,40,41,42,43,44,45	39	67
7	1	7	24,47,48,49,50,51,52	46	74
8	1	7	32,54,55,56,57,58,59	53	81
9	1	7	39,61,62,63,64,65,66	60	88
10	1	7	46,68,69,70,71,72,73	67	95
11	1	7	53,75,76,77,78,79,80	74	102
12	1	7	60,82,83,84,85,86,87	81	109
13	1	7	67,89,90,91,92,93,94	88	116
14	1	7	74,96,97,98,99,100,101	95	123
15	1	7	81,103,104,105,106,107,108	102	130
16	1	7	88,110,111,112,113,114,115	109	137
17	1	7	95,117,118,119,120,121,122	116	144
18	1	7	102,124,125,126,127,128,129	123	151
19	1	7	109,131,132,133,134,135,136	130	158
20	1	7	116,137,138,139,140,141,142	137	165
21	1	7	123,143,144,145,146,147,148	144	172
22	1	7	130,149,150,151,152,153,154	151	179
