ID	Route	Call	Port	Round_trip	Time
1	1	1	ALGECIRAS	1	4
2	1	2	SANTA CRUZ DE TENERIFE	1	9
3	1	3	LAS PALMAS	1	10
4	1	4	AGADIR	1	11
5	1	5	ALGECIRAS	1	15
6	1	6	GIJON	1	19
7	1	7	BILBAO	1	20
8	1	8	ALGECIRAS	1	32
9	1	1	ALGECIRAS	2	11
10	1	2	SANTA CRUZ DE TENERIFE	2	16
11	1	3	LAS PALMAS	2	17
12	1	4	AGADIR	2	18
13	1	5	ALGECIRAS	2	22
14	1	6	GIJON	2	26
15	1	7	BILBAO	2	27
16	1	8	ALGECIRAS	2	39
17	1	1	ALGECIRAS	3	18
18	1	2	SANTA CRUZ DE TENERIFE	3	23
19	1	3	LAS PALMAS	3	24
20	1	4	AGADIR	3	25
21	1	5	ALGECIRAS	3	29
22	1	6	GIJON	3	33
23	1	7	BILBAO	3	34
24	1	8	ALGECIRAS	3	46
25	1	1	ALGECIRAS	4	25
26	1	2	SANTA CRUZ DE TENERIFE	4	30
27	1	3	LAS PALMAS	4	31
28	1	4	AGADIR	4	32
29	1	5	ALGECIRAS	4	36
30	1	6	GIJON	4	40
31	1	7	BILBAO	4	41
32	1	8	ALGECIRAS	4	53
33	1	2	SANTA CRUZ DE TENERIFE	5	37
34	1	3	LAS PALMAS	5	38
35	1	4	AGADIR	5	39
36	1	5	ALGECIRAS	5	43
37	1	6	GIJON	5	47
38	1	7	BILBAO	5	48
39	1	8	ALGECIRAS	5	60
40	1	2	SANTA CRUZ DE TENERIFE	6	44
41	1	3	LAS PALMAS	6	45
42	1	4	AGADIR	6	46
43	1	5	ALGECIRAS	6	50
44	1	6	GIJON	6	54
45	1	7	BILBAO	6	55
46	1	8	ALGECIRAS	6	67
47	1	2	SANTA CRUZ DE TENERIFE	7	51
48	1	3	LAS PALMAS	7	52
49	1	4	AGADIR	7	53
50	1	5	ALGECIRAS	7	57
51	1	6	GIJON	7	61
52	1	7	BILBAO	7	62
53	1	8	ALGECIRAS	7	74
54	1	2	SANTA CRUZ DE TENERIFE	8	58
55	1	3	LAS PALMAS	8	59
56	1	4	AGADIR	8	60
57	1	5	ALGECIRAS	8	64
58	1	6	GIJON	8	68
59	1	7	BILBAO	8	69
60	1	8	ALGECIRAS	8	81
61	1	2	SANTA CRUZ DE TENERIFE	9	65
62	1	3	LAS PALMAS	9	66
63	1	4	AGADIR	9	67
64	1	5	ALGECIRAS	9	71
65	1	6	GIJON	9	75
66	1	7	BILBAO	9	76
67	1	8	ALGECIRAS	9	88
68	1	2	SANTA CRUZ DE TENERIFE	10	72
69	1	3	LAS PALMAS	10	73
70	1	4	AGADIR	10	74
71	1	5	ALGECIRAS	10	78
72	1	6	GIJON	10	82
73	1	7	BILBAO	10	83
74	1	8	ALGECIRAS	10	95
75	1	2	SANTA CRUZ DE TENERIFE	11	79
76	1	3	LAS PALMAS	11	80
77	1	4	AGADIR	11	81
78	1	5	ALGECIRAS	11	85
79	1	6	GIJON	11	89
80	1	7	BILBAO	11	90
81	1	8	ALGECIRAS	11	102
82	1	2	SANTA CRUZ DE TENERIFE	12	86
83	1	3	LAS PALMAS	12	87
84	1	4	AGADIR	12	88
85	1	5	ALGECIRAS	12	92
86	1	6	GIJON	12	96
87	1	7	BILBAO	12	97
88	1	8	ALGECIRAS	12	109
89	1	2	SANTA CRUZ DE TENERIFE	13	93
90	1	3	LAS PALMAS	13	94
91	1	4	AGADIR	13	95
92	1	5	ALGECIRAS	13	99
93	1	6	GIJON	13	103
94	1	7	BILBAO	13	104
95	1	8	ALGECIRAS	13	116
96	1	2	SANTA CRUZ DE TENERIFE	14	100
97	1	3	LAS PALMAS	14	101
98	1	4	AGADIR	14	102
99	1	5	ALGECIRAS	14	106
100	1	6	GIJON	14	110
101	1	7	BILBAO	14	111
102	1	8	ALGECIRAS	14	123
103	1	2	SANTA CRUZ DE TENERIFE	15	107
104	1	3	LAS PALMAS	15	108
105	1	4	AGADIR	15	109
106	1	5	ALGECIRAS	15	113
107	1	6	GIJON	15	117
108	1	7	BILBAO	15	118
109	1	8	ALGECIRAS	15	130
110	1	2	SANTA CRUZ DE TENERIFE	16	114
