PortID	Port	WhetherTrans	Region	Group
1	AIN SUKHNA	0	AFRICA	5
2	AQABA	0	MIDDLE EAST	7
3	JEDDAH	1	MIDDLE EAST	7
4	MOMBASA	1	AFRICA	5
5	LONGONI	0	AFRICA	5
6	JEBEL ALI	1	MIDDLE EAST	7
7	MUNDRA	1	ASIA	1
8	NHAVA SHEVA	1	ASIA	1
9	DURBAN	1	AFRICA	5
10	PORT ELIZABETH	0	AFRICA	5
11	POINTE DES GALETS	0	AFRICA	5
12	COLOMBO	0	ASIA	1
13	MOGADISHU	0	AFRICA	5
14	MTWARA	0	AFRICA	5
15	BEIRA	0	AFRICA	5
16	NACALA	0	AFRICA	5
17	PORT VICTORIA	0	AFRICA	5
18	DAR ES SALAAM	0	AFRICA	5
19	POINTE NOIRE	0	AFRICA	5
20	TEMA	0	AFRICA	5
21	COTONOU	0	AFRICA	5
22	CAPE TOWN	0	AFRICA	5
