VesselID	Capacity	OperationCost	RouteID	MaxNum
1	1578	6.425	1	1
2	1641	6.441	1	1
3	1740	6.466	1	1
4	1794	6.479	1	1
5	960	6.271	1	1
6	1367	6.373	1	1
7	2741	7.716	2	1
8	2564	7.672	2	1
9	2824	7.737	2	1
10	2824	7.737	2	1
11	2510	7.658	2	1
12	2490	7.653	2	1
13	2478	7.65	2	1
14	1841	6.491	3	1
15	1728	6.463	3	1
16	1854	6.494	3	1
17	1713	6.459	3	1
18	2564	6.672	3	1
19	1	6.031	3	1
20	3421	5.886	4	1
21	3718	5.96	4	1
22	2798	5.73	4	1
23	3820	5.986	4	1
24	4662	6.196	4	1
25	4275	11.1	5	1
26	4404	11.132	5	1
27	4298	11.105	5	1
28	4256	11.095	5	1
29	4957	11.27	5	1
30	4957	11.27	5	1
31	4530	11.163	5	1
32	4530	11.163	5	1
33	5466	11.397	5	1
34	5315	11.36	5	1
