TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
595	MOMBASA	4	23	5	403	28	1	4
596	MOMBASA	4	23	12	409	35	1	4
597	MOMBASA	6	33	2	409	35	1	4
598	MOMBASA	6	33	9	415	42	1	4
599	MOMBASA	12	30	5	409	35	1	4
600	MOMBASA	12	30	12	415	42	1	4
601	MOMBASA	14	40	2	415	42	1	4
602	MOMBASA	14	40	9	421	49	1	4
603	MOMBASA	20	37	5	415	42	1	4
604	MOMBASA	20	37	12	421	49	1	4
605	MOMBASA	22	47	2	421	49	1	4
606	MOMBASA	22	47	9	426	56	1	4
607	MOMBASA	28	44	5	421	49	1	4
608	MOMBASA	28	44	12	426	56	1	4
609	MOMBASA	30	54	2	426	56	1	4
610	MOMBASA	30	54	9	431	63	1	4
611	MOMBASA	36	51	5	426	56	1	4
612	MOMBASA	36	51	12	431	63	1	4
613	MOMBASA	38	61	2	431	63	1	4
614	MOMBASA	38	61	9	436	70	1	4
615	MOMBASA	44	58	5	431	63	1	4
616	MOMBASA	44	58	12	436	70	1	4
617	MOMBASA	46	68	2	436	70	1	4
618	MOMBASA	46	68	9	441	77	1	4
619	MOMBASA	51	65	5	436	70	1	4
620	MOMBASA	51	65	12	441	77	1	4
621	MOMBASA	53	75	2	441	77	1	4
622	MOMBASA	53	75	9	446	84	1	4
623	MOMBASA	58	72	5	441	77	1	4
624	MOMBASA	58	72	12	446	84	1	4
625	MOMBASA	60	82	2	446	84	1	4
626	MOMBASA	60	82	9	451	91	1	4
627	MOMBASA	65	79	5	446	84	1	4
628	MOMBASA	65	79	12	451	91	1	4
629	MOMBASA	67	89	2	451	91	1	4
630	MOMBASA	67	89	9	456	98	1	4
631	MOMBASA	72	86	5	451	91	1	4
632	MOMBASA	72	86	12	456	98	1	4
633	MOMBASA	74	96	2	456	98	1	4
634	MOMBASA	74	96	9	461	105	1	4
635	MOMBASA	79	93	5	456	98	1	4
636	MOMBASA	79	93	12	461	105	1	4
637	MOMBASA	81	103	2	461	105	1	4
638	MOMBASA	81	103	9	466	112	1	4
639	MOMBASA	86	100	5	461	105	1	4
640	MOMBASA	86	100	12	466	112	1	4
641	MOMBASA	88	110	2	466	112	1	4
642	MOMBASA	88	110	9	471	119	1	4
643	MOMBASA	93	107	5	466	112	1	4
644	MOMBASA	93	107	12	471	119	1	4
645	MOMBASA	95	117	2	471	119	1	4
646	MOMBASA	95	117	9	476	126	1	4
647	MOMBASA	100	114	5	471	119	1	4
648	MOMBASA	100	114	12	476	126	1	4
649	MOMBASA	102	124	2	476	126	1	4
650	MOMBASA	102	124	9	481	133	1	4
651	MOMBASA	107	121	5	476	126	1	4
652	MOMBASA	107	121	12	481	133	1	4
