TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	AIN SUKHNA	1	7	2	2	2	AQABA	9
2	1	2	2	AQABA	1	9	3	3	3	JEDDAH	12
3	1	3	3	JEDDAH	1	12	11	4	4	MOMBASA	23
4	1	4	4	MOMBASA	1	23	5	5	5	LONGONI	28
5	1	5	5	LONGONI	1	28	5	6	6	MOMBASA	33
6	1	6	6	MOMBASA	1	33	11	7	7	JEDDAH	44
7	1	7	7	JEDDAH	1	44	5	8	8	AIN SUKHNA	49
8	1	8	8	AIN SUKHNA	1	49	2	49	2	AQABA	51
9	1	9	1	AIN SUKHNA	2	14	2	10	2	AQABA	16
10	1	10	2	AQABA	2	16	3	11	3	JEDDAH	19
11	1	11	3	JEDDAH	2	19	11	12	4	MOMBASA	30
12	1	12	4	MOMBASA	2	30	5	13	5	LONGONI	35
13	1	13	5	LONGONI	2	35	5	14	6	MOMBASA	40
14	1	14	6	MOMBASA	2	40	11	15	7	JEDDAH	51
15	1	15	7	JEDDAH	2	51	5	16	8	AIN SUKHNA	56
16	1	16	8	AIN SUKHNA	2	56	2	56	2	AQABA	58
17	1	17	1	AIN SUKHNA	3	21	2	18	2	AQABA	23
18	1	18	2	AQABA	3	23	3	19	3	JEDDAH	26
19	1	19	3	JEDDAH	3	26	11	20	4	MOMBASA	37
20	1	20	4	MOMBASA	3	37	5	21	5	LONGONI	42
21	1	21	5	LONGONI	3	42	5	22	6	MOMBASA	47
22	1	22	6	MOMBASA	3	47	11	23	7	JEDDAH	58
23	1	23	7	JEDDAH	3	58	5	24	8	AIN SUKHNA	63
24	1	24	8	AIN SUKHNA	3	63	2	63	2	AQABA	65
25	1	25	1	AIN SUKHNA	4	28	2	26	2	AQABA	30
26	1	26	2	AQABA	4	30	3	27	3	JEDDAH	33
27	1	27	3	JEDDAH	4	33	11	28	4	MOMBASA	44
