VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	7	1,2,3,4,5,6,7	7	49
2	1	7	9,10,11,12,13,14,15	14	56
3	1	7	17,18,19,20,21,22,23	21	63
4	1	7	25,26,27,28,29,30,31	28	70
5	1	7	33,34,35,36,37,38,39	35	77
6	1	7	41,42,43,44,45,46,47	42	84
7	1	7	8,49,50,51,52,53,54	49	91
8	1	7	16,56,57,58,59,60,61	56	98
9	1	7	24,63,64,65,66,67,68	63	105
10	1	7	32,70,71,72,73,74,75	70	112
11	1	7	40,77,78,79,80,81,82	77	119
12	1	7	48,84,85,86,87,88,89	84	126
13	1	7	55,91,92,93,94,95,96	91	133
14	1	7	62,98,99,100,101,102,103	98	140
15	1	7	69,104,105,106,107,108,109	105	147
16	1	7	76,110,111,112,113,114,115	112	154
17	1	7	83,116,117,118,119,120,121	119	161
18	1	7	90,122,123,124,125,126,127	126	168
19	1	7	97,128,129,130,131,132,133	133	175
20	2	6	134,135,136,137,138,139	7	56
21	2	6	141,142,143,144,145,146	14	63
22	2	6	148,149,150,151,152,153	21	70
23	2	6	155,156,157,158,159,160	28	77
24	2	6	162,163,164,165,166,167	35	84
25	2	6	169,170,171,172,173,174	42	91
26	2	6	176,177,178,179,180,181	49	98
27	2	6	140,183,184,185,186,187	56	105
28	2	6	147,189,190,191,192,193	63	112
29	2	6	154,195,196,197,198,199	70	119
30	2	6	161,201,202,203,204,205	77	126
31	2	6	168,207,208,209,210,211	84	133
32	2	6	175,212,213,214,215,216	91	140
33	2	6	182,217,218,219,220,221	98	147
34	2	6	188,222,223,224,225,226	105	154
35	2	6	194,227,228,229,230,231	112	161
36	2	6	200,232,233,234,235,236	119	168
37	2	6	206,237,238,239,240,241	126	175
38	3	7	242,243,244,245,246,247,248	7	49
39	3	7	250,251,252,253,254,255,256	14	56
40	3	7	258,259,260,261,262,263,264	21	63
41	3	7	266,267,268,269,270,271,272	28	70
42	3	7	274,275,276,277,278,279,280	35	77
43	3	7	282,283,284,285,286,287,288	42	84
44	3	7	249,290,291,292,293,294,295	49	91
45	3	7	257,297,298,299,300,301,302	56	98
46	3	7	265,304,305,306,307,308,309	63	105
47	3	7	273,311,312,313,314,315,316	70	112
48	3	7	281,318,319,320,321,322,323	77	119
49	3	7	289,325,326,327,328,329,330	84	126
50	3	7	296,332,333,334,335,336,337	91	133
51	3	7	303,339,340,341,342,343,344	98	140
52	3	7	310,345,346,347,348,349,350	105	147
53	3	7	317,351,352,353,354,355,356	112	154
54	3	7	324,357,358,359,360,361,362	119	161
55	3	7	331,363,364,365,366,367,368	126	168
56	3	7	338,369,370,371,372,373,374	133	175
57	4	5	375,376,377,378,379	7	42
58	4	5	381,382,383,384,385	14	49
59	4	5	387,388,389,390,391	21	56
60	4	5	393,394,395,396,397	28	63
61	4	5	399,400,401,402,403	35	70
62	4	5	380,405,406,407,408	42	77
63	4	5	386,410,411,412,413	49	84
64	4	5	392,415,416,417,418	56	91
65	4	5	398,420,421,422,423	63	98
66	4	5	404,425,426,427,428	70	105
67	4	5	409,430,431,432,433	77	112
68	4	5	414,435,436,437,438	84	119
69	4	5	419,440,441,442,443	91	126
70	4	5	424,445,446,447,448	98	133
71	4	5	429,450,451,452,453	105	140
72	4	5	434,455,456,457,458	112	147
73	4	5	439,459,460,461,462	119	154
74	4	5	444,463,464,465,466	126	161
75	4	5	449,467,468,469,470	133	168
76	4	5	454,471,472,473,474	140	175
77	5	8	475,476,477,478,479,480,481,482	7	77
78	5	8	484,485,486,487,488,489,490,491	14	84
79	5	8	493,494,495,496,497,498,499,500	21	91
80	5	8	502,503,504,505,506,507,508,509	28	98
81	5	8	511,512,513,514,515,516,517,518	35	105
82	5	8	520,521,522,523,524,525,526,527	42	112
83	5	8	528,529,530,531,532,533,534,535	49	119
84	5	8	536,537,538,539,540,541,542,543	56	126
85	5	8	544,545,546,547,548,549,550,551	63	133
86	5	8	552,553,554,555,556,557,558,559	70	140
87	5	8	483,560,561,562,563,564,565,566	77	147
88	5	8	492,567,568,569,570,571,572,573	84	154
89	5	8	501,574,575,576,577,578,579,580	91	161
90	5	8	510,581,582,583,584,585,586,587	98	168
91	5	8	519,588,589,590,591,592,593,594	105	175
