ID	Route	Call	Port	Round_trip	Time
1	1	1	AIN SUKHNA	1	7
2	1	2	AQABA	1	9
3	1	3	JEDDAH	1	12
4	1	4	MOMBASA	1	23
5	1	5	LONGONI	1	28
6	1	6	MOMBASA	1	33
7	1	7	JEDDAH	1	44
8	1	8	AIN SUKHNA	1	49
9	1	1	AIN SUKHNA	2	14
10	1	2	AQABA	2	16
11	1	3	JEDDAH	2	19
12	1	4	MOMBASA	2	30
13	1	5	LONGONI	2	35
14	1	6	MOMBASA	2	40
15	1	7	JEDDAH	2	51
16	1	8	AIN SUKHNA	2	56
17	1	1	AIN SUKHNA	3	21
18	1	2	AQABA	3	23
19	1	3	JEDDAH	3	26
20	1	4	MOMBASA	3	37
21	1	5	LONGONI	3	42
22	1	6	MOMBASA	3	47
23	1	7	JEDDAH	3	58
24	1	8	AIN SUKHNA	3	63
25	1	1	AIN SUKHNA	4	28
26	1	2	AQABA	4	30
27	1	3	JEDDAH	4	33
28	1	4	MOMBASA	4	44
29	1	5	LONGONI	4	49
30	1	6	MOMBASA	4	54
31	1	7	JEDDAH	4	65
32	1	8	AIN SUKHNA	4	70
33	1	1	AIN SUKHNA	5	35
34	1	2	AQABA	5	37
35	1	3	JEDDAH	5	40
36	1	4	MOMBASA	5	51
37	1	5	LONGONI	5	56
38	1	6	MOMBASA	5	61
39	1	7	JEDDAH	5	72
40	1	8	AIN SUKHNA	5	77
41	1	1	AIN SUKHNA	6	42
42	1	2	AQABA	6	44
43	1	3	JEDDAH	6	47
44	1	4	MOMBASA	6	58
45	1	5	LONGONI	6	63
46	1	6	MOMBASA	6	68
47	1	7	JEDDAH	6	79
48	1	8	AIN SUKHNA	6	84
49	1	2	AQABA	7	51
50	1	3	JEDDAH	7	54
51	1	4	MOMBASA	7	65
52	1	5	LONGONI	7	70
53	1	6	MOMBASA	7	75
54	1	7	JEDDAH	7	86
55	1	8	AIN SUKHNA	7	91
56	1	2	AQABA	8	58
57	1	3	JEDDAH	8	61
58	1	4	MOMBASA	8	72
59	1	5	LONGONI	8	77
60	1	6	MOMBASA	8	82
61	1	7	JEDDAH	8	93
62	1	8	AIN SUKHNA	8	98
63	1	2	AQABA	9	65
