TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	NEW YORK(NY)	1	4	2	2	2	BALTIMORE(MD)	6
2	1	2	2	BALTIMORE(MD)	1	6	3	3	3	CHARLESTON(SC)	9
3	1	3	3	CHARLESTON(SC)	1	9	1	4	4	PORT EVERGLADES(FL)	10
4	1	4	4	PORT EVERGLADES(FL)	1	10	4	5	5	CARTAGENA(CO)	14
5	1	5	5	CARTAGENA(CO)	1	14	2	6	6	MANZANILLO(PA)	16
6	1	6	6	MANZANILLO(PA)	1	16	6	7	7	PORT EVERGLADES(FL)	22
7	1	7	7	PORT EVERGLADES(FL)	1	22	3	8	8	NEW YORK(NY)	25
8	1	8	8	NEW YORK(NY)	1	25	2	25	2	BALTIMORE(MD)	27
9	1	9	1	NEW YORK(NY)	2	11	2	10	2	BALTIMORE(MD)	13
10	1	10	2	BALTIMORE(MD)	2	13	3	11	3	CHARLESTON(SC)	16
11	1	11	3	CHARLESTON(SC)	2	16	1	12	4	PORT EVERGLADES(FL)	17
12	1	12	4	PORT EVERGLADES(FL)	2	17	4	13	5	CARTAGENA(CO)	21
13	1	13	5	CARTAGENA(CO)	2	21	2	14	6	MANZANILLO(PA)	23
14	1	14	6	MANZANILLO(PA)	2	23	6	15	7	PORT EVERGLADES(FL)	29
15	1	15	7	PORT EVERGLADES(FL)	2	29	3	16	8	NEW YORK(NY)	32
16	1	16	8	NEW YORK(NY)	2	32	2	32	2	BALTIMORE(MD)	34
17	1	17	1	NEW YORK(NY)	3	18	2	18	2	BALTIMORE(MD)	20
18	1	18	2	BALTIMORE(MD)	3	20	3	19	3	CHARLESTON(SC)	23
19	1	19	3	CHARLESTON(SC)	3	23	1	20	4	PORT EVERGLADES(FL)	24
20	1	20	4	PORT EVERGLADES(FL)	3	24	4	21	5	CARTAGENA(CO)	28
21	1	21	5	CARTAGENA(CO)	3	28	2	22	6	MANZANILLO(PA)	30
22	1	22	6	MANZANILLO(PA)	3	30	6	23	7	PORT EVERGLADES(FL)	36
23	1	23	7	PORT EVERGLADES(FL)	3	36	3	24	8	NEW YORK(NY)	39
24	1	24	8	NEW YORK(NY)	3	39	2	39	2	BALTIMORE(MD)	41
25	1	25	2	BALTIMORE(MD)	4	27	3	26	3	CHARLESTON(SC)	30
26	1	26	3	CHARLESTON(SC)	4	30	1	27	4	PORT EVERGLADES(FL)	31
27	1	27	4	PORT EVERGLADES(FL)	4	31	4	28	5	CARTAGENA(CO)	35
28	1	28	5	CARTAGENA(CO)	4	35	2	29	6	MANZANILLO(PA)	37
29	1	29	6	MANZANILLO(PA)	4	37	6	30	7	PORT EVERGLADES(FL)	43
30	1	30	7	PORT EVERGLADES(FL)	4	43	3	31	8	NEW YORK(NY)	46
31	1	31	8	NEW YORK(NY)	4	46	2	46	2	BALTIMORE(MD)	48
32	1	32	2	BALTIMORE(MD)	5	34	3	33	3	CHARLESTON(SC)	37
33	1	33	3	CHARLESTON(SC)	5	37	1	34	4	PORT EVERGLADES(FL)	38
34	1	34	4	PORT EVERGLADES(FL)	5	38	4	35	5	CARTAGENA(CO)	42
35	1	35	5	CARTAGENA(CO)	5	42	2	36	6	MANZANILLO(PA)	44
36	1	36	6	MANZANILLO(PA)	5	44	6	37	7	PORT EVERGLADES(FL)	50
37	1	37	7	PORT EVERGLADES(FL)	5	50	3	38	8	NEW YORK(NY)	53
38	1	38	8	NEW YORK(NY)	5	53	2	53	2	BALTIMORE(MD)	55
39	1	39	2	BALTIMORE(MD)	6	41	3	40	3	CHARLESTON(SC)	44
