VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	7	1,2,3,4,5,6,7	4	25
2	1	7	9,10,11,12,13,14,15	11	32
3	1	7	17,18,19,20,21,22,23	18	39
4	1	7	8,25,26,27,28,29,30	25	46
5	1	7	16,32,33,34,35,36,37	32	53
6	1	7	24,39,40,41,42,43,44	39	60
7	1	7	31,46,47,48,49,50,51	46	67
8	1	7	38,53,54,55,56,57,58	53	74
9	1	7	45,60,61,62,63,64,65	60	81
10	1	7	52,67,68,69,70,71,72	67	88
11	1	7	59,74,75,76,77,78,79	74	95
12	1	7	66,81,82,83,84,85,86	81	102
13	1	7	73,88,89,90,91,92,93	88	109
14	1	7	80,95,96,97,98,99,100	95	116
15	1	7	87,102,103,104,105,106,107	102	123
16	1	7	94,109,110,111,112,113,114	109	130
17	1	7	101,116,117,118,119,120,121	116	137
18	1	7	108,123,124,125,126,127,128	123	144
19	1	7	115,130,131,132,133,134,135	130	151
20	1	7	122,137,138,139,140,141,142	137	158
21	1	7	129,144,145,146,147,148,149	144	165
22	1	7	136,150,151,152,153,154,155	151	172
23	1	7	143,156,157,158,159,160,161	158	179
