ID	Route	Call	Port	Round_trip	Time
1	1	1	NEW YORK(NY)	1	4
2	1	2	BALTIMORE(MD)	1	6
3	1	3	CHARLESTON(SC)	1	9
4	1	4	PORT EVERGLADES(FL)	1	10
5	1	5	CARTAGENA(CO)	1	14
6	1	6	MANZANILLO(PA)	1	16
7	1	7	PORT EVERGLADES(FL)	1	22
8	1	8	NEW YORK(NY)	1	25
9	1	1	NEW YORK(NY)	2	11
10	1	2	BALTIMORE(MD)	2	13
11	1	3	CHARLESTON(SC)	2	16
12	1	4	PORT EVERGLADES(FL)	2	17
13	1	5	CARTAGENA(CO)	2	21
14	1	6	MANZANILLO(PA)	2	23
15	1	7	PORT EVERGLADES(FL)	2	29
16	1	8	NEW YORK(NY)	2	32
17	1	1	NEW YORK(NY)	3	18
18	1	2	BALTIMORE(MD)	3	20
19	1	3	CHARLESTON(SC)	3	23
20	1	4	PORT EVERGLADES(FL)	3	24
21	1	5	CARTAGENA(CO)	3	28
22	1	6	MANZANILLO(PA)	3	30
23	1	7	PORT EVERGLADES(FL)	3	36
24	1	8	NEW YORK(NY)	3	39
25	1	2	BALTIMORE(MD)	4	27
26	1	3	CHARLESTON(SC)	4	30
27	1	4	PORT EVERGLADES(FL)	4	31
28	1	5	CARTAGENA(CO)	4	35
29	1	6	MANZANILLO(PA)	4	37
30	1	7	PORT EVERGLADES(FL)	4	43
31	1	8	NEW YORK(NY)	4	46
32	1	2	BALTIMORE(MD)	5	34
33	1	3	CHARLESTON(SC)	5	37
34	1	4	PORT EVERGLADES(FL)	5	38
35	1	5	CARTAGENA(CO)	5	42
36	1	6	MANZANILLO(PA)	5	44
37	1	7	PORT EVERGLADES(FL)	5	50
38	1	8	NEW YORK(NY)	5	53
39	1	2	BALTIMORE(MD)	6	41
40	1	3	CHARLESTON(SC)	6	44
41	1	4	PORT EVERGLADES(FL)	6	45
42	1	5	CARTAGENA(CO)	6	49
43	1	6	MANZANILLO(PA)	6	51
44	1	7	PORT EVERGLADES(FL)	6	57
45	1	8	NEW YORK(NY)	6	60
46	1	2	BALTIMORE(MD)	7	48
47	1	3	CHARLESTON(SC)	7	51
48	1	4	PORT EVERGLADES(FL)	7	52
49	1	5	CARTAGENA(CO)	7	56
50	1	6	MANZANILLO(PA)	7	58
51	1	7	PORT EVERGLADES(FL)	7	64
52	1	8	NEW YORK(NY)	7	67
53	1	2	BALTIMORE(MD)	8	55
54	1	3	CHARLESTON(SC)	8	58
55	1	4	PORT EVERGLADES(FL)	8	59
56	1	5	CARTAGENA(CO)	8	63
57	1	6	MANZANILLO(PA)	8	65
58	1	7	PORT EVERGLADES(FL)	8	71
59	1	8	NEW YORK(NY)	8	74
60	1	2	BALTIMORE(MD)	9	62
61	1	3	CHARLESTON(SC)	9	65
62	1	4	PORT EVERGLADES(FL)	9	66
63	1	5	CARTAGENA(CO)	9	70
64	1	6	MANZANILLO(PA)	9	72
65	1	7	PORT EVERGLADES(FL)	9	78
66	1	8	NEW YORK(NY)	9	81
67	1	2	BALTIMORE(MD)	10	69
68	1	3	CHARLESTON(SC)	10	72
69	1	4	PORT EVERGLADES(FL)	10	73
70	1	5	CARTAGENA(CO)	10	77
71	1	6	MANZANILLO(PA)	10	79
72	1	7	PORT EVERGLADES(FL)	10	85
73	1	8	NEW YORK(NY)	10	88
74	1	2	BALTIMORE(MD)	11	76
75	1	3	CHARLESTON(SC)	11	79
76	1	4	PORT EVERGLADES(FL)	11	80
77	1	5	CARTAGENA(CO)	11	84
78	1	6	MANZANILLO(PA)	11	86
79	1	7	PORT EVERGLADES(FL)	11	92
80	1	8	NEW YORK(NY)	11	95
81	1	2	BALTIMORE(MD)	12	83
82	1	3	CHARLESTON(SC)	12	86
83	1	4	PORT EVERGLADES(FL)	12	87
84	1	5	CARTAGENA(CO)	12	91
85	1	6	MANZANILLO(PA)	12	93
86	1	7	PORT EVERGLADES(FL)	12	99
87	1	8	NEW YORK(NY)	12	102
88	1	2	BALTIMORE(MD)	13	90
89	1	3	CHARLESTON(SC)	13	93
90	1	4	PORT EVERGLADES(FL)	13	94
91	1	5	CARTAGENA(CO)	13	98
92	1	6	MANZANILLO(PA)	13	100
93	1	7	PORT EVERGLADES(FL)	13	106
94	1	8	NEW YORK(NY)	13	109
95	1	2	BALTIMORE(MD)	14	97
96	1	3	CHARLESTON(SC)	14	100
97	1	4	PORT EVERGLADES(FL)	14	101
98	1	5	CARTAGENA(CO)	14	105
99	1	6	MANZANILLO(PA)	14	107
100	1	7	PORT EVERGLADES(FL)	14	113
101	1	8	NEW YORK(NY)	14	116
102	1	2	BALTIMORE(MD)	15	104
103	1	3	CHARLESTON(SC)	15	107
104	1	4	PORT EVERGLADES(FL)	15	108
105	1	5	CARTAGENA(CO)	15	112
106	1	6	MANZANILLO(PA)	15	114
107	1	7	PORT EVERGLADES(FL)	15	120
108	1	8	NEW YORK(NY)	15	123
109	1	2	BALTIMORE(MD)	16	111
110	1	3	CHARLESTON(SC)	16	114
111	1	4	PORT EVERGLADES(FL)	16	115
112	1	5	CARTAGENA(CO)	16	119
113	1	6	MANZANILLO(PA)	16	121
114	1	7	PORT EVERGLADES(FL)	16	127
115	1	8	NEW YORK(NY)	16	130
116	1	2	BALTIMORE(MD)	17	118
117	1	3	CHARLESTON(SC)	17	121
118	1	4	PORT EVERGLADES(FL)	17	122
119	1	5	CARTAGENA(CO)	17	126
120	1	6	MANZANILLO(PA)	17	128
121	1	7	PORT EVERGLADES(FL)	17	134
122	1	8	NEW YORK(NY)	17	137
123	1	2	BALTIMORE(MD)	18	125
124	1	3	CHARLESTON(SC)	18	128
125	1	4	PORT EVERGLADES(FL)	18	129
126	1	5	CARTAGENA(CO)	18	133
127	1	6	MANZANILLO(PA)	18	135
128	1	7	PORT EVERGLADES(FL)	18	141
129	1	8	NEW YORK(NY)	18	144
130	1	2	BALTIMORE(MD)	19	132
131	1	3	CHARLESTON(SC)	19	135
132	1	4	PORT EVERGLADES(FL)	19	136
133	1	5	CARTAGENA(CO)	19	140
134	1	6	MANZANILLO(PA)	19	142
135	1	7	PORT EVERGLADES(FL)	19	148
136	1	8	NEW YORK(NY)	19	151
137	1	2	BALTIMORE(MD)	20	139
138	1	3	CHARLESTON(SC)	20	142
139	1	4	PORT EVERGLADES(FL)	20	143
140	1	5	CARTAGENA(CO)	20	147
141	1	6	MANZANILLO(PA)	20	149
142	1	7	PORT EVERGLADES(FL)	20	155
143	1	8	NEW YORK(NY)	20	158
144	1	2	BALTIMORE(MD)	21	146
145	1	3	CHARLESTON(SC)	21	149
146	1	4	PORT EVERGLADES(FL)	21	150
147	1	5	CARTAGENA(CO)	21	154
148	1	6	MANZANILLO(PA)	21	156
