RequestID	OriginPort	OriginTime	NumOfEmptyPath	PathIDs
1	CHARLESTON(SC)	1	0	0
2	CHARLESTON(SC)	8	0	0
3	CHARLESTON(SC)	15	0	0
4	CHARLESTON(SC)	22	0	0
5	CHARLESTON(SC)	29	0	0
6	CHARLESTON(SC)	36	0	0
7	CHARLESTON(SC)	43	11	200,613,615,958,1172,1174,1518,1520,1857,1858,2437
8	CHARLESTON(SC)	50	22	201,202,614,616,617,619,959,960,1173,1175,1176,1177,1519,1521,1523,1859,1860,1861,1862,1863,1864,2438
9	CHARLESTON(SC)	57	15	203,618,620,622,961,1178,1179,1180,1522,1524,1526,1865,1866,1867,2439
10	CHARLESTON(SC)	64	15	204,621,623,625,962,1181,1182,1183,1525,1527,1529,1868,1869,1870,2440
11	CHARLESTON(SC)	71	15	205,624,626,628,963,1184,1185,1186,1528,1530,1532,1871,1872,1873,2441
12	CHARLESTON(SC)	78	15	206,627,629,631,964,1187,1188,1189,1531,1533,1535,1874,1875,1876,2442
13	CHARLESTON(SC)	85	15	207,630,632,634,965,1190,1191,1192,1534,1536,1538,1877,1878,1879,2443
14	CHARLESTON(SC)	92	15	208,633,635,637,966,1193,1194,1195,1537,1539,1541,1880,1881,1882,2444
15	CHARLESTON(SC)	99	15	209,636,638,640,967,1196,1197,1198,1540,1542,1544,1883,1884,1885,2445
16	CHARLESTON(SC)	106	17	210,418,639,641,643,968,1199,1200,1201,1543,1545,1547,1886,1887,1888,2240,2446
17	CHARLESTON(SC)	113	19	211,419,420,642,644,646,969,1202,1203,1204,1546,1548,1550,1889,1890,1891,2241,2242,2447
18	CHARLESTON(SC)	120	19	212,421,422,645,647,649,970,1205,1206,1207,1549,1551,1553,1892,1893,1894,2243,2244,2448
19	CHARLESTON(SC)	127	19	213,423,424,648,650,652,971,1208,1209,1210,1552,1554,1556,1895,1896,1897,2245,2246,2449
20	CHARLESTON(SC)	134	19	214,425,426,651,653,655,972,1211,1212,1213,1555,1557,1559,1898,1899,1900,2247,2248,2450
21	CHARLESTON(SC)	141	19	215,427,428,654,656,658,973,1214,1215,1216,1558,1560,1562,1901,1902,1903,2249,2250,2451
22	CHARLESTON(SC)	148	19	216,429,430,657,659,661,974,1217,1218,1219,1561,1563,1565,1904,1905,1906,2251,2252,2452
23	CHARLESTON(SC)	155	19	217,431,432,660,662,663,975,1220,1221,1222,1564,1566,1567,1907,1908,1909,2253,2254,2453
24	CHARLESTON(SC)	162	0	0
25	CHARLESTON(SC)	169	0	0
26	CHARLESTON(SC)	176	0	0
27	CHARLESTON(SC)	1	0	0
28	CHARLESTON(SC)	8	0	0
29	CHARLESTON(SC)	15	0	0
30	CHARLESTON(SC)	22	0	0
31	CHARLESTON(SC)	29	0	0
32	CHARLESTON(SC)	36	0	0
33	CHARLESTON(SC)	43	11	200,613,615,958,1172,1174,1518,1520,1857,1858,2437
34	CHARLESTON(SC)	50	22	201,202,614,616,617,619,959,960,1173,1175,1176,1177,1519,1521,1523,1859,1860,1861,1862,1863,1864,2438
35	CHARLESTON(SC)	57	15	203,618,620,622,961,1178,1179,1180,1522,1524,1526,1865,1866,1867,2439
36	CHARLESTON(SC)	64	15	204,621,623,625,962,1181,1182,1183,1525,1527,1529,1868,1869,1870,2440
37	CHARLESTON(SC)	71	15	205,624,626,628,963,1184,1185,1186,1528,1530,1532,1871,1872,1873,2441
38	CHARLESTON(SC)	78	15	206,627,629,631,964,1187,1188,1189,1531,1533,1535,1874,1875,1876,2442
39	CHARLESTON(SC)	85	15	207,630,632,634,965,1190,1191,1192,1534,1536,1538,1877,1878,1879,2443
40	CHARLESTON(SC)	92	15	208,633,635,637,966,1193,1194,1195,1537,1539,1541,1880,1881,1882,2444
41	CHARLESTON(SC)	99	15	209,636,638,640,967,1196,1197,1198,1540,1542,1544,1883,1884,1885,2445
42	CHARLESTON(SC)	106	17	210,418,639,641,643,968,1199,1200,1201,1543,1545,1547,1886,1887,1888,2240,2446
43	CHARLESTON(SC)	113	19	211,419,420,642,644,646,969,1202,1203,1204,1546,1548,1550,1889,1890,1891,2241,2242,2447
44	CHARLESTON(SC)	120	19	212,421,422,645,647,649,970,1205,1206,1207,1549,1551,1553,1892,1893,1894,2243,2244,2448
45	CHARLESTON(SC)	127	19	213,423,424,648,650,652,971,1208,1209,1210,1552,1554,1556,1895,1896,1897,2245,2246,2449
46	CHARLESTON(SC)	134	19	214,425,426,651,653,655,972,1211,1212,1213,1555,1557,1559,1898,1899,1900,2247,2248,2450
47	CHARLESTON(SC)	141	19	215,427,428,654,656,658,973,1214,1215,1216,1558,1560,1562,1901,1902,1903,2249,2250,2451
48	CHARLESTON(SC)	148	19	216,429,430,657,659,661,974,1217,1218,1219,1561,1563,1565,1904,1905,1906,2251,2252,2452
49	CHARLESTON(SC)	155	19	217,431,432,660,662,663,975,1220,1221,1222,1564,1566,1567,1907,1908,1909,2253,2254,2453
50	CHARLESTON(SC)	162	0	0
51	CHARLESTON(SC)	169	0	0
52	CHARLESTON(SC)	176	0	0
53	CHARLESTON(SC)	1	0	0
54	CHARLESTON(SC)	8	0	0
55	CHARLESTON(SC)	15	0	0
56	CHARLESTON(SC)	22	0	0
57	CHARLESTON(SC)	29	0	0
58	CHARLESTON(SC)	36	0	0
59	CHARLESTON(SC)	43	11	200,613,615,958,1172,1174,1518,1520,1857,1858,2437
60	CHARLESTON(SC)	50	22	201,202,614,616,617,619,959,960,1173,1175,1176,1177,1519,1521,1523,1859,1860,1861,1862,1863,1864,2438
61	CHARLESTON(SC)	57	15	203,618,620,622,961,1178,1179,1180,1522,1524,1526,1865,1866,1867,2439
62	CHARLESTON(SC)	64	15	204,621,623,625,962,1181,1182,1183,1525,1527,1529,1868,1869,1870,2440
63	CHARLESTON(SC)	71	15	205,624,626,628,963,1184,1185,1186,1528,1530,1532,1871,1872,1873,2441
64	CHARLESTON(SC)	78	15	206,627,629,631,964,1187,1188,1189,1531,1533,1535,1874,1875,1876,2442
65	CHARLESTON(SC)	85	15	207,630,632,634,965,1190,1191,1192,1534,1536,1538,1877,1878,1879,2443
66	CHARLESTON(SC)	92	15	208,633,635,637,966,1193,1194,1195,1537,1539,1541,1880,1881,1882,2444
67	CHARLESTON(SC)	99	15	209,636,638,640,967,1196,1197,1198,1540,1542,1544,1883,1884,1885,2445
68	CHARLESTON(SC)	106	17	210,418,639,641,643,968,1199,1200,1201,1543,1545,1547,1886,1887,1888,2240,2446
69	CHARLESTON(SC)	113	19	211,419,420,642,644,646,969,1202,1203,1204,1546,1548,1550,1889,1890,1891,2241,2242,2447
70	CHARLESTON(SC)	120	19	212,421,422,645,647,649,970,1205,1206,1207,1549,1551,1553,1892,1893,1894,2243,2244,2448
71	CHARLESTON(SC)	127	19	213,423,424,648,650,652,971,1208,1209,1210,1552,1554,1556,1895,1896,1897,2245,2246,2449
72	CHARLESTON(SC)	134	19	214,425,426,651,653,655,972,1211,1212,1213,1555,1557,1559,1898,1899,1900,2247,2248,2450
73	CHARLESTON(SC)	141	19	215,427,428,654,656,658,973,1214,1215,1216,1558,1560,1562,1901,1902,1903,2249,2250,2451
74	CHARLESTON(SC)	148	19	216,429,430,657,659,661,974,1217,1218,1219,1561,1563,1565,1904,1905,1906,2251,2252,2452
75	CHARLESTON(SC)	155	19	217,431,432,660,662,663,975,1220,1221,1222,1564,1566,1567,1907,1908,1909,2253,2254,2453
76	CHARLESTON(SC)	162	0	0
77	CHARLESTON(SC)	169	0	0
78	CHARLESTON(SC)	176	0	0
79	CHARLESTON(SC)	1	0	0
80	CHARLESTON(SC)	8	0	0
81	CHARLESTON(SC)	15	0	0
82	CHARLESTON(SC)	22	0	0
83	CHARLESTON(SC)	29	0	0
84	CHARLESTON(SC)	36	0	0
85	CHARLESTON(SC)	43	11	200,613,615,958,1172,1174,1518,1520,1857,1858,2437
86	CHARLESTON(SC)	50	22	201,202,614,616,617,619,959,960,1173,1175,1176,1177,1519,1521,1523,1859,1860,1861,1862,1863,1864,2438
87	CHARLESTON(SC)	57	15	203,618,620,622,961,1178,1179,1180,1522,1524,1526,1865,1866,1867,2439
88	CHARLESTON(SC)	64	15	204,621,623,625,962,1181,1182,1183,1525,1527,1529,1868,1869,1870,2440
89	CHARLESTON(SC)	71	15	205,624,626,628,963,1184,1185,1186,1528,1530,1532,1871,1872,1873,2441
90	CHARLESTON(SC)	78	15	206,627,629,631,964,1187,1188,1189,1531,1533,1535,1874,1875,1876,2442
91	CHARLESTON(SC)	85	15	207,630,632,634,965,1190,1191,1192,1534,1536,1538,1877,1878,1879,2443
92	CHARLESTON(SC)	92	15	208,633,635,637,966,1193,1194,1195,1537,1539,1541,1880,1881,1882,2444
93	CHARLESTON(SC)	99	15	209,636,638,640,967,1196,1197,1198,1540,1542,1544,1883,1884,1885,2445
94	CHARLESTON(SC)	106	17	210,418,639,641,643,968,1199,1200,1201,1543,1545,1547,1886,1887,1888,2240,2446
95	CHARLESTON(SC)	113	19	211,419,420,642,644,646,969,1202,1203,1204,1546,1548,1550,1889,1890,1891,2241,2242,2447
96	CHARLESTON(SC)	120	19	212,421,422,645,647,649,970,1205,1206,1207,1549,1551,1553,1892,1893,1894,2243,2244,2448
97	CHARLESTON(SC)	127	19	213,423,424,648,650,652,971,1208,1209,1210,1552,1554,1556,1895,1896,1897,2245,2246,2449
98	CHARLESTON(SC)	134	19	214,425,426,651,653,655,972,1211,1212,1213,1555,1557,1559,1898,1899,1900,2247,2248,2450
99	CHARLESTON(SC)	141	19	215,427,428,654,656,658,973,1214,1215,1216,1558,1560,1562,1901,1902,1903,2249,2250,2451
100	CHARLESTON(SC)	148	19	216,429,430,657,659,661,974,1217,1218,1219,1561,1563,1565,1904,1905,1906,2251,2252,2452
101	CHARLESTON(SC)	155	19	217,431,432,660,662,663,975,1220,1221,1222,1564,1566,1567,1907,1908,1909,2253,2254,2453
102	CHARLESTON(SC)	162	0	0
103	CHARLESTON(SC)	169	0	0
104	CHARLESTON(SC)	176	0	0
105	CHARLESTON(SC)	1	0	0
106	CHARLESTON(SC)	8	0	0
107	CHARLESTON(SC)	15	0	0
108	CHARLESTON(SC)	22	0	0
109	CHARLESTON(SC)	29	0	0
110	CHARLESTON(SC)	36	0	0
111	CHARLESTON(SC)	43	11	200,613,615,958,1172,1174,1518,1520,1857,1858,2437
112	CHARLESTON(SC)	50	22	201,202,614,616,617,619,959,960,1173,1175,1176,1177,1519,1521,1523,1859,1860,1861,1862,1863,1864,2438
