RequestID	OriginPort	OriginTime	DestinationPort	RoundTrip	W_i_Earlist	ArrivalTime_to_Destination	PathTime	TransshipPort	TransshipTime	Port_Path	PathID	ArcIDs
5	CHARLESTON(SC)	39	DAMIETTA	5	29	81	42	0	0	1	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,NHAVA SHEVA,MUNDRA,DAMIETTA	8,9,10,11,99,100
5	CHARLESTON(SC)	39	DAMIETTA	5	29	81	42	PORT QASIM,MUNDRA	0,3	2	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,MUNDRA,DAMIETTA	8,9,10,291,184,621,100
6	CHARLESTON(SC)	39	DAMIETTA	6	36	81	42	0	0	1	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,NHAVA SHEVA,MUNDRA,DAMIETTA	8,9,10,11,99,100
6	CHARLESTON(SC)	39	DAMIETTA	6	36	81	42	PORT QASIM,MUNDRA	0,3	2	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,MUNDRA,DAMIETTA	8,9,10,291,184,621,100
6	CHARLESTON(SC)	39	DAMIETTA	6	36	88	49	PORT QASIM,MUNDRA	0,10	3	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,MUNDRA,DAMIETTA	8,9,10,291,184,622,109
6	CHARLESTON(SC)	46	DAMIETTA	6	36	88	42	0	0	4	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,NHAVA SHEVA,MUNDRA,DAMIETTA	19,20,21,22,108,109
6	CHARLESTON(SC)	46	DAMIETTA	6	36	88	42	PORT QASIM,MUNDRA	0,3	5	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,MUNDRA,DAMIETTA	19,20,21,305,191,633,109
7	CHARLESTON(SC)	46	DAMIETTA	7	43	88	42	0	0	4	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,NHAVA SHEVA,MUNDRA,DAMIETTA	19,20,21,22,108,109
7	CHARLESTON(SC)	46	DAMIETTA	7	43	88	42	PORT QASIM,MUNDRA	0,3	5	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,MUNDRA,DAMIETTA	19,20,21,305,191,633,109
7	CHARLESTON(SC)	46	DAMIETTA	7	43	95	49	PORT QASIM,MUNDRA	0,10	6	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,MUNDRA,DAMIETTA	19,20,21,305,191,634,118
7	CHARLESTON(SC)	53	DAMIETTA	7	43	95	42	0	0	7	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,NHAVA SHEVA,MUNDRA,DAMIETTA	30,31,32,33,117,118
7	CHARLESTON(SC)	53	DAMIETTA	7	43	95	42	PORT QASIM,MUNDRA	0,3	8	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,MUNDRA,DAMIETTA	30,31,32,319,198,645,118
8	CHARLESTON(SC)	53	DAMIETTA	8	50	95	42	0	0	7	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,NHAVA SHEVA,MUNDRA,DAMIETTA	30,31,32,33,117,118
8	CHARLESTON(SC)	53	DAMIETTA	8	50	95	42	PORT QASIM,MUNDRA	0,3	8	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,MUNDRA,DAMIETTA	30,31,32,319,198,645,118
8	CHARLESTON(SC)	53	DAMIETTA	8	50	102	49	PORT QASIM,MUNDRA	0,10	9	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,MUNDRA,DAMIETTA	30,31,32,319,198,646,127
8	CHARLESTON(SC)	60	DAMIETTA	8	50	102	42	0	0	10	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,NHAVA SHEVA,MUNDRA,DAMIETTA	41,42,43,44,126,127
8	CHARLESTON(SC)	60	DAMIETTA	8	50	102	42	PORT QASIM,MUNDRA	0,3	11	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,MUNDRA,DAMIETTA	41,42,43,333,205,657,127
9	CHARLESTON(SC)	60	DAMIETTA	9	57	102	42	0	0	10	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,NHAVA SHEVA,MUNDRA,DAMIETTA	41,42,43,44,126,127
9	CHARLESTON(SC)	60	DAMIETTA	9	57	102	42	PORT QASIM,MUNDRA	0,3	11	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,MUNDRA,DAMIETTA	41,42,43,333,205,657,127
9	CHARLESTON(SC)	60	DAMIETTA	9	57	109	49	PORT QASIM,MUNDRA	0,10	12	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,MUNDRA,DAMIETTA	41,42,43,333,205,658,136
9	CHARLESTON(SC)	67	DAMIETTA	9	57	109	42	0	0	13	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,NHAVA SHEVA,MUNDRA,DAMIETTA	52,53,54,55,135,136
9	CHARLESTON(SC)	67	DAMIETTA	9	57	109	42	PORT QASIM,MUNDRA	0,3	14	CHARLESTON(SC),PORT SAID,JEDDAH,PORT QASIM,MUNDRA,DAMIETTA	52,53,54,347,212,669,136
