TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
279	PORT QASIM	1	4	0	180	4	1	2
280	PORT QASIM	1	4	7	187	11	1	2
281	NHAVA SHEVA	2	6	3	182	9	1	2
282	NHAVA SHEVA	2	6	10	189	16	1	2
283	MUNDRA	3	9	4	188	13	1	2
284	MUNDRA	3	9	11	195	20	1	2
285	NEW YORK(NY)	5	31	6	185	37	1	2
286	NEW YORK(NY)	5	31	13	192	44	1	2
287	NORFOLK(VA)	6	34	3	190	37	1	2
288	NORFOLK(VA)	6	34	10	197	44	1	2
289	SAVANNAH(GA)	7	37	3	191	40	1	2
290	SAVANNAH(GA)	7	37	10	198	47	1	2
291	PORT QASIM	11	67	0	193	67	1	2
292	PORT QASIM	11	67	7	200	74	1	2
293	PORT QASIM	12	11	0	187	11	1	2
294	PORT QASIM	12	11	7	194	18	1	2
295	NHAVA SHEVA	13	13	3	189	16	1	2
296	NHAVA SHEVA	13	13	10	196	23	1	2
297	MUNDRA	14	16	4	195	20	1	2
298	MUNDRA	14	16	11	202	27	1	2
299	NEW YORK(NY)	16	38	6	192	44	1	2
300	NEW YORK(NY)	16	38	13	199	51	1	2
301	NORFOLK(VA)	17	41	3	197	44	1	2
302	NORFOLK(VA)	17	41	10	204	51	1	2
303	SAVANNAH(GA)	18	44	3	198	47	1	2
304	SAVANNAH(GA)	18	44	10	205	54	1	2
305	PORT QASIM	22	74	0	200	74	1	2
306	PORT QASIM	22	74	7	207	81	1	2
307	PORT QASIM	23	18	0	194	18	1	2
308	PORT QASIM	23	18	7	201	25	1	2
309	NHAVA SHEVA	24	20	3	196	23	1	2
310	NHAVA SHEVA	24	20	10	203	30	1	2
311	MUNDRA	25	23	4	202	27	1	2
312	MUNDRA	25	23	11	209	34	1	2
313	NEW YORK(NY)	27	45	6	199	51	1	2
314	NEW YORK(NY)	27	45	13	206	58	1	2
315	NORFOLK(VA)	28	48	3	204	51	1	2
316	NORFOLK(VA)	28	48	10	211	58	1	2
317	SAVANNAH(GA)	29	51	3	205	54	1	2
318	SAVANNAH(GA)	29	51	10	212	61	1	2
319	PORT QASIM	33	81	0	207	81	1	2
320	PORT QASIM	33	81	7	214	88	1	2
321	PORT QASIM	34	25	0	201	25	1	2
322	PORT QASIM	34	25	7	208	32	1	2
323	NHAVA SHEVA	35	27	3	203	30	1	2
324	NHAVA SHEVA	35	27	10	210	37	1	2
325	MUNDRA	36	30	4	209	34	1	2
326	MUNDRA	36	30	11	216	41	1	2
327	NEW YORK(NY)	38	52	6	206	58	1	2
328	NEW YORK(NY)	38	52	13	213	65	1	2
329	NORFOLK(VA)	39	55	3	211	58	1	2
330	NORFOLK(VA)	39	55	10	218	65	1	2
331	SAVANNAH(GA)	40	58	3	212	61	1	2
332	SAVANNAH(GA)	40	58	10	219	68	1	2
333	PORT QASIM	44	88	0	214	88	1	2
334	PORT QASIM	44	88	7	221	95	1	2
335	PORT QASIM	45	32	0	208	32	1	2
336	PORT QASIM	45	32	7	215	39	1	2
337	NHAVA SHEVA	46	34	3	210	37	1	2
338	NHAVA SHEVA	46	34	10	217	44	1	2
339	MUNDRA	47	37	4	216	41	1	2
340	MUNDRA	47	37	11	223	48	1	2
341	NEW YORK(NY)	49	59	6	213	65	1	2
342	NEW YORK(NY)	49	59	13	220	72	1	2
343	NORFOLK(VA)	50	62	3	218	65	1	2
344	NORFOLK(VA)	50	62	10	225	72	1	2
345	SAVANNAH(GA)	51	65	3	219	68	1	2
346	SAVANNAH(GA)	51	65	10	226	75	1	2
347	PORT QASIM	55	95	0	221	95	1	2
348	PORT QASIM	55	95	7	228	102	1	2
349	PORT QASIM	56	39	0	215	39	1	2
350	PORT QASIM	56	39	7	222	46	1	2
351	NHAVA SHEVA	57	41	3	217	44	1	2
352	NHAVA SHEVA	57	41	10	224	51	1	2
353	MUNDRA	58	44	4	223	48	1	2
354	MUNDRA	58	44	11	230	55	1	2
355	NEW YORK(NY)	60	66	6	220	72	1	2
356	NEW YORK(NY)	60	66	13	227	79	1	2
357	NORFOLK(VA)	61	69	3	225	72	1	2
358	NORFOLK(VA)	61	69	10	232	79	1	2
359	SAVANNAH(GA)	62	72	3	226	75	1	2
360	SAVANNAH(GA)	62	72	10	233	82	1	2
361	PORT QASIM	66	102	0	228	102	1	2
362	PORT QASIM	66	102	7	235	109	1	2
363	PORT QASIM	67	46	0	222	46	1	2
364	PORT QASIM	67	46	7	229	53	1	2
365	NHAVA SHEVA	68	48	3	224	51	1	2
366	NHAVA SHEVA	68	48	10	231	58	1	2
367	MUNDRA	69	51	4	230	55	1	2
368	MUNDRA	69	51	11	236	62	1	2
369	NEW YORK(NY)	71	73	6	227	79	1	2
370	NEW YORK(NY)	71	73	13	234	86	1	2
371	NORFOLK(VA)	72	76	3	232	79	1	2
372	NORFOLK(VA)	72	76	10	238	86	1	2
373	SAVANNAH(GA)	73	79	3	233	82	1	2
374	SAVANNAH(GA)	73	79	10	239	89	1	2
375	PORT QASIM	77	109	0	235	109	1	2
376	PORT QASIM	77	109	7	241	116	1	2
377	PORT QASIM	78	53	7	186	60	1	2
378	PORT QASIM	78	53	0	229	53	1	2
379	NHAVA SHEVA	79	55	3	231	58	1	2
380	NHAVA SHEVA	79	55	10	237	65	1	2
381	MUNDRA	80	58	4	236	62	1	2
382	MUNDRA	80	58	11	242	69	1	2
383	NEW YORK(NY)	82	80	6	234	86	1	2
384	NEW YORK(NY)	82	80	13	240	93	1	2
385	NORFOLK(VA)	83	83	3	238	86	1	2
386	NORFOLK(VA)	83	83	10	244	93	1	2
387	SAVANNAH(GA)	84	86	3	239	89	1	2
388	SAVANNAH(GA)	84	86	10	245	96	1	2
389	PORT QASIM	88	116	0	241	116	1	2
390	PORT QASIM	88	116	7	247	123	1	2
391	PORT QASIM	89	60	0	186	60	1	2
392	PORT QASIM	89	60	7	193	67	1	2
393	NHAVA SHEVA	90	62	3	237	65	1	2
394	NHAVA SHEVA	90	62	10	243	72	1	2
395	MUNDRA	91	65	4	242	69	1	2
396	MUNDRA	91	65	11	248	76	1	2
397	NEW YORK(NY)	93	87	6	240	93	1	2
398	NEW YORK(NY)	93	87	13	246	100	1	2
399	NORFOLK(VA)	94	90	3	244	93	1	2
400	NORFOLK(VA)	94	90	10	250	100	1	2
401	SAVANNAH(GA)	95	93	3	245	96	1	2
402	SAVANNAH(GA)	95	93	10	251	103	1	2
403	PORT QASIM	99	123	0	247	123	1	2
404	PORT QASIM	99	123	7	253	130	1	2
405	NHAVA SHEVA	100	69	3	243	72	1	2
406	NHAVA SHEVA	100	69	10	249	79	1	2
407	MUNDRA	101	72	4	248	76	1	2
408	MUNDRA	101	72	11	254	83	1	2
409	NEW YORK(NY)	103	94	6	246	100	1	2
410	NEW YORK(NY)	103	94	13	252	107	1	2
411	NORFOLK(VA)	104	97	3	250	100	1	2
412	NORFOLK(VA)	104	97	10	256	107	1	2
413	SAVANNAH(GA)	105	100	3	251	103	1	2
414	SAVANNAH(GA)	105	100	10	257	110	1	2
415	PORT QASIM	109	130	0	253	130	1	2
416	PORT QASIM	109	130	7	259	137	1	2
417	NHAVA SHEVA	110	76	3	249	79	1	2
418	NHAVA SHEVA	110	76	10	255	86	1	2
419	MUNDRA	111	79	4	254	83	1	2
420	MUNDRA	111	79	11	260	90	1	2
421	NEW YORK(NY)	113	101	6	252	107	1	2
422	NEW YORK(NY)	113	101	13	258	114	1	2
423	NORFOLK(VA)	114	104	3	256	107	1	2
424	NORFOLK(VA)	114	104	10	262	114	1	2
425	SAVANNAH(GA)	115	107	3	257	110	1	2
426	SAVANNAH(GA)	115	107	10	263	117	1	2
427	PORT QASIM	119	137	0	259	137	1	2
428	PORT QASIM	119	137	7	265	144	1	2
429	NHAVA SHEVA	120	83	3	255	86	1	2
430	NHAVA SHEVA	120	83	10	261	93	1	2
431	MUNDRA	121	86	4	260	90	1	2
432	MUNDRA	121	86	11	266	97	1	2
433	NEW YORK(NY)	123	108	6	258	114	1	2
434	NEW YORK(NY)	123	108	13	264	121	1	2
435	NORFOLK(VA)	124	111	3	262	114	1	2
436	NORFOLK(VA)	124	111	10	268	121	1	2
437	SAVANNAH(GA)	125	114	3	263	117	1	2
438	SAVANNAH(GA)	125	114	10	269	124	1	2
439	PORT QASIM	129	144	0	265	144	1	2
440	PORT QASIM	129	144	7	271	151	1	2
441	NHAVA SHEVA	130	90	3	261	93	1	2
442	NHAVA SHEVA	130	90	10	267	100	1	2
443	MUNDRA	131	93	4	266	97	1	2
444	MUNDRA	131	93	11	272	104	1	2
445	NEW YORK(NY)	133	115	6	264	121	1	2
446	NEW YORK(NY)	133	115	13	270	128	1	2
447	NORFOLK(VA)	134	118	3	268	121	1	2
448	NORFOLK(VA)	134	118	10	274	128	1	2
449	SAVANNAH(GA)	135	121	3	269	124	1	2
450	SAVANNAH(GA)	135	121	10	275	131	1	2
451	PORT QASIM	139	151	0	271	151	1	2
452	PORT QASIM	139	151	7	277	158	1	2
453	NHAVA SHEVA	140	97	3	267	100	1	2
454	NHAVA SHEVA	140	97	10	273	107	1	2
455	MUNDRA	141	100	4	272	104	1	2
456	MUNDRA	141	100	11	278	111	1	2
457	NEW YORK(NY)	143	122	6	270	128	1	2
