TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	PORT QASIM	1	4	2	2	2	NHAVA SHEVA	6
2	1	2	2	NHAVA SHEVA	1	6	3	3	3	MUNDRA	9
3	1	3	3	MUNDRA	1	9	9	4	4	DAMIETTA	18
4	1	4	4	DAMIETTA	1	18	13	5	5	NEW YORK(NY)	31
5	1	5	5	NEW YORK(NY)	1	31	3	6	6	NORFOLK(VA)	34
6	1	6	6	NORFOLK(VA)	1	34	3	7	7	SAVANNAH(GA)	37
7	1	7	7	SAVANNAH(GA)	1	37	2	8	8	CHARLESTON(SC)	39
8	1	8	8	CHARLESTON(SC)	1	39	17	9	9	PORT SAID	56
9	1	9	9	PORT SAID	1	56	4	10	10	JEDDAH	60
10	1	10	10	JEDDAH	1	60	7	11	11	PORT QASIM	67
11	1	11	11	PORT QASIM	1	67	2	100	2	NHAVA SHEVA	69
12	1	12	1	PORT QASIM	2	11	2	13	2	NHAVA SHEVA	13
13	1	13	2	NHAVA SHEVA	2	13	3	14	3	MUNDRA	16
14	1	14	3	MUNDRA	2	16	9	15	4	DAMIETTA	25
15	1	15	4	DAMIETTA	2	25	13	16	5	NEW YORK(NY)	38
16	1	16	5	NEW YORK(NY)	2	38	3	17	6	NORFOLK(VA)	41
17	1	17	6	NORFOLK(VA)	2	41	3	18	7	SAVANNAH(GA)	44
18	1	18	7	SAVANNAH(GA)	2	44	2	19	8	CHARLESTON(SC)	46
19	1	19	8	CHARLESTON(SC)	2	46	17	20	9	PORT SAID	63
20	1	20	9	PORT SAID	2	63	4	21	10	JEDDAH	67
21	1	21	10	JEDDAH	2	67	7	22	11	PORT QASIM	74
22	1	22	11	PORT QASIM	2	74	2	110	2	NHAVA SHEVA	76
23	1	23	1	PORT QASIM	3	18	2	24	2	NHAVA SHEVA	20
24	1	24	2	NHAVA SHEVA	3	20	3	25	3	MUNDRA	23
25	1	25	3	MUNDRA	3	23	9	26	4	DAMIETTA	32
26	1	26	4	DAMIETTA	3	32	13	27	5	NEW YORK(NY)	45
27	1	27	5	NEW YORK(NY)	3	45	3	28	6	NORFOLK(VA)	48
28	1	28	6	NORFOLK(VA)	3	48	3	29	7	SAVANNAH(GA)	51
29	1	29	7	SAVANNAH(GA)	3	51	2	30	8	CHARLESTON(SC)	53
30	1	30	8	CHARLESTON(SC)	3	53	17	31	9	PORT SAID	70
31	1	31	9	PORT SAID	3	70	4	32	10	JEDDAH	74
32	1	32	10	JEDDAH	3	74	7	33	11	PORT QASIM	81
33	1	33	11	PORT QASIM	3	81	2	120	2	NHAVA SHEVA	83
34	1	34	1	PORT QASIM	4	25	2	35	2	NHAVA SHEVA	27
35	1	35	2	NHAVA SHEVA	4	27	3	36	3	MUNDRA	30
36	1	36	3	MUNDRA	4	30	9	37	4	DAMIETTA	39
37	1	37	4	DAMIETTA	4	39	13	38	5	NEW YORK(NY)	52
38	1	38	5	NEW YORK(NY)	4	52	3	39	6	NORFOLK(VA)	55
39	1	39	6	NORFOLK(VA)	4	55	3	40	7	SAVANNAH(GA)	58
40	1	40	7	SAVANNAH(GA)	4	58	2	41	8	CHARLESTON(SC)	60
41	1	41	8	CHARLESTON(SC)	4	60	17	42	9	PORT SAID	77
42	1	42	9	PORT SAID	4	77	4	43	10	JEDDAH	81
43	1	43	10	JEDDAH	4	81	7	44	11	PORT QASIM	88
44	1	44	11	PORT QASIM	4	88	2	130	2	NHAVA SHEVA	90
45	1	45	1	PORT QASIM	5	32	2	46	2	NHAVA SHEVA	34
46	1	46	2	NHAVA SHEVA	5	34	3	47	3	MUNDRA	37
47	1	47	3	MUNDRA	5	37	9	48	4	DAMIETTA	46
48	1	48	4	DAMIETTA	5	46	13	49	5	NEW YORK(NY)	59
49	1	49	5	NEW YORK(NY)	5	59	3	50	6	NORFOLK(VA)	62
50	1	50	6	NORFOLK(VA)	5	62	3	51	7	SAVANNAH(GA)	65
51	1	51	7	SAVANNAH(GA)	5	65	2	52	8	CHARLESTON(SC)	67
52	1	52	8	CHARLESTON(SC)	5	67	17	53	9	PORT SAID	84
53	1	53	9	PORT SAID	5	84	4	54	10	JEDDAH	88
54	1	54	10	JEDDAH	5	88	7	55	11	PORT QASIM	95
55	1	55	11	PORT QASIM	5	95	2	140	2	NHAVA SHEVA	97
56	1	56	1	PORT QASIM	6	39	2	57	2	NHAVA SHEVA	41
57	1	57	2	NHAVA SHEVA	6	41	3	58	3	MUNDRA	44
58	1	58	3	MUNDRA	6	44	9	59	4	DAMIETTA	53
59	1	59	4	DAMIETTA	6	53	13	60	5	NEW YORK(NY)	66
60	1	60	5	NEW YORK(NY)	6	66	3	61	6	NORFOLK(VA)	69
61	1	61	6	NORFOLK(VA)	6	69	3	62	7	SAVANNAH(GA)	72
62	1	62	7	SAVANNAH(GA)	6	72	2	63	8	CHARLESTON(SC)	74
63	1	63	8	CHARLESTON(SC)	6	74	17	64	9	PORT SAID	91
64	1	64	9	PORT SAID	6	91	4	65	10	JEDDAH	95
65	1	65	10	JEDDAH	6	95	7	66	11	PORT QASIM	102
66	1	66	11	PORT QASIM	6	102	2	150	2	NHAVA SHEVA	104
67	1	67	1	PORT QASIM	7	46	2	68	2	NHAVA SHEVA	48
68	1	68	2	NHAVA SHEVA	7	48	3	69	3	MUNDRA	51
69	1	69	3	MUNDRA	7	51	9	70	4	DAMIETTA	60
70	1	70	4	DAMIETTA	7	60	13	71	5	NEW YORK(NY)	73
71	1	71	5	NEW YORK(NY)	7	73	3	72	6	NORFOLK(VA)	76
72	1	72	6	NORFOLK(VA)	7	76	3	73	7	SAVANNAH(GA)	79
73	1	73	7	SAVANNAH(GA)	7	79	2	74	8	CHARLESTON(SC)	81
74	1	74	8	CHARLESTON(SC)	7	81	17	75	9	PORT SAID	98
75	1	75	9	PORT SAID	7	98	4	76	10	JEDDAH	102
76	1	76	10	JEDDAH	7	102	7	77	11	PORT QASIM	109
77	1	77	11	PORT QASIM	7	109	2	160	2	NHAVA SHEVA	111
78	1	78	1	PORT QASIM	8	53	2	79	2	NHAVA SHEVA	55
79	1	79	2	NHAVA SHEVA	8	55	3	80	3	MUNDRA	58
80	1	80	3	MUNDRA	8	58	9	81	4	DAMIETTA	67
81	1	81	4	DAMIETTA	8	67	13	82	5	NEW YORK(NY)	80
82	1	82	5	NEW YORK(NY)	8	80	3	83	6	NORFOLK(VA)	83
83	1	83	6	NORFOLK(VA)	8	83	3	84	7	SAVANNAH(GA)	86
