VesselPathID	VesselRouteID	NumOfArcs	ArcIDs	originTime	destinationTime
1	1	10	1,2,3,4,5,6,7,8,9,10	4	67
2	1	10	12,13,14,15,16,17,18,19,20,21	11	74
3	1	10	23,24,25,26,27,28,29,30,31,32	18	81
4	1	10	34,35,36,37,38,39,40,41,42,43	25	88
5	1	10	45,46,47,48,49,50,51,52,53,54	32	95
6	1	10	56,57,58,59,60,61,62,63,64,65	39	102
7	1	10	67,68,69,70,71,72,73,74,75,76	46	109
8	1	10	78,79,80,81,82,83,84,85,86,87	53	116
9	1	10	89,90,91,92,93,94,95,96,97,98	60	123
10	1	10	11,99,100,101,102,103,104,105,106,107	67	130
11	1	10	22,108,109,110,111,112,113,114,115,116	74	137
12	1	10	33,117,118,119,120,121,122,123,124,125	81	144
13	1	10	44,126,127,128,129,130,131,132,133,134	88	151
14	1	10	55,135,136,137,138,139,140,141,142,143	95	158
15	1	10	66,144,145,146,147,148,149,150,151,152	102	165
16	1	10	77,153,154,155,156,157,158,159,160,161	109	172
17	1	10	88,162,163,164,165,166,167,168,169,170	116	179
18	2	6	171,172,173,174,175,176	4	60
19	2	6	178,179,180,181,182,183	11	67
20	2	6	185,186,187,188,189,190	18	74
21	2	6	192,193,194,195,196,197	25	81
22	2	6	199,200,201,202,203,204	32	88
23	2	6	206,207,208,209,210,211	39	95
24	2	6	213,214,215,216,217,218	46	102
25	2	6	220,221,222,223,224,225	53	109
26	2	6	177,227,228,229,230,231	60	116
27	2	6	184,233,234,235,236,237	67	123
28	2	6	191,239,240,241,242,243	74	130
29	2	6	198,244,245,246,247,248	81	137
30	2	6	205,249,250,251,252,253	88	144
31	2	6	212,254,255,256,257,258	95	151
32	2	6	219,259,260,261,262,263	102	158
33	2	6	226,264,265,266,267,268	109	165
34	2	6	232,269,270,271,272,273	116	172
35	2	6	238,274,275,276,277,278	123	179
