ID	Route	Call	Port	Round_trip	Time
1	1	1	PORT QASIM	1	4
2	1	2	NHAVA SHEVA	1	6
3	1	3	MUNDRA	1	9
4	1	4	DAMIETTA	1	18
5	1	5	NEW YORK(NY)	1	31
6	1	6	NORFOLK(VA)	1	34
7	1	7	SAVANNAH(GA)	1	37
8	1	8	CHARLESTON(SC)	1	39
9	1	9	PORT SAID	1	56
10	1	10	JEDDAH	1	60
11	1	11	PORT QASIM	1	67
12	1	1	PORT QASIM	2	11
13	1	2	NHAVA SHEVA	2	13
14	1	3	MUNDRA	2	16
15	1	4	DAMIETTA	2	25
16	1	5	NEW YORK(NY)	2	38
17	1	6	NORFOLK(VA)	2	41
18	1	7	SAVANNAH(GA)	2	44
19	1	8	CHARLESTON(SC)	2	46
20	1	9	PORT SAID	2	63
21	1	10	JEDDAH	2	67
22	1	11	PORT QASIM	2	74
23	1	1	PORT QASIM	3	18
24	1	2	NHAVA SHEVA	3	20
25	1	3	MUNDRA	3	23
26	1	4	DAMIETTA	3	32
27	1	5	NEW YORK(NY)	3	45
28	1	6	NORFOLK(VA)	3	48
29	1	7	SAVANNAH(GA)	3	51
30	1	8	CHARLESTON(SC)	3	53
31	1	9	PORT SAID	3	70
32	1	10	JEDDAH	3	74
33	1	11	PORT QASIM	3	81
34	1	1	PORT QASIM	4	25
35	1	2	NHAVA SHEVA	4	27
36	1	3	MUNDRA	4	30
37	1	4	DAMIETTA	4	39
38	1	5	NEW YORK(NY)	4	52
39	1	6	NORFOLK(VA)	4	55
40	1	7	SAVANNAH(GA)	4	58
41	1	8	CHARLESTON(SC)	4	60
42	1	9	PORT SAID	4	77
43	1	10	JEDDAH	4	81
44	1	11	PORT QASIM	4	88
45	1	1	PORT QASIM	5	32
46	1	2	NHAVA SHEVA	5	34
47	1	3	MUNDRA	5	37
48	1	4	DAMIETTA	5	46
49	1	5	NEW YORK(NY)	5	59
50	1	6	NORFOLK(VA)	5	62
51	1	7	SAVANNAH(GA)	5	65
52	1	8	CHARLESTON(SC)	5	67
53	1	9	PORT SAID	5	84
54	1	10	JEDDAH	5	88
55	1	11	PORT QASIM	5	95
56	1	1	PORT QASIM	6	39
57	1	2	NHAVA SHEVA	6	41
58	1	3	MUNDRA	6	44
59	1	4	DAMIETTA	6	53
60	1	5	NEW YORK(NY)	6	66
61	1	6	NORFOLK(VA)	6	69
62	1	7	SAVANNAH(GA)	6	72
63	1	8	CHARLESTON(SC)	6	74
64	1	9	PORT SAID	6	91
65	1	10	JEDDAH	6	95
66	1	11	PORT QASIM	6	102
67	1	1	PORT QASIM	7	46
68	1	2	NHAVA SHEVA	7	48
69	1	3	MUNDRA	7	51
70	1	4	DAMIETTA	7	60
71	1	5	NEW YORK(NY)	7	73
72	1	6	NORFOLK(VA)	7	76
73	1	7	SAVANNAH(GA)	7	79
74	1	8	CHARLESTON(SC)	7	81
75	1	9	PORT SAID	7	98
76	1	10	JEDDAH	7	102
77	1	11	PORT QASIM	7	109
78	1	1	PORT QASIM	8	53
79	1	2	NHAVA SHEVA	8	55
80	1	3	MUNDRA	8	58
81	1	4	DAMIETTA	8	67
82	1	5	NEW YORK(NY)	8	80
83	1	6	NORFOLK(VA)	8	83
84	1	7	SAVANNAH(GA)	8	86
85	1	8	CHARLESTON(SC)	8	88
86	1	9	PORT SAID	8	105
87	1	10	JEDDAH	8	109
88	1	11	PORT QASIM	8	116
89	1	1	PORT QASIM	9	60
90	1	2	NHAVA SHEVA	9	62
91	1	3	MUNDRA	9	65
92	1	4	DAMIETTA	9	74
93	1	5	NEW YORK(NY)	9	87
94	1	6	NORFOLK(VA)	9	90
95	1	7	SAVANNAH(GA)	9	93
96	1	8	CHARLESTON(SC)	9	95
97	1	9	PORT SAID	9	112
98	1	10	JEDDAH	9	116
99	1	11	PORT QASIM	9	123
100	1	2	NHAVA SHEVA	10	69
101	1	3	MUNDRA	10	72
102	1	4	DAMIETTA	10	81
103	1	5	NEW YORK(NY)	10	94
104	1	6	NORFOLK(VA)	10	97
105	1	7	SAVANNAH(GA)	10	100
106	1	8	CHARLESTON(SC)	10	102
107	1	9	PORT SAID	10	119
108	1	10	JEDDAH	10	123
109	1	11	PORT QASIM	10	130
110	1	2	NHAVA SHEVA	11	76
111	1	3	MUNDRA	11	79
112	1	4	DAMIETTA	11	88
113	1	5	NEW YORK(NY)	11	101
114	1	6	NORFOLK(VA)	11	104
115	1	7	SAVANNAH(GA)	11	107
116	1	8	CHARLESTON(SC)	11	109
117	1	9	PORT SAID	11	126
118	1	10	JEDDAH	11	130
119	1	11	PORT QASIM	11	137
120	1	2	NHAVA SHEVA	12	83
121	1	3	MUNDRA	12	86
122	1	4	DAMIETTA	12	95
123	1	5	NEW YORK(NY)	12	108
124	1	6	NORFOLK(VA)	12	111
125	1	7	SAVANNAH(GA)	12	114
126	1	8	CHARLESTON(SC)	12	116
127	1	9	PORT SAID	12	133
128	1	10	JEDDAH	12	137
129	1	11	PORT QASIM	12	144
130	1	2	NHAVA SHEVA	13	90
131	1	3	MUNDRA	13	93
132	1	4	DAMIETTA	13	102
133	1	5	NEW YORK(NY)	13	115
134	1	6	NORFOLK(VA)	13	118
135	1	7	SAVANNAH(GA)	13	121
136	1	8	CHARLESTON(SC)	13	123
137	1	9	PORT SAID	13	140
138	1	10	JEDDAH	13	144
139	1	11	PORT QASIM	13	151
140	1	2	NHAVA SHEVA	14	97
141	1	3	MUNDRA	14	100
142	1	4	DAMIETTA	14	109
143	1	5	NEW YORK(NY)	14	122
144	1	6	NORFOLK(VA)	14	125
145	1	7	SAVANNAH(GA)	14	128
146	1	8	CHARLESTON(SC)	14	130
147	1	9	PORT SAID	14	147
148	1	10	JEDDAH	14	151
149	1	11	PORT QASIM	14	158
150	1	2	NHAVA SHEVA	15	104
151	1	3	MUNDRA	15	107
152	1	4	DAMIETTA	15	116
153	1	5	NEW YORK(NY)	15	129
154	1	6	NORFOLK(VA)	15	132
155	1	7	SAVANNAH(GA)	15	135
156	1	8	CHARLESTON(SC)	15	137
157	1	9	PORT SAID	15	154
158	1	10	JEDDAH	15	158
159	1	11	PORT QASIM	15	165
160	1	2	NHAVA SHEVA	16	111
161	1	3	MUNDRA	16	114
162	1	4	DAMIETTA	16	123
163	1	5	NEW YORK(NY)	16	136
164	1	6	NORFOLK(VA)	16	139
165	1	7	SAVANNAH(GA)	16	142
166	1	8	CHARLESTON(SC)	16	144
167	1	9	PORT SAID	16	161
168	1	10	JEDDAH	16	165
169	1	11	PORT QASIM	16	172
170	1	2	NHAVA SHEVA	17	118
171	1	3	MUNDRA	17	121
172	1	4	DAMIETTA	17	130
173	1	5	NEW YORK(NY)	17	143
174	1	6	NORFOLK(VA)	17	146
175	1	7	SAVANNAH(GA)	17	149
176	1	8	CHARLESTON(SC)	17	151
177	1	9	PORT SAID	17	168
178	1	10	JEDDAH	17	172
179	1	11	PORT QASIM	17	179
180	2	1	PORT QASIM	1	4
181	2	2	MUNDRA	1	6
182	2	3	NHAVA SHEVA	1	9
183	2	4	NORFOLK(VA)	1	30
184	2	5	SAVANNAH(GA)	1	33
185	2	6	NEW YORK(NY)	1	37
186	2	7	PORT QASIM	1	60
187	2	1	PORT QASIM	2	11
188	2	2	MUNDRA	2	13
189	2	3	NHAVA SHEVA	2	16
190	2	4	NORFOLK(VA)	2	37
191	2	5	SAVANNAH(GA)	2	40
192	2	6	NEW YORK(NY)	2	44
193	2	7	PORT QASIM	2	67
194	2	1	PORT QASIM	3	18
195	2	2	MUNDRA	3	20
196	2	3	NHAVA SHEVA	3	23
197	2	4	NORFOLK(VA)	3	44
198	2	5	SAVANNAH(GA)	3	47
199	2	6	NEW YORK(NY)	3	51
200	2	7	PORT QASIM	3	74
201	2	1	PORT QASIM	4	25
202	2	2	MUNDRA	4	27
203	2	3	NHAVA SHEVA	4	30
204	2	4	NORFOLK(VA)	4	51
205	2	5	SAVANNAH(GA)	4	54
206	2	6	NEW YORK(NY)	4	58
207	2	7	PORT QASIM	4	81
208	2	1	PORT QASIM	5	32
209	2	2	MUNDRA	5	34
210	2	3	NHAVA SHEVA	5	37
211	2	4	NORFOLK(VA)	5	58
212	2	5	SAVANNAH(GA)	5	61
213	2	6	NEW YORK(NY)	5	65
214	2	7	PORT QASIM	5	88
215	2	1	PORT QASIM	6	39
216	2	2	MUNDRA	6	41
217	2	3	NHAVA SHEVA	6	44
218	2	4	NORFOLK(VA)	6	65
219	2	5	SAVANNAH(GA)	6	68
220	2	6	NEW YORK(NY)	6	72
221	2	7	PORT QASIM	6	95
222	2	1	PORT QASIM	7	46
223	2	2	MUNDRA	7	48
224	2	3	NHAVA SHEVA	7	51
225	2	4	NORFOLK(VA)	7	72
226	2	5	SAVANNAH(GA)	7	75
227	2	6	NEW YORK(NY)	7	79
228	2	7	PORT QASIM	7	102
229	2	1	PORT QASIM	8	53
230	2	2	MUNDRA	8	55
231	2	3	NHAVA SHEVA	8	58
232	2	4	NORFOLK(VA)	8	79
233	2	5	SAVANNAH(GA)	8	82
234	2	6	NEW YORK(NY)	8	86
235	2	7	PORT QASIM	8	109
236	2	2	MUNDRA	9	62
237	2	3	NHAVA SHEVA	9	65
238	2	4	NORFOLK(VA)	9	86
239	2	5	SAVANNAH(GA)	9	89
240	2	6	NEW YORK(NY)	9	93
241	2	7	PORT QASIM	9	116
242	2	2	MUNDRA	10	69
243	2	3	NHAVA SHEVA	10	72
244	2	4	NORFOLK(VA)	10	93
245	2	5	SAVANNAH(GA)	10	96
246	2	6	NEW YORK(NY)	10	100
247	2	7	PORT QASIM	10	123
248	2	2	MUNDRA	11	76
249	2	3	NHAVA SHEVA	11	79
250	2	4	NORFOLK(VA)	11	100
251	2	5	SAVANNAH(GA)	11	103
252	2	6	NEW YORK(NY)	11	107
253	2	7	PORT QASIM	11	130
254	2	2	MUNDRA	12	83
255	2	3	NHAVA SHEVA	12	86
256	2	4	NORFOLK(VA)	12	107
257	2	5	SAVANNAH(GA)	12	110
258	2	6	NEW YORK(NY)	12	114
259	2	7	PORT QASIM	12	137
260	2	2	MUNDRA	13	90
261	2	3	NHAVA SHEVA	13	93
262	2	4	NORFOLK(VA)	13	114
263	2	5	SAVANNAH(GA)	13	117
264	2	6	NEW YORK(NY)	13	121
265	2	7	PORT QASIM	13	144
266	2	2	MUNDRA	14	97
267	2	3	NHAVA SHEVA	14	100
268	2	4	NORFOLK(VA)	14	121
269	2	5	SAVANNAH(GA)	14	124
270	2	6	NEW YORK(NY)	14	128
271	2	7	PORT QASIM	14	151
272	2	2	MUNDRA	15	104
273	2	3	NHAVA SHEVA	15	107
274	2	4	NORFOLK(VA)	15	128
275	2	5	SAVANNAH(GA)	15	131
276	2	6	NEW YORK(NY)	15	135
277	2	7	PORT QASIM	15	158
278	2	2	MUNDRA	16	111
279	2	3	NHAVA SHEVA	16	114
280	2	4	NORFOLK(VA)	16	135
281	2	5	SAVANNAH(GA)	16	138
282	2	6	NEW YORK(NY)	16	142
283	2	7	PORT QASIM	16	165
284	2	2	MUNDRA	17	118
285	2	3	NHAVA SHEVA	17	121
286	2	4	NORFOLK(VA)	17	142
287	2	5	SAVANNAH(GA)	17	145
288	2	6	NEW YORK(NY)	17	149
289	2	7	PORT QASIM	17	172
290	2	2	MUNDRA	18	125
291	2	3	NHAVA SHEVA	18	128
292	2	4	NORFOLK(VA)	18	149
293	2	5	SAVANNAH(GA)	18	152
294	2	6	NEW YORK(NY)	18	156
295	2	7	PORT QASIM	18	179
