PortID	Port	WhetherTrans	Region	Group
1	SAINT JOHN(NB)	0	AMERICA North	2
2	NEW YORK(NY)	1	AMERICA North	2
3	KINGSTON	1	AMERICA North	2
4	RIO HAINA	0	AMERICA South	3
5	CAUCEDO	0	AMERICA South	3
6	SAN JUAN	0	AMERICA North	2
7	LAFITO(OU)	0	AMERICA South	3
8	CAP HAITIEN	0	AMERICA North	2
9	PORT EVERGLADES(FL)	1	AMERICA North	2
10	POINT LISAS	0	AMERICA North	2
11	PORT OF SPAIN	0	AMERICA North	2
12	NASSAU	0	AMERICA North	2
13	SAVANNAH(GA)	0	AMERICA North	2
14	PHILIPSBURG	0	AMERICA North	2
15	BRIDGETOWN	0	AMERICA North	2
16	CASTRIES	0	AMERICA North	2
17	PHILADELPHIA(PA)	0	AMERICA North	2
18	CARTAGENA(CO)	1	AMERICA South	3
19	BUENAVENTURA	0	AMERICA South	3
20	GUAYAQUIL	1	AMERICA South	3
21	CALLAO	0	AMERICA South	3
22	SAN ANTONIO	0	AMERICA South	3
23	BALBOA	1	AMERICA South	3
24	PUERTO CALDERA	1	AMERICA North	2
25	PUERTO QUETZAL	1	AMERICA North	2
26	LAZARO CARDENAS	1	AMERICA North	2
27	LOS ANGELES(CA)	1	AMERICA North	2
28	MANZANILLO(MX)	0	AMERICA South	3
29	CORINTO	1	AMERICA North	2
30	ACAJUTLA	1	AMERICA North	2
31	PORT HUENEME(CA)	0	AMERICA North	2
32	SOUTHAMPTON	0	EUROPE	4
33	LE HAVRE	0	EUROPE	4
34	ROTTERDAM	0	EUROPE	4
35	HAMBURG	0	EUROPE	4
36	ANTWERP	0	EUROPE	4
37	OAKLAND(CA)	0	AMERICA North	2
