VesselID	Capacity	OperationCost	RouteID	MaxNum
1	1577	3.453	1	1
2	1577	3.453	1	1
3	2194	3.607	1	1
4	1284	3.379	2	1
5	1284	3.379	2	1
6	1209	3.361	2	1
7	1114	3.337	3	1
8	1118	3.338	3	1
9	1103	3.334	3	1
10	2546	7.695	4	1
11	3534	7.942	4	1
12	2556	7.697	4	1
13	2572	7.701	4	1
14	2556	7.697	4	1
15	3430	7.916	4	1
16	2556	5.697	5	1
17	2556	5.697	5	1
18	2556	5.697	5	1
19	2532	5.691	5	1
20	2546	5.695	5	1
21	2546	3.695	6	1
22	2546	3.695	6	1
23	2546	3.695	6	1
24	1200	3.358	7	1
25	1200	3.358	7	1
26	1200	3.358	7	1
27	4000	12.058	8	1
28	4900	12.283	8	1
29	4888	12.28	8	1
30	4888	12.28	8	1
31	4888	12.28	8	1
32	4888	12.28	8	1
33	4888	12.28	8	1
34	4888	12.28	8	1
35	4888	12.28	8	1
36	4888	12.28	8	1
37	4888	12.28	8	1
