TransshipArc ID	Port	origin_node_ID	OriginTime	TransshipTime	Destination_node_ID	DestinationTime	FromRoute	ToRoute
1144	NEW YORK, NY	2	8	3	469	11	1	4
1145	NEW YORK, NY	2	8	10	480	18	1	4
1146	KINGSTON	3	14	10	147	24	1	2
1147	KINGSTON	3	14	6	152	20	1	2
1148	KINGSTON	3	14	13	160	27	1	2
1149	KINGSTON	3	14	2	307	16	1	3
1150	KINGSTON	3	14	12	311	26	1	3
1151	KINGSTON	3	14	9	315	23	1	3
1152	KINGSTON	3	14	5	320	19	1	3
1153	NEW YORK, NY	9	15	3	480	18	1	4
1154	NEW YORK, NY	9	15	10	491	25	1	4
1155	KINGSTON	10	21	3	147	24	1	2
1156	KINGSTON	10	21	10	155	31	1	2
1157	KINGSTON	10	21	6	160	27	1	2
1158	KINGSTON	10	21	13	167	34	1	2
1159	KINGSTON	10	21	5	311	26	1	3
1160	KINGSTON	10	21	2	315	23	1	3
1161	KINGSTON	10	21	12	319	33	1	3
1162	KINGSTON	10	21	9	323	30	1	3
1163	NEW YORK, NY	16	22	3	491	25	1	4
1164	NEW YORK, NY	16	22	10	502	32	1	4
1165	KINGSTON	17	28	3	155	31	1	2
1166	KINGSTON	17	28	10	163	38	1	2
1167	KINGSTON	17	28	6	167	34	1	2
1168	KINGSTON	17	28	13	174	41	1	2
1169	KINGSTON	17	28	5	319	33	1	3
1170	KINGSTON	17	28	2	323	30	1	3
1171	KINGSTON	17	28	12	327	40	1	3
1172	KINGSTON	17	28	9	330	37	1	3
1173	NEW YORK, NY	22	29	3	502	32	1	4
1174	NEW YORK, NY	22	29	10	513	39	1	4
1175	KINGSTON	23	35	3	163	38	1	2
1176	KINGSTON	23	35	10	170	45	1	2
1177	KINGSTON	23	35	6	174	41	1	2
1178	KINGSTON	23	35	13	181	48	1	2
1179	KINGSTON	23	35	5	327	40	1	3
1180	KINGSTON	23	35	2	330	37	1	3
1181	KINGSTON	23	35	12	334	47	1	3
1182	KINGSTON	23	35	9	337	44	1	3
1183	NEW YORK, NY	28	36	3	513	39	1	4
1184	NEW YORK, NY	28	36	10	524	46	1	4
1185	KINGSTON	29	42	3	170	45	1	2
1186	KINGSTON	29	42	10	177	52	1	2
1187	KINGSTON	29	42	6	181	48	1	2
1188	KINGSTON	29	42	13	188	55	1	2
1189	KINGSTON	29	42	5	334	47	1	3
1190	KINGSTON	29	42	2	337	44	1	3
1191	KINGSTON	29	42	12	341	54	1	3
1192	KINGSTON	29	42	9	344	51	1	3
1193	NEW YORK, NY	34	43	3	524	46	1	4
1194	NEW YORK, NY	34	43	10	535	53	1	4
1195	KINGSTON	35	49	3	177	52	1	2
1196	KINGSTON	35	49	10	184	59	1	2
1197	KINGSTON	35	49	6	188	55	1	2
1198	KINGSTON	35	49	13	195	62	1	2
1199	KINGSTON	35	49	5	341	54	1	3
1200	KINGSTON	35	49	2	344	51	1	3
1201	KINGSTON	35	49	12	348	61	1	3
1202	KINGSTON	35	49	9	351	58	1	3
1203	NEW YORK, NY	40	50	3	535	53	1	4
1204	NEW YORK, NY	40	50	10	545	60	1	4
1205	KINGSTON	41	56	3	184	59	1	2
1206	KINGSTON	41	56	10	191	66	1	2
1207	KINGSTON	41	56	6	195	62	1	2
1208	KINGSTON	41	56	13	202	69	1	2
1209	KINGSTON	41	56	5	348	61	1	3
1210	KINGSTON	41	56	2	351	58	1	3
1211	KINGSTON	41	56	12	355	68	1	3
1212	KINGSTON	41	56	9	358	65	1	3
1213	NEW YORK, NY	46	57	3	545	60	1	4
1214	NEW YORK, NY	46	57	10	555	67	1	4
1215	KINGSTON	47	63	3	191	66	1	2
1216	KINGSTON	47	63	10	198	73	1	2
1217	KINGSTON	47	63	6	202	69	1	2
1218	KINGSTON	47	63	13	209	76	1	2
1219	KINGSTON	47	63	5	355	68	1	3
1220	KINGSTON	47	63	2	358	65	1	3
1221	KINGSTON	47	63	12	362	75	1	3
1222	KINGSTON	47	63	9	365	72	1	3
1223	NEW YORK, NY	52	64	3	555	67	1	4
1224	NEW YORK, NY	52	64	10	565	74	1	4
1225	KINGSTON	53	70	3	198	73	1	2
1226	KINGSTON	53	70	10	205	80	1	2
1227	KINGSTON	53	70	6	209	76	1	2
1228	KINGSTON	53	70	13	216	83	1	2
1229	KINGSTON	53	70	5	362	75	1	3
1230	KINGSTON	53	70	2	365	72	1	3
1231	KINGSTON	53	70	12	369	82	1	3
1232	KINGSTON	53	70	9	372	79	1	3
1233	NEW YORK, NY	58	71	3	565	74	1	4
1234	NEW YORK, NY	58	71	10	575	81	1	4
1235	KINGSTON	59	77	3	205	80	1	2
1236	KINGSTON	59	77	10	212	87	1	2
1237	KINGSTON	59	77	6	216	83	1	2
1238	KINGSTON	59	77	13	223	90	1	2
1239	KINGSTON	59	77	5	369	82	1	3
1240	KINGSTON	59	77	2	372	79	1	3
1241	KINGSTON	59	77	12	376	89	1	3
1242	KINGSTON	59	77	9	379	86	1	3
1243	NEW YORK, NY	64	78	3	575	81	1	4
1244	NEW YORK, NY	64	78	10	585	88	1	4
1245	KINGSTON	65	84	3	212	87	1	2
1246	KINGSTON	65	84	10	219	94	1	2
1247	KINGSTON	65	84	6	223	90	1	2
