TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1	1	1	1	SAINT JOHN, NB	1	5	3	2	2	NEW YORK, NY	8
2	1	2	2	NEW YORK, NY	1	8	6	3	3	KINGSTON	14
3	1	3	3	KINGSTON	1	14	3	4	4	RIO HAINA	17
4	1	4	4	RIO HAINA	1	17	1	5	5	CAUCEDO	18
5	1	5	5	CAUCEDO	1	18	2	6	6	SAN JUAN	20
6	1	6	6	SAN JUAN	1	20	6	7	7	SAINT JOHN, NB	26
7	1	7	7	SAINT JOHN, NB	1	26	3	22	2	NEW YORK, NY	29
8	1	8	1	SAINT JOHN, NB	2	12	3	9	2	NEW YORK, NY	15
9	1	9	2	NEW YORK, NY	2	15	6	10	3	KINGSTON	21
10	1	10	3	KINGSTON	2	21	3	11	4	RIO HAINA	24
11	1	11	4	RIO HAINA	2	24	1	12	5	CAUCEDO	25
12	1	12	5	CAUCEDO	2	25	2	13	6	SAN JUAN	27
13	1	13	6	SAN JUAN	2	27	6	14	7	SAINT JOHN, NB	33
14	1	14	7	SAINT JOHN, NB	2	33	3	28	2	NEW YORK, NY	36
15	1	15	1	SAINT JOHN, NB	3	19	3	16	2	NEW YORK, NY	22
16	1	16	2	NEW YORK, NY	3	22	6	17	3	KINGSTON	28
17	1	17	3	KINGSTON	3	28	3	18	4	RIO HAINA	31
18	1	18	4	RIO HAINA	3	31	1	19	5	CAUCEDO	32
19	1	19	5	CAUCEDO	3	32	2	20	6	SAN JUAN	34
20	1	20	6	SAN JUAN	3	34	6	21	7	SAINT JOHN, NB	40
21	1	21	7	SAINT JOHN, NB	3	40	3	34	2	NEW YORK, NY	43
22	1	22	2	NEW YORK, NY	4	29	6	23	3	KINGSTON	35
23	1	23	3	KINGSTON	4	35	3	24	4	RIO HAINA	38
24	1	24	4	RIO HAINA	4	38	1	25	5	CAUCEDO	39
25	1	25	5	CAUCEDO	4	39	2	26	6	SAN JUAN	41
26	1	26	6	SAN JUAN	4	41	6	27	7	SAINT JOHN, NB	47
27	1	27	7	SAINT JOHN, NB	4	47	3	40	2	NEW YORK, NY	50
28	1	28	2	NEW YORK, NY	5	36	6	29	3	KINGSTON	42
29	1	29	3	KINGSTON	5	42	3	30	4	RIO HAINA	45
30	1	30	4	RIO HAINA	5	45	1	31	5	CAUCEDO	46
31	1	31	5	CAUCEDO	5	46	2	32	6	SAN JUAN	48
32	1	32	6	SAN JUAN	5	48	6	33	7	SAINT JOHN, NB	54
33	1	33	7	SAINT JOHN, NB	5	54	3	46	2	NEW YORK, NY	57
34	1	34	2	NEW YORK, NY	6	43	6	35	3	KINGSTON	49
35	1	35	3	KINGSTON	6	49	3	36	4	RIO HAINA	52
36	1	36	4	RIO HAINA	6	52	1	37	5	CAUCEDO	53
37	1	37	5	CAUCEDO	6	53	2	38	6	SAN JUAN	55
38	1	38	6	SAN JUAN	6	55	6	39	7	SAINT JOHN, NB	61
39	1	39	7	SAINT JOHN, NB	6	61	3	52	2	NEW YORK, NY	64
40	1	40	2	NEW YORK, NY	7	50	6	41	3	KINGSTON	56
41	1	41	3	KINGSTON	7	56	3	42	4	RIO HAINA	59
42	1	42	4	RIO HAINA	7	59	1	43	5	CAUCEDO	60
43	1	43	5	CAUCEDO	7	60	2	44	6	SAN JUAN	62
44	1	44	6	SAN JUAN	7	62	6	45	7	SAINT JOHN, NB	68
45	1	45	7	SAINT JOHN, NB	7	68	3	58	2	NEW YORK, NY	71
46	1	46	2	NEW YORK, NY	8	57	6	47	3	KINGSTON	63
47	1	47	3	KINGSTON	8	63	3	48	4	RIO HAINA	66
48	1	48	4	RIO HAINA	8	66	1	49	5	CAUCEDO	67
49	1	49	5	CAUCEDO	8	67	2	50	6	SAN JUAN	69
50	1	50	6	SAN JUAN	8	69	6	51	7	SAINT JOHN, NB	75
51	1	51	7	SAINT JOHN, NB	8	75	3	64	2	NEW YORK, NY	78
52	1	52	2	NEW YORK, NY	9	64	6	53	3	KINGSTON	70
53	1	53	3	KINGSTON	9	70	3	54	4	RIO HAINA	73
54	1	54	4	RIO HAINA	9	73	1	55	5	CAUCEDO	74
55	1	55	5	CAUCEDO	9	74	2	56	6	SAN JUAN	76
56	1	56	6	SAN JUAN	9	76	6	57	7	SAINT JOHN, NB	82
57	1	57	7	SAINT JOHN, NB	9	82	3	70	2	NEW YORK, NY	85
58	1	58	2	NEW YORK, NY	10	71	6	59	3	KINGSTON	77
59	1	59	3	KINGSTON	10	77	3	60	4	RIO HAINA	80
60	1	60	4	RIO HAINA	10	80	1	61	5	CAUCEDO	81
