PortID	OriginPort	DestinationPort	EarlistTime	Deadline
1	AGADIR	ALEXANDRIA	1	180
2	AGADIR	ANTWERP	1	180
3	AGADIR	BEIRUT	1	180
4	AGADIR	CASABLANCA	1	180
5	AGADIR	DAMIETTA	1	180
6	AGADIR	FELIXSTOWE	1	180
7	AGADIR	GEBZE	1	180
8	AGADIR	GEMLIK	1	180
9	AGADIR	HAMBURG	1	180
10	AGADIR	ISKENDERUN	1	180
11	AGADIR	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
12	AGADIR	LE HAVRE	1	180
13	AGADIR	LONDON GATEWAY PORT(ESS)	1	180
14	AGADIR	MERSIN	1	180
15	AGADIR	ROTTERDAM	1	180
16	AGADIR	SOUTHAMPTON	1	180
17	AGADIR	TANGER MED	1	180
18	AGADIR	THESSALONIKI	1	180
19	AGADIR	VIGO	1	180
20	ALEXANDRIA	AGADIR	1	180
21	ALEXANDRIA	ANTWERP	1	180
22	ALEXANDRIA	BEIRUT	1	180
23	ALEXANDRIA	CASABLANCA	1	180
24	ALEXANDRIA	DAMIETTA	1	180
25	ALEXANDRIA	FELIXSTOWE	1	180
26	ALEXANDRIA	GEBZE	1	180
27	ALEXANDRIA	GEMLIK	1	180
28	ALEXANDRIA	HAMBURG	1	180
29	ALEXANDRIA	ISKENDERUN	1	180
30	ALEXANDRIA	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
31	ALEXANDRIA	LE HAVRE	1	180
32	ALEXANDRIA	LONDON GATEWAY PORT(ESS)	1	180
33	ALEXANDRIA	MERSIN	1	180
34	ALEXANDRIA	ROTTERDAM	1	180
35	ALEXANDRIA	SOUTHAMPTON	1	180
36	ALEXANDRIA	TANGER MED	1	180
37	ALEXANDRIA	THESSALONIKI	1	180
38	ALEXANDRIA	VIGO	1	180
39	ANTWERP	AGADIR	1	180
40	ANTWERP	ALEXANDRIA	1	180
41	ANTWERP	BEIRUT	1	180
42	ANTWERP	CASABLANCA	1	180
43	ANTWERP	DAMIETTA	1	180
44	ANTWERP	FELIXSTOWE	1	180
45	ANTWERP	GEBZE	1	180
46	ANTWERP	GEMLIK	1	180
47	ANTWERP	HAMBURG	1	180
48	ANTWERP	ISKENDERUN	1	180
49	ANTWERP	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
50	ANTWERP	LE HAVRE	1	180
51	ANTWERP	LONDON GATEWAY PORT(ESS)	1	180
52	ANTWERP	MERSIN	1	180
53	ANTWERP	ROTTERDAM	1	180
54	ANTWERP	SOUTHAMPTON	1	180
55	ANTWERP	TANGER MED	1	180
56	ANTWERP	THESSALONIKI	1	180
57	ANTWERP	VIGO	1	180
58	BEIRUT	AGADIR	1	180
59	BEIRUT	ALEXANDRIA	1	180
60	BEIRUT	ANTWERP	1	180
61	BEIRUT	CASABLANCA	1	180
62	BEIRUT	DAMIETTA	1	180
63	BEIRUT	FELIXSTOWE	1	180
64	BEIRUT	GEBZE	1	180
65	BEIRUT	GEMLIK	1	180
66	BEIRUT	HAMBURG	1	180
67	BEIRUT	ISKENDERUN	1	180
68	BEIRUT	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
69	BEIRUT	LE HAVRE	1	180
70	BEIRUT	LONDON GATEWAY PORT(ESS)	1	180
71	BEIRUT	MERSIN	1	180
72	BEIRUT	ROTTERDAM	1	180
73	BEIRUT	SOUTHAMPTON	1	180
74	BEIRUT	TANGER MED	1	180
75	BEIRUT	THESSALONIKI	1	180
76	BEIRUT	VIGO	1	180
77	CASABLANCA	AGADIR	1	180
78	CASABLANCA	ALEXANDRIA	1	180
79	CASABLANCA	ANTWERP	1	180
80	CASABLANCA	BEIRUT	1	180
81	CASABLANCA	DAMIETTA	1	180
82	CASABLANCA	FELIXSTOWE	1	180
83	CASABLANCA	GEBZE	1	180
84	CASABLANCA	GEMLIK	1	180
85	CASABLANCA	HAMBURG	1	180
86	CASABLANCA	ISKENDERUN	1	180
87	CASABLANCA	ISTANBUL(AMBARLI) PORT E. SIDE	1	180
88	CASABLANCA	LE HAVRE	1	180
89	CASABLANCA	LONDON GATEWAY PORT(ESS)	1	180
90	CASABLANCA	MERSIN	1	180
91	CASABLANCA	ROTTERDAM	1	180
92	CASABLANCA	SOUTHAMPTON	1	180
93	CASABLANCA	TANGER MED	1	180
94	CASABLANCA	THESSALONIKI	1	180
95	CASABLANCA	VIGO	1	180
96	DAMIETTA	AGADIR	1	180
