RequestID	OriginPort	OriginTime	NumOfEmptyPath	PathIDs
1	AGADIR	1	0	0
2	AGADIR	8	0	0
3	AGADIR	15	2	2685,11981
4	AGADIR	22	2	2686,11982
5	AGADIR	29	2	2687,11983
6	AGADIR	36	2	2688,11984
7	AGADIR	43	19	1294,1295,2689,3978,3979,3980,3981,6218,6219,6220,8474,9000,10278,10279,10281,11157,11158,11985,13414
8	AGADIR	50	21	1296,2690,3982,3983,3984,4795,5488,6221,6222,7818,8475,9001,9002,10280,10282,10284,11159,11160,11986,12795,13415
9	AGADIR	57	26	673,1297,2070,2691,3360,3985,3986,4796,4797,5489,5490,6223,7206,7819,7820,8476,9003,9669,10283,10286,11161,11162,11987,12796,12797,13416
10	AGADIR	64	31	674,675,1298,2071,2072,2692,3361,3362,3987,3988,4798,4799,5491,5492,6224,7207,7208,7821,7822,8477,9004,9670,9671,10285,10288,11163,11164,11988,12798,12799,13417
11	AGADIR	71	31	676,677,1299,2073,2074,2693,3363,3364,3989,3990,4800,4801,5493,5494,6225,7209,7210,7823,7824,8478,9005,9672,9673,10287,10290,11165,11166,11989,12800,12801,13418
12	AGADIR	78	31	678,679,1300,2075,2076,2694,3365,3366,3991,3992,4802,4803,5495,5496,6226,7211,7212,7825,7826,8479,9006,9674,9675,10289,10292,11167,11168,11990,12802,12803,13419
13	AGADIR	85	31	680,681,1301,2077,2078,2695,3367,3368,3993,3994,4804,4805,5497,5498,6227,7213,7214,7827,7828,8480,9007,9676,9677,10291,10294,11169,11170,11991,12804,12805,13420
14	AGADIR	92	31	682,683,1302,2079,2080,2696,3369,3370,3995,3996,4806,4807,5499,5500,6228,7215,7216,7829,7830,8481,9008,9678,9679,10293,10296,11171,11172,11992,12806,12807,13421
15	AGADIR	99	31	684,685,1303,2081,2082,2697,3371,3372,3997,3998,4808,4809,5501,5502,6229,7217,7218,7831,7832,8482,9009,9680,9681,10295,10298,11173,11174,11993,12808,12809,13422
16	AGADIR	106	31	686,687,1304,2083,2084,2698,3373,3374,3999,4000,4810,4811,5503,5504,6230,7219,7220,7833,7834,8483,9010,9682,9683,10297,10300,11175,11176,11994,12810,12811,13423
17	AGADIR	113	31	688,689,1305,2085,2086,2699,3375,3376,4001,4002,4812,4813,5505,5506,6231,7221,7222,7835,7836,8484,9011,9684,9685,10299,10302,11177,11178,11995,12812,12813,13424
